
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu Apr 23 1987,Box Score,Chicago Bulls,104,Boston Celtics,108,,
Thu Apr 23 1987,Box Score,Seattle SuperSonics,129,Dallas Mavericks,151,,
Thu Apr 23 1987,Box Score,Denver Nuggets,95,Los Angeles Lakers,128,,
Thu Apr 23 1987,Box Score,Golden State Warriors,85,Utah Jazz,99,,
Fri Apr 24 1987,Box Score,Indiana Pacers,94,Atlanta Hawks,110,,
Fri Apr 24 1987,Box Score,Washington Bullets,92,Detroit Pistons,106,,
Fri Apr 24 1987,Box Score,Philadelphia 76ers,104,Milwaukee Bucks,107,,
Fri Apr 24 1987,Box Score,Houston Rockets,125,Portland Trail Blazers,115,,
Sat Apr 25 1987,Box Score,Seattle SuperSonics,112,Dallas Mavericks,110,,
Sat Apr 25 1987,Box Score,Denver Nuggets,127,Los Angeles Lakers,139,,
Sat Apr 25 1987,Box Score,Golden State Warriors,100,Utah Jazz,103,,
Sun Apr 26 1987,Box Score,Indiana Pacers,93,Atlanta Hawks,94,,
Sun Apr 26 1987,Box Score,Chicago Bulls,96,Boston Celtics,105,,
Sun Apr 26 1987,Box Score,Washington Bullets,85,Detroit Pistons,128,,
Sun Apr 26 1987,Box Score,Philadelphia 76ers,125,Milwaukee Bucks,122,OT,
Sun Apr 26 1987,Box Score,Houston Rockets,98,Portland Trail Blazers,111,,
Tue Apr 28 1987,Box Score,Boston Celtics,105,Chicago Bulls,94,,
Tue Apr 28 1987,Box Score,Portland Trail Blazers,108,Houston Rockets,117,,
Tue Apr 28 1987,Box Score,Dallas Mavericks,107,Seattle SuperSonics,117,,at Seattle WA (Clarence S. "Hec" Edmundson Pavillion)
Wed Apr 29 1987,Box Score,Los Angeles Lakers,140,Denver Nuggets,103,,
Wed Apr 29 1987,Box Score,Utah Jazz,95,Golden State Warriors,110,,
Wed Apr 29 1987,Box Score,Atlanta Hawks,87,Indiana Pacers,96,,
Wed Apr 29 1987,Box Score,Milwaukee Bucks,121,Philadelphia 76ers,120,,
Wed Apr 29 1987,Box Score,Detroit Pistons,97,Washington Bullets,96,,
Thu Apr 30 1987,Box Score,Portland Trail Blazers,101,Houston Rockets,113,,
Thu Apr 30 1987,Box Score,Dallas Mavericks,98,Seattle SuperSonics,124,,at Seattle WA (Clarence S. "Hec" Edmundson Pavillion)
Fri May 1 1987,Box Score,Utah Jazz,94,Golden State Warriors,98,,
Fri May 1 1987,Box Score,Atlanta Hawks,101,Indiana Pacers,97,,
Fri May 1 1987,Box Score,Milwaukee Bucks,118,Philadelphia 76ers,124,,
Sat May 2 1987,Box Score,Seattle SuperSonics,111,Houston Rockets,106,OT,
Sun May 3 1987,Box Score,Detroit Pistons,112,Atlanta Hawks,111,,
Sun May 3 1987,Box Score,Philadelphia 76ers,89,Milwaukee Bucks,102,,
Sun May 3 1987,Box Score,Golden State Warriors,118,Utah Jazz,113,,
Tue May 5 1987,Box Score,Detroit Pistons,102,Atlanta Hawks,115,,
Tue May 5 1987,Box Score,Milwaukee Bucks,98,Boston Celtics,111,,
Tue May 5 1987,Box Score,Seattle SuperSonics,99,Houston Rockets,97,,
Tue May 5 1987,Box Score,Golden State Warriors,116,Los Angeles Lakers,125,,
