
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 31 1997,Box Score,Chicago Bulls,85,Boston Celtics,92,,
Fri Oct 31 1997,Box Score,New York Knicks,97,Charlotte Hornets,85,,
Fri Oct 31 1997,Box Score,San Antonio Spurs,107,Denver Nuggets,96,,
Fri Oct 31 1997,Box Score,Washington Wizards,79,Detroit Pistons,92,,
Fri Oct 31 1997,Box Score,Cleveland Cavaliers,86,Houston Rockets,94,,
Fri Oct 31 1997,Box Score,Utah Jazz,87,Los Angeles Lakers,104,,
Fri Oct 31 1997,Box Score,Toronto Raptors,101,Miami Heat,114,,
Fri Oct 31 1997,Box Score,Golden State Warriors,113,Minnesota Timberwolves,129,,
Fri Oct 31 1997,Box Score,Indiana Pacers,95,New Jersey Nets,97,,
Fri Oct 31 1997,Box Score,Atlanta Hawks,105,Orlando Magic,99,,
Fri Oct 31 1997,Box Score,Milwaukee Bucks,103,Philadelphia 76ers,88,,
Fri Oct 31 1997,Box Score,Los Angeles Clippers,100,Phoenix Suns,110,,
Fri Oct 31 1997,Box Score,Seattle SuperSonics,91,Portland Trail Blazers,83,,
Fri Oct 31 1997,Box Score,Dallas Mavericks,90,Vancouver Grizzlies,88,,
Sat Nov 1 1997,Box Score,Toronto Raptors,85,Atlanta Hawks,90,,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
Sat Nov 1 1997,Box Score,Philadelphia 76ers,74,Chicago Bulls,94,,
Sat Nov 1 1997,Box Score,Golden State Warriors,83,Indiana Pacers,96,,
Sat Nov 1 1997,Box Score,Portland Trail Blazers,82,Los Angeles Clippers,74,,
Sat Nov 1 1997,Box Score,New Jersey Nets,113,Milwaukee Bucks,109,OT,
Sat Nov 1 1997,Box Score,Charlotte Hornets,90,Minnesota Timberwolves,106,,
Sat Nov 1 1997,Box Score,Cleveland Cavaliers,80,San Antonio Spurs,83,,
Sat Nov 1 1997,Box Score,Dallas Mavericks,89,Seattle SuperSonics,81,,
Sat Nov 1 1997,Box Score,Denver Nuggets,84,Utah Jazz,102,,
Sat Nov 1 1997,Box Score,Sacramento Kings,96,Vancouver Grizzlies,97,,
Sat Nov 1 1997,Box Score,Miami Heat,109,Washington Wizards,108,,at Landover MD
Sun Nov 2 1997,Box Score,Orlando Magic,107,Boston Celtics,96,,
Sun Nov 2 1997,Box Score,Detroit Pistons,94,New York Knicks,86,,
Sun Nov 2 1997,Box Score,Houston Rockets,93,Sacramento Kings,77,,
Mon Nov 3 1997,Box Score,San Antonio Spurs,83,Chicago Bulls,87,2OT,
Mon Nov 3 1997,Box Score,Charlotte Hornets,112,Miami Heat,99,,
Mon Nov 3 1997,Box Score,Washington Wizards,90,Utah Jazz,86,,
Tue Nov 4 1997,Box Score,Detroit Pistons,71,Atlanta Hawks,82,,
Tue Nov 4 1997,Box Score,Indiana Pacers,77,Cleveland Cavaliers,80,,
Tue Nov 4 1997,Box Score,Vancouver Grizzlies,87,Dallas Mavericks,92,,
Tue Nov 4 1997,Box Score,Washington Wizards,120,Denver Nuggets,96,,
Tue Nov 4 1997,Box Score,Orlando Magic,76,Milwaukee Bucks,110,,
Tue Nov 4 1997,Box Score,Boston Celtics,70,New York Knicks,102,,
Tue Nov 4 1997,Box Score,Utah Jazz,84,Phoenix Suns,106,,
Tue Nov 4 1997,Box Score,Minnesota Timberwolves,105,Portland Trail Blazers,122,,
Tue Nov 4 1997,Box Score,Los Angeles Lakers,101,Sacramento Kings,98,,
Tue Nov 4 1997,Box Score,Houston Rockets,94,Seattle SuperSonics,118,,
Tue Nov 4 1997,Box Score,Golden State Warriors,86,Toronto Raptors,104,,
Wed Nov 5 1997,Box Score,Miami Heat,90,Boston Celtics,74,,
Wed Nov 5 1997,Box Score,Dallas Mavericks,103,Charlotte Hornets,110,,
Wed Nov 5 1997,Box Score,Orlando Magic,81,Chicago Bulls,94,,
Wed Nov 5 1997,Box Score,Indiana Pacers,99,Detroit Pistons,87,,
Wed Nov 5 1997,Box Score,Houston Rockets,124,Los Angeles Clippers,110,,
Wed Nov 5 1997,Box Score,Golden State Warriors,96,New Jersey Nets,112,,
Wed Nov 5 1997,Box Score,Atlanta Hawks,93,Philadelphia 76ers,88,,
Wed Nov 5 1997,Box Score,Vancouver Grizzlies,79,San Antonio Spurs,87,,
Thu Nov 6 1997,Box Score,Philadelphia 76ers,93,Milwaukee Bucks,100,,
Thu Nov 6 1997,Box Score,New York Knicks,105,Phoenix Suns,75,,
Thu Nov 6 1997,Box Score,Seattle SuperSonics,109,Toronto Raptors,92,,
Fri Nov 7 1997,Box Score,Chicago Bulls,78,Atlanta Hawks,80,,
Fri Nov 7 1997,Box Score,Cleveland Cavaliers,96,Boston Celtics,92,,
Fri Nov 7 1997,Box Score,Utah Jazz,91,Denver Nuggets,89,,
Fri Nov 7 1997,Box Score,Orlando Magic,89,Detroit Pistons,84,,
Fri Nov 7 1997,Box Score,Portland Trail Blazers,86,Houston Rockets,85,,
Fri Nov 7 1997,Box Score,Seattle SuperSonics,99,Indiana Pacers,93,,
Fri Nov 7 1997,Box Score,New York Knicks,94,Los Angeles Lakers,99,,
Fri Nov 7 1997,Box Score,Miami Heat,87,New Jersey Nets,99,,
Fri Nov 7 1997,Box Score,Los Angeles Clippers,98,Sacramento Kings,85,,
Fri Nov 7 1997,Box Score,Minnesota Timberwolves,108,Vancouver Grizzlies,97,,
Fri Nov 7 1997,Box Score,Charlotte Hornets,107,Washington Wizards,92,,at Landover MD
Sat Nov 8 1997,Box Score,Indiana Pacers,82,Charlotte Hornets,89,,
Sat Nov 8 1997,Box Score,New Jersey Nets,86,Chicago Bulls,99,,
Sat Nov 8 1997,Box Score,Atlanta Hawks,99,Cleveland Cavaliers,97,OT,
Sat Nov 8 1997,Box Score,Portland Trail Blazers,101,Dallas Mavericks,94,,
Sat Nov 8 1997,Box Score,Minnesota Timberwolves,97,Golden State Warriors,90,,
Sat Nov 8 1997,Box Score,Phoenix Suns,123,Los Angeles Clippers,105,,at Anaheim CA
Sat Nov 8 1997,Box Score,Washington Wizards,106,Miami Heat,114,,
Sat Nov 8 1997,Box Score,Boston Celtics,96,Milwaukee Bucks,105,,
Sat Nov 8 1997,Box Score,Toronto Raptors,87,Orlando Magic,96,,
Sat Nov 8 1997,Box Score,Utah Jazz,80,San Antonio Spurs,87,,
Sun Nov 9 1997,Box Score,Golden State Warriors,97,Los Angeles Lakers,132,,
Sun Nov 9 1997,Box Score,Seattle SuperSonics,112,Philadelphia 76ers,105,,
Sun Nov 9 1997,Box Score,New York Knicks,78,Sacramento Kings,86,,
Sun Nov 9 1997,Box Score,Detroit Pistons,96,Vancouver Grizzlies,104,OT,
Mon Nov 10 1997,Box Score,Detroit Pistons,82,Portland Trail Blazers,86,,
Mon Nov 10 1997,Box Score,San Antonio Spurs,100,Toronto Raptors,98,,
Tue Nov 11 1997,Box Score,Seattle SuperSonics,87,Atlanta Hawks,89,,
Tue Nov 11 1997,Box Score,Chicago Bulls,80,Cleveland Cavaliers,101,,
Tue Nov 11 1997,Box Score,Los Angeles Lakers,118,Dallas Mavericks,96,,
Tue Nov 11 1997,Box Score,Sacramento Kings,82,Miami Heat,101,,
Tue Nov 11 1997,Box Score,San Antonio Spurs,93,Minnesota Timberwolves,92,,
Tue Nov 11 1997,Box Score,Denver Nuggets,90,New York Knicks,93,,
Tue Nov 11 1997,Box Score,Los Angeles Clippers,113,Vancouver Grizzlies,119,,
Wed Nov 12 1997,Box Score,Denver Nuggets,86,Boston Celtics,96,,
Wed Nov 12 1997,Box Score,Washington Wizards,90,Chicago Bulls,83,,
Wed Nov 12 1997,Box Score,Detroit Pistons,102,Golden State Warriors,71,,
Wed Nov 12 1997,Box Score,Philadelphia 76ers,114,Houston Rockets,100,,
Wed Nov 12 1997,Box Score,Atlanta Hawks,89,Indiana Pacers,86,,
Wed Nov 12 1997,Box Score,Sacramento Kings,115,Orlando Magic,89,,
Wed Nov 12 1997,Box Score,Milwaukee Bucks,95,Phoenix Suns,103,,
Wed Nov 12 1997,Box Score,New York Knicks,93,Toronto Raptors,70,,
Wed Nov 12 1997,Box Score,Vancouver Grizzlies,80,Utah Jazz,98,,
Thu Nov 13 1997,Box Score,Philadelphia 76ers,99,Dallas Mavericks,98,,
Thu Nov 13 1997,Box Score,Milwaukee Bucks,102,Los Angeles Clippers,94,,
Thu Nov 13 1997,Box Score,Washington Wizards,91,Minnesota Timberwolves,88,OT,
Thu Nov 13 1997,Box Score,Cleveland Cavaliers,85,New Jersey Nets,74,,
Thu Nov 13 1997,Box Score,Los Angeles Lakers,109,San Antonio Spurs,100,OT,
Thu Nov 13 1997,Box Score,Detroit Pistons,89,Seattle SuperSonics,95,,
Fri Nov 14 1997,Box Score,Sacramento Kings,103,Atlanta Hawks,104,,
Fri Nov 14 1997,Box Score,Toronto Raptors,99,Boston Celtics,103,,
Fri Nov 14 1997,Box Score,Charlotte Hornets,92,Chicago Bulls,105,,
Fri Nov 14 1997,Box Score,Los Angeles Lakers,113,Houston Rockets,103,2OT,
Fri Nov 14 1997,Box Score,Miami Heat,78,Indiana Pacers,82,,
Fri Nov 14 1997,Box Score,Denver Nuggets,85,Orlando Magic,103,,
Fri Nov 14 1997,Box Score,Phoenix Suns,140,Portland Trail Blazers,139,4OT,
Fri Nov 14 1997,Box Score,Seattle SuperSonics,104,Utah Jazz,110,,
Sat Nov 15 1997,Box Score,Los Angeles Clippers,96,Charlotte Hornets,130,,
Sat Nov 15 1997,Box Score,Cleveland Cavaliers,70,Chicago Bulls,79,,
Sat Nov 15 1997,Box Score,Utah Jazz,85,Dallas Mavericks,77,,
Sat Nov 15 1997,Box Score,New Jersey Nets,88,Detroit Pistons,96,OT,
Sat Nov 15 1997,Box Score,Portland Trail Blazers,99,Golden State Warriors,87,,
Sat Nov 15 1997,Box Score,Denver Nuggets,93,Miami Heat,96,,
Sat Nov 15 1997,Box Score,Sacramento Kings,87,New York Knicks,114,,
Sat Nov 15 1997,Box Score,Boston Celtics,107,Philadelphia 76ers,101,,
