
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Oct 18 1977,Box Score,Chicago Bulls,91,Cleveland Cavaliers,88,,
Tue Oct 18 1977,Box Score,New Jersey Nets,93,Detroit Pistons,110,,
Tue Oct 18 1977,Box Score,Los Angeles Lakers,112,Milwaukee Bucks,117,,
Tue Oct 18 1977,Box Score,Kansas City Kings,113,New York Knicks,120,,
Tue Oct 18 1977,Box Score,Golden State Warriors,83,Phoenix Suns,100,,
Wed Oct 19 1977,Box Score,Kansas City Kings,108,Buffalo Braves,112,,
Wed Oct 19 1977,Box Score,Milwaukee Bucks,115,Denver Nuggets,133,,
Wed Oct 19 1977,Box Score,Seattle SuperSonics,84,Golden State Warriors,116,,
Wed Oct 19 1977,Box Score,Chicago Bulls,107,Houston Rockets,103,,
Wed Oct 19 1977,Box Score,Los Angeles Lakers,133,Indiana Pacers,120,,
Wed Oct 19 1977,Box Score,Detroit Pistons,96,Philadelphia 76ers,113,,
Wed Oct 19 1977,Box Score,Boston Celtics,109,San Antonio Spurs,114,,
Thu Oct 20 1977,Box Score,Cleveland Cavaliers,107,New Orleans Jazz,104,,
Fri Oct 21 1977,Box Score,Indiana Pacers,119,Chicago Bulls,122,,
Fri Oct 21 1977,Box Score,Los Angeles Lakers,101,Denver Nuggets,106,,
Fri Oct 21 1977,Box Score,San Antonio Spurs,117,Golden State Warriors,122,,
Fri Oct 21 1977,Box Score,Houston Rockets,94,Kansas City Kings,95,,
Fri Oct 21 1977,Box Score,New Orleans Jazz,111,New Jersey Nets,103,,
Fri Oct 21 1977,Box Score,Portland Trail Blazers,106,Seattle SuperSonics,99,,
Fri Oct 21 1977,Box Score,Detroit Pistons,109,Washington Bullets,117,,
Sat Oct 22 1977,Box Score,Cleveland Cavaliers,101,Atlanta Hawks,107,,
Sat Oct 22 1977,Box Score,New Jersey Nets,96,Buffalo Braves,101,,
Sat Oct 22 1977,Box Score,Denver Nuggets,106,Detroit Pistons,126,,
Sat Oct 22 1977,Box Score,Boston Celtics,98,Houston Rockets,110,,
Sat Oct 22 1977,Box Score,Kansas City Kings,101,Indiana Pacers,106,,
Sat Oct 22 1977,Box Score,Chicago Bulls,95,Milwaukee Bucks,113,,
Sat Oct 22 1977,Box Score,Washington Bullets,115,New York Knicks,141,,
Sat Oct 22 1977,Box Score,New Orleans Jazz,104,Philadelphia 76ers,103,OT,
Sat Oct 22 1977,Box Score,San Antonio Spurs,115,Portland Trail Blazers,130,,
Sun Oct 23 1977,Box Score,Phoenix Suns,104,Los Angeles Lakers,101,,
Sun Oct 23 1977,Box Score,San Antonio Spurs,112,Seattle SuperSonics,94,,
Mon Oct 24 1977,Box Score,Boston Celtics,85,Detroit Pistons,100,,
Tue Oct 25 1977,Box Score,Atlanta Hawks,103,Boston Celtics,110,,at Hartford CT
Tue Oct 25 1977,Box Score,Golden State Warriors,105,Chicago Bulls,98,,
Tue Oct 25 1977,Box Score,Denver Nuggets,104,Indiana Pacers,129,,
Tue Oct 25 1977,Box Score,San Antonio Spurs,107,Los Angeles Lakers,109,,
Tue Oct 25 1977,Box Score,Cleveland Cavaliers,117,New York Knicks,112,OT,
Tue Oct 25 1977,Box Score,Kansas City Kings,104,Philadelphia 76ers,112,,
Tue Oct 25 1977,Box Score,Seattle SuperSonics,86,Phoenix Suns,93,,
Tue Oct 25 1977,Box Score,Buffalo Braves,85,Portland Trail Blazers,107,,
Wed Oct 26 1977,Box Score,Portland Trail Blazers,108,Denver Nuggets,111,,
Wed Oct 26 1977,Box Score,Golden State Warriors,107,Detroit Pistons,123,,
Wed Oct 26 1977,Box Score,Atlanta Hawks,113,New Jersey Nets,110,OT,
Wed Oct 26 1977,Box Score,New York Knicks,106,New Orleans Jazz,123,,
Wed Oct 26 1977,Box Score,Buffalo Braves,92,Seattle SuperSonics,97,,
Thu Oct 27 1977,Box Score,Kansas City Kings,119,Cleveland Cavaliers,104,,
Thu Oct 27 1977,Box Score,Milwaukee Bucks,110,Houston Rockets,133,,
Fri Oct 28 1977,Box Score,Los Angeles Lakers,95,Atlanta Hawks,102,,
Fri Oct 28 1977,Box Score,Buffalo Braves,97,Golden State Warriors,104,,
Fri Oct 28 1977,Box Score,Washington Bullets,127,Indiana Pacers,136,,
Fri Oct 28 1977,Box Score,Boston Celtics,109,New Jersey Nets,116,,
Fri Oct 28 1977,Box Score,Phoenix Suns,107,New Orleans Jazz,114,,
Fri Oct 28 1977,Box Score,Philadelphia 76ers,94,Portland Trail Blazers,98,,
Sat Oct 29 1977,Box Score,Seattle SuperSonics,97,Chicago Bulls,101,,
Sat Oct 29 1977,Box Score,Boston Celtics,98,Cleveland Cavaliers,103,,
Sat Oct 29 1977,Box Score,Buffalo Braves,111,Denver Nuggets,127,,
Sat Oct 29 1977,Box Score,Philadelphia 76ers,110,Golden State Warriors,113,,
Sat Oct 29 1977,Box Score,Phoenix Suns,112,Houston Rockets,125,,
Sat Oct 29 1977,Box Score,Washington Bullets,106,Kansas City Kings,120,,
Sat Oct 29 1977,Box Score,Detroit Pistons,117,New York Knicks,124,,
Sat Oct 29 1977,Box Score,Los Angeles Lakers,118,San Antonio Spurs,129,,
Sun Oct 30 1977,Box Score,Seattle SuperSonics,95,Milwaukee Bucks,108,,
Mon Oct 31 1977,Box Score,San Antonio Spurs,145,Phoenix Suns,143,,
Tue Nov 1 1977,Box Score,Seattle SuperSonics,99,Atlanta Hawks,102,,
Tue Nov 1 1977,Box Score,Denver Nuggets,93,Cleveland Cavaliers,110,,
Tue Nov 1 1977,Box Score,Kansas City Kings,95,Milwaukee Bucks,115,,
Tue Nov 1 1977,Box Score,Chicago Bulls,88,New Orleans Jazz,99,,
Tue Nov 1 1977,Box Score,New York Knicks,104,Portland Trail Blazers,113,,
Tue Nov 1 1977,Box Score,Golden State Warriors,108,San Antonio Spurs,97,,
Wed Nov 2 1977,Box Score,Cleveland Cavaliers,104,Boston Celtics,101,,
Wed Nov 2 1977,Box Score,Denver Nuggets,100,Buffalo Braves,104,,
Wed Nov 2 1977,Box Score,Atlanta Hawks,102,Detroit Pistons,89,,
Wed Nov 2 1977,Box Score,Seattle SuperSonics,106,Indiana Pacers,104,OT,
Wed Nov 2 1977,Box Score,New Orleans Jazz,102,Kansas City Kings,104,,
Wed Nov 2 1977,Box Score,Los Angeles Lakers,107,New Jersey Nets,102,,
Wed Nov 2 1977,Box Score,Chicago Bulls,103,Philadelphia 76ers,102,,
Thu Nov 3 1977,Box Score,Milwaukee Bucks,91,Cleveland Cavaliers,100,,
Thu Nov 3 1977,Box Score,Golden State Warriors,111,Houston Rockets,113,OT,
Thu Nov 3 1977,Box Score,Phoenix Suns,110,San Antonio Spurs,89,,
Fri Nov 4 1977,Box Score,Denver Nuggets,109,Boston Celtics,107,,
Fri Nov 4 1977,Box Score,Buffalo Braves,100,Chicago Bulls,92,,
Fri Nov 4 1977,Box Score,Atlanta Hawks,111,Kansas City Kings,110,,
Fri Nov 4 1977,Box Score,Indiana Pacers,99,Los Angeles Lakers,111,,
Fri Nov 4 1977,Box Score,Houston Rockets,108,Milwaukee Bucks,110,,
Fri Nov 4 1977,Box Score,Philadelphia 76ers,107,New Jersey Nets,104,,
Fri Nov 4 1977,Box Score,Golden State Warriors,102,New Orleans Jazz,105,,
Fri Nov 4 1977,Box Score,New York Knicks,95,Seattle SuperSonics,92,,
Fri Nov 4 1977,Box Score,Phoenix Suns,96,Washington Bullets,113,,
Sat Nov 5 1977,Box Score,Golden State Warriors,94,Atlanta Hawks,100,,
Sat Nov 5 1977,Box Score,San Antonio Spurs,111,Buffalo Braves,101,,
Sat Nov 5 1977,Box Score,Phoenix Suns,94,Chicago Bulls,111,,
Sat Nov 5 1977,Box Score,New Jersey Nets,93,Cleveland Cavaliers,105,,
Sat Nov 5 1977,Box Score,Washington Bullets,105,Houston Rockets,116,,
Sat Nov 5 1977,Box Score,Denver Nuggets,101,Philadelphia 76ers,132,,
Sat Nov 5 1977,Box Score,Seattle SuperSonics,94,Portland Trail Blazers,116,,
Sun Nov 6 1977,Box Score,New York Knicks,106,Los Angeles Lakers,102,,
Sun Nov 6 1977,Box Score,Washington Bullets,108,New Orleans Jazz,97,,
Sun Nov 6 1977,Box Score,Indiana Pacers,106,Portland Trail Blazers,108,,
Sun Nov 6 1977,Box Score,Kansas City Kings,99,Seattle SuperSonics,83,,
Tue Nov 8 1977,Box Score,Houston Rockets,104,Chicago Bulls,117,,
Tue Nov 8 1977,Box Score,Denver Nuggets,111,Milwaukee Bucks,101,,
Tue Nov 8 1977,Box Score,San Antonio Spurs,117,New York Knicks,123,,
Tue Nov 8 1977,Box Score,Kansas City Kings,104,Portland Trail Blazers,130,,
Wed Nov 9 1977,Box Score,San Antonio Spurs,129,Boston Celtics,114,,
Wed Nov 9 1977,Box Score,New York Knicks,113,Buffalo Braves,124,,
Wed Nov 9 1977,Box Score,New Orleans Jazz,112,Denver Nuggets,115,,
Wed Nov 9 1977,Box Score,Houston Rockets,107,Detroit Pistons,127,,
Wed Nov 9 1977,Box Score,Indiana Pacers,129,Golden State Warriors,132,,
