
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu Apr 24 1997,Box Score,Minnesota Timberwolves,95,Houston Rockets,112,,
Thu Apr 24 1997,Box Score,Orlando Magic,64,Miami Heat,99,,
Thu Apr 24 1997,Box Score,Charlotte Hornets,99,New York Knicks,109,,
Thu Apr 24 1997,Box Score,Los Angeles Clippers,86,Utah Jazz,106,,
Fri Apr 25 1997,Box Score,Detroit Pistons,75,Atlanta Hawks,89,,
Fri Apr 25 1997,Box Score,Washington Bullets,86,Chicago Bulls,98,,
Fri Apr 25 1997,Box Score,Portland Trail Blazers,77,Los Angeles Lakers,95,,
Fri Apr 25 1997,Box Score,Phoenix Suns,106,Seattle SuperSonics,101,,
Sat Apr 26 1997,Box Score,Minnesota Timberwolves,84,Houston Rockets,96,,
Sat Apr 26 1997,Box Score,Charlotte Hornets,93,New York Knicks,100,,
Sat Apr 26 1997,Box Score,Los Angeles Clippers,99,Utah Jazz,105,,
Sun Apr 27 1997,Box Score,Detroit Pistons,93,Atlanta Hawks,80,,
Sun Apr 27 1997,Box Score,Washington Bullets,104,Chicago Bulls,109,,
Sun Apr 27 1997,Box Score,Portland Trail Blazers,93,Los Angeles Lakers,107,,
Sun Apr 27 1997,Box Score,Orlando Magic,87,Miami Heat,104,,
Sun Apr 27 1997,Box Score,Phoenix Suns,78,Seattle SuperSonics,122,,
Mon Apr 28 1997,Box Score,New York Knicks,104,Charlotte Hornets,95,,
Mon Apr 28 1997,Box Score,Utah Jazz,104,Los Angeles Clippers,92,,
Tue Apr 29 1997,Box Score,Atlanta Hawks,91,Detroit Pistons,99,,
Tue Apr 29 1997,Box Score,Houston Rockets,125,Minnesota Timberwolves,120,,
Tue Apr 29 1997,Box Score,Miami Heat,75,Orlando Magic,88,,
Tue Apr 29 1997,Box Score,Seattle SuperSonics,103,Phoenix Suns,110,,
Wed Apr 30 1997,Box Score,Los Angeles Lakers,90,Portland Trail Blazers,98,,
Wed Apr 30 1997,Box Score,Chicago Bulls,96,Washington Bullets,95,,
Thu May 1 1997,Box Score,Miami Heat,91,Orlando Magic,99,,
Thu May 1 1997,Box Score,Seattle SuperSonics,122,Phoenix Suns,115,OT,
Fri May 2 1997,Box Score,Atlanta Hawks,94,Detroit Pistons,82,,
Fri May 2 1997,Box Score,Los Angeles Lakers,95,Portland Trail Blazers,91,,
Sat May 3 1997,Box Score,Phoenix Suns,92,Seattle SuperSonics,116,,
Sun May 4 1997,Box Score,Detroit Pistons,79,Atlanta Hawks,84,,
Sun May 4 1997,Box Score,Orlando Magic,83,Miami Heat,91,,
Sun May 4 1997,Box Score,Los Angeles Lakers,77,Utah Jazz,93,,
Mon May 5 1997,Box Score,Seattle SuperSonics,102,Houston Rockets,112,,
Tue May 6 1997,Box Score,Atlanta Hawks,97,Chicago Bulls,100,,
Tue May 6 1997,Box Score,Los Angeles Lakers,101,Utah Jazz,103,,
Wed May 7 1997,Box Score,Seattle SuperSonics,106,Houston Rockets,101,,
Wed May 7 1997,Box Score,New York Knicks,88,Miami Heat,79,,
Thu May 8 1997,Box Score,Atlanta Hawks,103,Chicago Bulls,95,,
Thu May 8 1997,Box Score,Utah Jazz,84,Los Angeles Lakers,104,,
Fri May 9 1997,Box Score,New York Knicks,84,Miami Heat,88,,
Fri May 9 1997,Box Score,Houston Rockets,97,Seattle SuperSonics,93,,
Sat May 10 1997,Box Score,Chicago Bulls,100,Atlanta Hawks,80,,
Sat May 10 1997,Box Score,Utah Jazz,110,Los Angeles Lakers,95,,
Sun May 11 1997,Box Score,Chicago Bulls,89,Atlanta Hawks,80,,
Sun May 11 1997,Box Score,Miami Heat,73,New York Knicks,77,,
Sun May 11 1997,Box Score,Houston Rockets,110,Seattle SuperSonics,106,OT,
Mon May 12 1997,Box Score,Miami Heat,76,New York Knicks,89,,
Mon May 12 1997,Box Score,Los Angeles Lakers,93,Utah Jazz,98,OT,
Tue May 13 1997,Box Score,Atlanta Hawks,92,Chicago Bulls,107,,
Tue May 13 1997,Box Score,Seattle SuperSonics,100,Houston Rockets,94,,
Wed May 14 1997,Box Score,New York Knicks,81,Miami Heat,96,,
Thu May 15 1997,Box Score,Houston Rockets,96,Seattle SuperSonics,99,,
Fri May 16 1997,Box Score,Miami Heat,95,New York Knicks,90,,
Sat May 17 1997,Box Score,Seattle SuperSonics,91,Houston Rockets,96,,
Sun May 18 1997,Box Score,New York Knicks,90,Miami Heat,101,,
Mon May 19 1997,Box Score,Houston Rockets,86,Utah Jazz,101,,
Tue May 20 1997,Box Score,Miami Heat,77,Chicago Bulls,84,,
Wed May 21 1997,Box Score,Houston Rockets,92,Utah Jazz,104,,
Thu May 22 1997,Box Score,Miami Heat,68,Chicago Bulls,75,,
Fri May 23 1997,Box Score,Utah Jazz,100,Houston Rockets,118,,
Sat May 24 1997,Box Score,Chicago Bulls,98,Miami Heat,74,,
Sun May 25 1997,Box Score,Utah Jazz,92,Houston Rockets,95,,
Mon May 26 1997,Box Score,Chicago Bulls,80,Miami Heat,87,,
Tue May 27 1997,Box Score,Houston Rockets,91,Utah Jazz,96,,
Wed May 28 1997,Box Score,Miami Heat,87,Chicago Bulls,100,,
Thu May 29 1997,Box Score,Utah Jazz,103,Houston Rockets,100,,
Sun Jun 1 1997,Box Score,Utah Jazz,82,Chicago Bulls,84,,
Wed Jun 4 1997,Box Score,Utah Jazz,85,Chicago Bulls,97,,
Fri Jun 6 1997,Box Score,Chicago Bulls,93,Utah Jazz,104,,
Sun Jun 8 1997,Box Score,Chicago Bulls,73,Utah Jazz,78,,
Wed Jun 11 1997,Box Score,Chicago Bulls,90,Utah Jazz,88,,
Fri Jun 13 1997,Box Score,Utah Jazz,86,Chicago Bulls,90,,
