
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 18 2009,Box Score,Chicago Bulls,105,Boston Celtics,103,OT,
Sat Apr 18 2009,Box Score,Detroit Pistons,84,Cleveland Cavaliers,102,,
Sat Apr 18 2009,Box Score,Houston Rockets,108,Portland Trail Blazers,81,,
Sat Apr 18 2009,Box Score,Dallas Mavericks,105,San Antonio Spurs,97,,
Sun Apr 19 2009,Box Score,Miami Heat,64,Atlanta Hawks,90,,
Sun Apr 19 2009,Box Score,New Orleans Hornets,84,Denver Nuggets,113,,
Sun Apr 19 2009,Box Score,Utah Jazz,100,Los Angeles Lakers,113,,
Sun Apr 19 2009,Box Score,Philadelphia 76ers,100,Orlando Magic,98,,
Mon Apr 20 2009,Box Score,Chicago Bulls,115,Boston Celtics,118,,
Mon Apr 20 2009,Box Score,Dallas Mavericks,84,San Antonio Spurs,105,,
Tue Apr 21 2009,Box Score,Detroit Pistons,82,Cleveland Cavaliers,94,,
Tue Apr 21 2009,Box Score,Utah Jazz,109,Los Angeles Lakers,119,,
Tue Apr 21 2009,Box Score,Houston Rockets,103,Portland Trail Blazers,107,,
Wed Apr 22 2009,Box Score,Miami Heat,108,Atlanta Hawks,93,,
Wed Apr 22 2009,Box Score,New Orleans Hornets,93,Denver Nuggets,108,,
Wed Apr 22 2009,Box Score,Philadelphia 76ers,87,Orlando Magic,96,,
Thu Apr 23 2009,Box Score,Boston Celtics,107,Chicago Bulls,86,,
Thu Apr 23 2009,Box Score,San Antonio Spurs,67,Dallas Mavericks,88,,
Thu Apr 23 2009,Box Score,Los Angeles Lakers,86,Utah Jazz,88,,
Fri Apr 24 2009,Box Score,Cleveland Cavaliers,79,Detroit Pistons,68,,
Fri Apr 24 2009,Box Score,Portland Trail Blazers,83,Houston Rockets,86,,
Fri Apr 24 2009,Box Score,Orlando Magic,94,Philadelphia 76ers,96,,
Sat Apr 25 2009,Box Score,San Antonio Spurs,90,Dallas Mavericks,99,,
Sat Apr 25 2009,Box Score,Atlanta Hawks,78,Miami Heat,107,,
Sat Apr 25 2009,Box Score,Denver Nuggets,93,New Orleans Hornets,95,,
Sat Apr 25 2009,Box Score,Los Angeles Lakers,108,Utah Jazz,94,,
Sun Apr 26 2009,Box Score,Boston Celtics,118,Chicago Bulls,121,2OT,
Sun Apr 26 2009,Box Score,Cleveland Cavaliers,99,Detroit Pistons,78,,
Sun Apr 26 2009,Box Score,Portland Trail Blazers,88,Houston Rockets,89,,
Sun Apr 26 2009,Box Score,Orlando Magic,84,Philadelphia 76ers,81,,
Mon Apr 27 2009,Box Score,Utah Jazz,96,Los Angeles Lakers,107,,
Mon Apr 27 2009,Box Score,Atlanta Hawks,81,Miami Heat,71,,
Mon Apr 27 2009,Box Score,Denver Nuggets,121,New Orleans Hornets,63,,
Tue Apr 28 2009,Box Score,Chicago Bulls,104,Boston Celtics,106,OT,
Tue Apr 28 2009,Box Score,Philadelphia 76ers,78,Orlando Magic,91,,
Tue Apr 28 2009,Box Score,Houston Rockets,77,Portland Trail Blazers,88,,
Tue Apr 28 2009,Box Score,Dallas Mavericks,106,San Antonio Spurs,93,,
Wed Apr 29 2009,Box Score,Miami Heat,91,Atlanta Hawks,106,,
Wed Apr 29 2009,Box Score,New Orleans Hornets,86,Denver Nuggets,107,,
Thu Apr 30 2009,Box Score,Boston Celtics,127,Chicago Bulls,128,3OT,
Thu Apr 30 2009,Box Score,Portland Trail Blazers,76,Houston Rockets,92,,
Thu Apr 30 2009,Box Score,Orlando Magic,114,Philadelphia 76ers,89,,
Fri May 1 2009,Box Score,Atlanta Hawks,72,Miami Heat,98,,
Sat May 2 2009,Box Score,Chicago Bulls,99,Boston Celtics,109,,
Sun May 3 2009,Box Score,Miami Heat,78,Atlanta Hawks,91,,
Sun May 3 2009,Box Score,Dallas Mavericks,95,Denver Nuggets,109,,
Mon May 4 2009,Box Score,Orlando Magic,95,Boston Celtics,90,,
Mon May 4 2009,Box Score,Houston Rockets,100,Los Angeles Lakers,92,,
Tue May 5 2009,Box Score,Atlanta Hawks,72,Cleveland Cavaliers,99,,
Tue May 5 2009,Box Score,Dallas Mavericks,105,Denver Nuggets,117,,
Wed May 6 2009,Box Score,Orlando Magic,94,Boston Celtics,112,,
Wed May 6 2009,Box Score,Houston Rockets,98,Los Angeles Lakers,111,,
Thu May 7 2009,Box Score,Atlanta Hawks,85,Cleveland Cavaliers,105,,
Fri May 8 2009,Box Score,Los Angeles Lakers,108,Houston Rockets,94,,
Fri May 8 2009,Box Score,Boston Celtics,96,Orlando Magic,117,,
Sat May 9 2009,Box Score,Cleveland Cavaliers,97,Atlanta Hawks,82,,
Sat May 9 2009,Box Score,Denver Nuggets,106,Dallas Mavericks,105,,
Sun May 10 2009,Box Score,Los Angeles Lakers,87,Houston Rockets,99,,
Sun May 10 2009,Box Score,Boston Celtics,95,Orlando Magic,94,,
Mon May 11 2009,Box Score,Cleveland Cavaliers,84,Atlanta Hawks,74,,
Mon May 11 2009,Box Score,Denver Nuggets,117,Dallas Mavericks,119,,
Tue May 12 2009,Box Score,Orlando Magic,88,Boston Celtics,92,,
Tue May 12 2009,Box Score,Houston Rockets,78,Los Angeles Lakers,118,,
Wed May 13 2009,Box Score,Dallas Mavericks,110,Denver Nuggets,124,,
Thu May 14 2009,Box Score,Los Angeles Lakers,80,Houston Rockets,95,,
Thu May 14 2009,Box Score,Boston Celtics,75,Orlando Magic,83,,
Sun May 17 2009,Box Score,Orlando Magic,101,Boston Celtics,82,,
Sun May 17 2009,Box Score,Houston Rockets,70,Los Angeles Lakers,89,,
Tue May 19 2009,Box Score,Denver Nuggets,103,Los Angeles Lakers,105,,
Wed May 20 2009,Box Score,Orlando Magic,107,Cleveland Cavaliers,106,,
Thu May 21 2009,Box Score,Denver Nuggets,106,Los Angeles Lakers,103,,
Fri May 22 2009,Box Score,Orlando Magic,95,Cleveland Cavaliers,96,,
Sat May 23 2009,Box Score,Los Angeles Lakers,103,Denver Nuggets,97,,
Sun May 24 2009,Box Score,Cleveland Cavaliers,89,Orlando Magic,99,,
Mon May 25 2009,Box Score,Los Angeles Lakers,101,Denver Nuggets,120,,
Tue May 26 2009,Box Score,Cleveland Cavaliers,114,Orlando Magic,116,OT,
Wed May 27 2009,Box Score,Denver Nuggets,94,Los Angeles Lakers,103,,
Thu May 28 2009,Box Score,Orlando Magic,102,Cleveland Cavaliers,112,,
Fri May 29 2009,Box Score,Los Angeles Lakers,119,Denver Nuggets,92,,
Sat May 30 2009,Box Score,Cleveland Cavaliers,90,Orlando Magic,103,,
Thu Jun 4 2009,Box Score,Orlando Magic,75,Los Angeles Lakers,100,,
Sun Jun 7 2009,Box Score,Orlando Magic,96,Los Angeles Lakers,101,OT,
Tue Jun 9 2009,Box Score,Los Angeles Lakers,104,Orlando Magic,108,,
Thu Jun 11 2009,Box Score,Los Angeles Lakers,99,Orlando Magic,91,OT,
Sun Jun 14 2009,Box Score,Los Angeles Lakers,99,Orlando Magic,86,,
