
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Nov 17 1992,Box Score,Sacramento Kings,109,Houston Rockets,116,,
Tue Nov 17 1992,Box Score,Denver Nuggets,98,Indiana Pacers,128,,
Tue Nov 17 1992,Box Score,Detroit Pistons,106,Los Angeles Clippers,115,OT,
Tue Nov 17 1992,Box Score,Golden State Warriors,125,Miami Heat,119,,
Tue Nov 17 1992,Box Score,Chicago Bulls,124,Minnesota Timberwolves,103,,
Tue Nov 17 1992,Box Score,Utah Jazz,108,New Jersey Nets,97,,
Tue Nov 17 1992,Box Score,Cleveland Cavaliers,95,San Antonio Spurs,106,,
Tue Nov 17 1992,Box Score,New York Knicks,90,Seattle SuperSonics,100,,
Tue Nov 17 1992,Box Score,Boston Celtics,97,Washington Bullets,101,,
Wed Nov 18 1992,Box Score,Utah Jazz,92,Boston Celtics,91,,
Wed Nov 18 1992,Box Score,Orlando Magic,120,Philadelphia 76ers,110,,
Wed Nov 18 1992,Box Score,Sacramento Kings,111,Phoenix Suns,127,,
Thu Nov 19 1992,Box Score,New Jersey Nets,108,Atlanta Hawks,101,,
Thu Nov 19 1992,Box Score,Detroit Pistons,87,Denver Nuggets,99,,
Thu Nov 19 1992,Box Score,Cleveland Cavaliers,92,Houston Rockets,99,,
Thu Nov 19 1992,Box Score,New York Knicks,91,Los Angeles Clippers,101,,
Thu Nov 19 1992,Box Score,Golden State Warriors,102,Orlando Magic,126,,
Thu Nov 19 1992,Box Score,Dallas Mavericks,95,San Antonio Spurs,123,,
Thu Nov 19 1992,Box Score,Chicago Bulls,108,Seattle SuperSonics,99,,
Fri Nov 20 1992,Box Score,Golden State Warriors,110,Charlotte Hornets,117,OT,
Fri Nov 20 1992,Box Score,Utah Jazz,97,Indiana Pacers,95,,
Fri Nov 20 1992,Box Score,Chicago Bulls,118,Los Angeles Lakers,120,OT,
Fri Nov 20 1992,Box Score,Washington Bullets,108,Minnesota Timberwolves,100,,
Fri Nov 20 1992,Box Score,Miami Heat,128,Philadelphia 76ers,129,3OT,
Fri Nov 20 1992,Box Score,Portland Trail Blazers,104,Sacramento Kings,99,,
Sat Nov 21 1992,Box Score,Boston Celtics,107,Atlanta Hawks,116,,
Sat Nov 21 1992,Box Score,Cleveland Cavaliers,119,Dallas Mavericks,108,,
Sat Nov 21 1992,Box Score,Minnesota Timberwolves,118,Denver Nuggets,131,,
Sat Nov 21 1992,Box Score,San Antonio Spurs,100,Houston Rockets,103,,
Sat Nov 21 1992,Box Score,Phoenix Suns,107,Los Angeles Clippers,111,,
Sat Nov 21 1992,Box Score,Charlotte Hornets,123,Miami Heat,111,,
Sat Nov 21 1992,Box Score,Indiana Pacers,95,Milwaukee Bucks,105,,
Sat Nov 21 1992,Box Score,Philadelphia 76ers,104,New Jersey Nets,95,,
Sat Nov 21 1992,Box Score,Orlando Magic,77,New York Knicks,92,,
Sat Nov 21 1992,Box Score,Detroit Pistons,101,Seattle SuperSonics,138,,
Sat Nov 21 1992,Box Score,Utah Jazz,109,Washington Bullets,126,,
Sun Nov 22 1992,Box Score,Denver Nuggets,107,Los Angeles Lakers,119,,
Sun Nov 22 1992,Box Score,Golden State Warriors,114,New Jersey Nets,101,,
Sun Nov 22 1992,Box Score,Chicago Bulls,128,Phoenix Suns,111,,
Sun Nov 22 1992,Box Score,Detroit Pistons,90,Portland Trail Blazers,115,,
Mon Nov 23 1992,Box Score,Atlanta Hawks,101,Boston Celtics,97,OT,at Hartford CT
Mon Nov 23 1992,Box Score,Seattle SuperSonics,99,Sacramento Kings,103,,
Tue Nov 24 1992,Box Score,Philadelphia 76ers,119,Charlotte Hornets,127,,
Tue Nov 24 1992,Box Score,Milwaukee Bucks,105,Cleveland Cavaliers,109,,
Tue Nov 24 1992,Box Score,Chicago Bulls,101,Golden State Warriors,92,,
Tue Nov 24 1992,Box Score,Los Angeles Clippers,83,Houston Rockets,88,,
Tue Nov 24 1992,Box Score,Miami Heat,82,Indiana Pacers,114,,
Tue Nov 24 1992,Box Score,Washington Bullets,88,New York Knicks,98,,
Tue Nov 24 1992,Box Score,San Antonio Spurs,91,Portland Trail Blazers,95,,
Tue Nov 24 1992,Box Score,New Jersey Nets,97,Seattle SuperSonics,103,,
Wed Nov 25 1992,Box Score,Washington Bullets,112,Boston Celtics,150,,
Wed Nov 25 1992,Box Score,Los Angeles Clippers,130,Dallas Mavericks,112,,
Wed Nov 25 1992,Box Score,Sacramento Kings,99,Denver Nuggets,114,,
Wed Nov 25 1992,Box Score,Charlotte Hornets,101,Detroit Pistons,97,,
Wed Nov 25 1992,Box Score,New Jersey Nets,100,Los Angeles Lakers,98,,
Wed Nov 25 1992,Box Score,Indiana Pacers,93,Miami Heat,110,,
Wed Nov 25 1992,Box Score,Cleveland Cavaliers,85,Milwaukee Bucks,94,,
Wed Nov 25 1992,Box Score,New York Knicks,99,Minnesota Timberwolves,78,,
Wed Nov 25 1992,Box Score,Houston Rockets,94,Orlando Magic,107,,
Wed Nov 25 1992,Box Score,Atlanta Hawks,111,Philadelphia 76ers,105,,
Wed Nov 25 1992,Box Score,Portland Trail Blazers,117,Phoenix Suns,121,,
Wed Nov 25 1992,Box Score,San Antonio Spurs,128,Utah Jazz,102,,
Fri Nov 27 1992,Box Score,Charlotte Hornets,102,Boston Celtics,111,,
Fri Nov 27 1992,Box Score,Atlanta Hawks,101,Cleveland Cavaliers,122,,
Fri Nov 27 1992,Box Score,Seattle SuperSonics,127,Dallas Mavericks,104,,
Fri Nov 27 1992,Box Score,Orlando Magic,130,Indiana Pacers,116,,
Fri Nov 27 1992,Box Score,Denver Nuggets,109,Los Angeles Clippers,106,,
Fri Nov 27 1992,Box Score,Houston Rockets,101,Miami Heat,93,,
Fri Nov 27 1992,Box Score,Milwaukee Bucks,115,Philadelphia 76ers,111,,
Fri Nov 27 1992,Box Score,Golden State Warriors,107,Phoenix Suns,121,,
Fri Nov 27 1992,Box Score,Los Angeles Lakers,98,Portland Trail Blazers,90,,
Fri Nov 27 1992,Box Score,New Jersey Nets,112,Utah Jazz,110,,
Fri Nov 27 1992,Box Score,Minnesota Timberwolves,102,Washington Bullets,83,,at Baltimore MD
Sat Nov 28 1992,Box Score,Miami Heat,100,Atlanta Hawks,112,,
Sat Nov 28 1992,Box Score,Indiana Pacers,134,Charlotte Hornets,122,,
Sat Nov 28 1992,Box Score,Los Angeles Clippers,121,Denver Nuggets,119,,
Sat Nov 28 1992,Box Score,Phoenix Suns,131,Golden State Warriors,134,,
Sat Nov 28 1992,Box Score,Utah Jazz,108,Houston Rockets,99,,
Sat Nov 28 1992,Box Score,Washington Bullets,95,Milwaukee Bucks,97,,
Sat Nov 28 1992,Box Score,Detroit Pistons,80,Minnesota Timberwolves,82,,
Sat Nov 28 1992,Box Score,Chicago Bulls,75,New York Knicks,112,,
Sat Nov 28 1992,Box Score,Cleveland Cavaliers,93,Orlando Magic,95,,
Sat Nov 28 1992,Box Score,Boston Celtics,117,Philadelphia 76ers,109,,
Sat Nov 28 1992,Box Score,New Jersey Nets,94,Sacramento Kings,89,,
Sat Nov 28 1992,Box Score,Seattle SuperSonics,97,San Antonio Spurs,104,,
Sun Nov 29 1992,Box Score,New York Knicks,76,Detroit Pistons,92,,
Sun Nov 29 1992,Box Score,Dallas Mavericks,85,Los Angeles Lakers,114,,
Sun Nov 29 1992,Box Score,Sacramento Kings,99,Portland Trail Blazers,107,,
Tue Dec 1 1992,Box Score,Indiana Pacers,107,Atlanta Hawks,119,,
Tue Dec 1 1992,Box Score,Boston Celtics,101,Cleveland Cavaliers,111,,
Tue Dec 1 1992,Box Score,Houston Rockets,105,Denver Nuggets,112,,
Tue Dec 1 1992,Box Score,Portland Trail Blazers,85,New York Knicks,101,,
Tue Dec 1 1992,Box Score,Charlotte Hornets,90,Phoenix Suns,109,,
Tue Dec 1 1992,Box Score,Los Angeles Lakers,110,Sacramento Kings,117,,
Tue Dec 1 1992,Box Score,Orlando Magic,102,Seattle SuperSonics,116,,
Tue Dec 1 1992,Box Score,Dallas Mavericks,101,Utah Jazz,116,,
Tue Dec 1 1992,Box Score,San Antonio Spurs,106,Washington Bullets,119,,
Wed Dec 2 1992,Box Score,Chicago Bulls,96,Boston Celtics,101,,
Wed Dec 2 1992,Box Score,Charlotte Hornets,111,Golden State Warriors,110,,
Wed Dec 2 1992,Box Score,Portland Trail Blazers,112,Indiana Pacers,103,,
Wed Dec 2 1992,Box Score,Miami Heat,97,Milwaukee Bucks,100,,
Wed Dec 2 1992,Box Score,Atlanta Hawks,115,New Jersey Nets,122,,
Wed Dec 2 1992,Box Score,San Antonio Spurs,98,Philadelphia 76ers,82,,
Thu Dec 3 1992,Box Score,New York Knicks,90,Cleveland Cavaliers,100,,
Thu Dec 3 1992,Box Score,Los Angeles Lakers,95,Houston Rockets,89,,
Thu Dec 3 1992,Box Score,Orlando Magic,104,Los Angeles Clippers,122,,
Thu Dec 3 1992,Box Score,Dallas Mavericks,108,Seattle SuperSonics,125,,
Thu Dec 3 1992,Box Score,Minnesota Timberwolves,91,Utah Jazz,110,,
Thu Dec 3 1992,Box Score,Milwaukee Bucks,95,Washington Bullets,113,,
Fri Dec 4 1992,Box Score,Miami Heat,104,Boston Celtics,114,,
Fri Dec 4 1992,Box Score,Portland Trail Blazers,99,Chicago Bulls,111,,
Fri Dec 4 1992,Box Score,Golden State Warriors,113,Denver Nuggets,116,,
Fri Dec 4 1992,Box Score,Atlanta Hawks,106,Indiana Pacers,122,,
Fri Dec 4 1992,Box Score,San Antonio Spurs,103,New Jersey Nets,108,OT,
Fri Dec 4 1992,Box Score,Detroit Pistons,101,Philadelphia 76ers,99,,
Fri Dec 4 1992,Box Score,Los Angeles Lakers,93,Phoenix Suns,103,,
Fri Dec 4 1992,Box Score,Charlotte Hornets,112,Sacramento Kings,111,,
Sat Dec 5 1992,Box Score,San Antonio Spurs,105,Atlanta Hawks,113,,
Sat Dec 5 1992,Box Score,Boston Celtics,89,Chicago Bulls,96,,
Sat Dec 5 1992,Box Score,Portland Trail Blazers,96,Cleveland Cavaliers,94,,
Sat Dec 5 1992,Box Score,Houston Rockets,117,Dallas Mavericks,96,,
Sat Dec 5 1992,Box Score,Philadelphia 76ers,88,Detroit Pistons,112,,
