
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 29 1982,Box Score,Boston Celtics,104,Cleveland Cavaliers,93,,
Fri Oct 29 1982,Box Score,Dallas Mavericks,125,Denver Nuggets,117,,
Fri Oct 29 1982,Box Score,Atlanta Hawks,86,Detroit Pistons,94,,
Fri Oct 29 1982,Box Score,Washington Bullets,90,Indiana Pacers,93,,
Fri Oct 29 1982,Box Score,Portland Trail Blazers,111,Kansas City Kings,113,,
Fri Oct 29 1982,Box Score,Golden State Warriors,132,Los Angeles Lakers,117,,
Fri Oct 29 1982,Box Score,Chicago Bulls,102,New Jersey Nets,114,,
Fri Oct 29 1982,Box Score,Philadelphia 76ers,104,New York Knicks,89,,
Fri Oct 29 1982,Box Score,Phoenix Suns,113,San Diego Clippers,99,,
Fri Oct 29 1982,Box Score,Houston Rockets,95,Seattle SuperSonics,128,,
Fri Oct 29 1982,Box Score,San Antonio Spurs,120,Utah Jazz,114,,
Sat Oct 30 1982,Box Score,Boston Celtics,112,Atlanta Hawks,97,,
Sat Oct 30 1982,Box Score,Washington Bullets,143,Chicago Bulls,125,,
Sat Oct 30 1982,Box Score,Utah Jazz,128,Dallas Mavericks,123,,
Sat Oct 30 1982,Box Score,Houston Rockets,110,Golden State Warriors,117,,
Sat Oct 30 1982,Box Score,New York Knicks,86,Milwaukee Bucks,108,,
Sat Oct 30 1982,Box Score,New Jersey Nets,99,Philadelphia 76ers,110,,
Sat Oct 30 1982,Box Score,Portland Trail Blazers,107,San Antonio Spurs,112,,
Sun Oct 31 1982,Box Score,Milwaukee Bucks,119,Cleveland Cavaliers,95,,
Sun Oct 31 1982,Box Score,Phoenix Suns,110,Denver Nuggets,114,,
Sun Oct 31 1982,Box Score,Detroit Pistons,118,Indiana Pacers,115,,
Sun Oct 31 1982,Box Score,Seattle SuperSonics,127,San Diego Clippers,109,,
Tue Nov 2 1982,Box Score,Washington Bullets,88,Atlanta Hawks,105,,
Tue Nov 2 1982,Box Score,Detroit Pistons,128,Cleveland Cavaliers,119,,
Tue Nov 2 1982,Box Score,Dallas Mavericks,113,Houston Rockets,103,,
Tue Nov 2 1982,Box Score,Milwaukee Bucks,112,Kansas City Kings,119,,
Tue Nov 2 1982,Box Score,San Diego Clippers,100,New Jersey Nets,110,,
Tue Nov 2 1982,Box Score,Portland Trail Blazers,87,Phoenix Suns,92,,
Tue Nov 2 1982,Box Score,Seattle SuperSonics,120,Utah Jazz,92,,
Wed Nov 3 1982,Box Score,Indiana Pacers,104,Boston Celtics,111,,
Wed Nov 3 1982,Box Score,Houston Rockets,101,Dallas Mavericks,102,,
Wed Nov 3 1982,Box Score,Los Angeles Lakers,135,Denver Nuggets,134,OT,
Wed Nov 3 1982,Box Score,Chicago Bulls,144,Detroit Pistons,152,,
Wed Nov 3 1982,Box Score,New York Knicks,97,Golden State Warriors,99,,
Wed Nov 3 1982,Box Score,San Diego Clippers,111,Philadelphia 76ers,130,,
Wed Nov 3 1982,Box Score,San Antonio Spurs,107,Seattle SuperSonics,109,,
Wed Nov 3 1982,Box Score,New Jersey Nets,85,Washington Bullets,104,,
Thu Nov 4 1982,Box Score,Milwaukee Bucks,104,Atlanta Hawks,100,,
Thu Nov 4 1982,Box Score,Cleveland Cavaliers,111,Chicago Bulls,118,,
Thu Nov 4 1982,Box Score,Denver Nuggets,108,Los Angeles Lakers,131,,
Thu Nov 4 1982,Box Score,Utah Jazz,104,Phoenix Suns,119,,
Thu Nov 4 1982,Box Score,San Antonio Spurs,108,Portland Trail Blazers,107,OT,
Fri Nov 5 1982,Box Score,Washington Bullets,97,Boston Celtics,104,,
Fri Nov 5 1982,Box Score,New Jersey Nets,99,Cleveland Cavaliers,91,,
Fri Nov 5 1982,Box Score,Philadelphia 76ers,120,Detroit Pistons,109,,
Fri Nov 5 1982,Box Score,San Antonio Spurs,105,Golden State Warriors,104,,
Fri Nov 5 1982,Box Score,Dallas Mavericks,118,Kansas City Kings,113,,
Fri Nov 5 1982,Box Score,San Diego Clippers,99,Milwaukee Bucks,130,,
Fri Nov 5 1982,Box Score,New York Knicks,103,Seattle SuperSonics,112,,
Sat Nov 6 1982,Box Score,Detroit Pistons,93,Atlanta Hawks,95,,
Sat Nov 6 1982,Box Score,San Diego Clippers,124,Chicago Bulls,129,,
Sat Nov 6 1982,Box Score,Phoenix Suns,112,Dallas Mavericks,100,,
Sat Nov 6 1982,Box Score,Golden State Warriors,118,Denver Nuggets,127,,
Sat Nov 6 1982,Box Score,Boston Celtics,115,Philadelphia 76ers,119,2OT,
Sat Nov 6 1982,Box Score,New York Knicks,102,Portland Trail Blazers,110,,
Sat Nov 6 1982,Box Score,Los Angeles Lakers,104,Utah Jazz,101,,
Sat Nov 6 1982,Box Score,Indiana Pacers,115,Washington Bullets,119,OT,
Sun Nov 7 1982,Box Score,Portland Trail Blazers,89,Los Angeles Lakers,103,,
Sun Nov 7 1982,Box Score,Seattle SuperSonics,102,Milwaukee Bucks,90,,
Sun Nov 7 1982,Box Score,Boston Celtics,102,New Jersey Nets,100,,
Sun Nov 7 1982,Box Score,Phoenix Suns,100,San Antonio Spurs,101,,
Tue Nov 9 1982,Box Score,Seattle SuperSonics,112,Chicago Bulls,111,,
Tue Nov 9 1982,Box Score,Atlanta Hawks,106,Denver Nuggets,105,,
Tue Nov 9 1982,Box Score,Phoenix Suns,119,Houston Rockets,91,,
Tue Nov 9 1982,Box Score,San Diego Clippers,95,Indiana Pacers,100,,
Tue Nov 9 1982,Box Score,Kansas City Kings,117,Los Angeles Lakers,139,,
Tue Nov 9 1982,Box Score,New Jersey Nets,84,New York Knicks,82,,
Tue Nov 9 1982,Box Score,Golden State Warriors,96,Portland Trail Blazers,111,,
Tue Nov 9 1982,Box Score,Utah Jazz,104,San Antonio Spurs,118,,
Tue Nov 9 1982,Box Score,Detroit Pistons,108,Washington Bullets,105,,
Wed Nov 10 1982,Box Score,Milwaukee Bucks,105,Boston Celtics,101,,
Wed Nov 10 1982,Box Score,Seattle SuperSonics,94,Dallas Mavericks,91,,
Wed Nov 10 1982,Box Score,Indiana Pacers,91,Detroit Pistons,115,,
Wed Nov 10 1982,Box Score,Cleveland Cavaliers,132,Golden State Warriors,120,OT,
Wed Nov 10 1982,Box Score,New York Knicks,90,New Jersey Nets,99,,
Wed Nov 10 1982,Box Score,Chicago Bulls,108,Philadelphia 76ers,145,,
Wed Nov 10 1982,Box Score,Kansas City Kings,100,Phoenix Suns,106,,
Wed Nov 10 1982,Box Score,Denver Nuggets,119,Utah Jazz,125,,
Thu Nov 11 1982,Box Score,Houston Rockets,90,Portland Trail Blazers,111,,
Thu Nov 11 1982,Box Score,San Antonio Spurs,105,San Diego Clippers,109,,
Fri Nov 12 1982,Box Score,Dallas Mavericks,110,Boston Celtics,118,,
Fri Nov 12 1982,Box Score,New Jersey Nets,105,Chicago Bulls,113,,
Fri Nov 12 1982,Box Score,Portland Trail Blazers,128,Denver Nuggets,111,,
Fri Nov 12 1982,Box Score,Milwaukee Bucks,100,Detroit Pistons,111,,
Fri Nov 12 1982,Box Score,Houston Rockets,96,Los Angeles Lakers,127,,
Fri Nov 12 1982,Box Score,Indiana Pacers,117,Philadelphia 76ers,108,,
Fri Nov 12 1982,Box Score,Cleveland Cavaliers,81,Phoenix Suns,94,,
Fri Nov 12 1982,Box Score,Atlanta Hawks,106,Utah Jazz,98,,
Fri Nov 12 1982,Box Score,New York Knicks,88,Washington Bullets,87,,
Sat Nov 13 1982,Box Score,Denver Nuggets,140,Dallas Mavericks,130,,
Sat Nov 13 1982,Box Score,Atlanta Hawks,101,Golden State Warriors,114,,
Sat Nov 13 1982,Box Score,Chicago Bulls,115,Indiana Pacers,119,,
Sat Nov 13 1982,Box Score,Philadelphia 76ers,110,New Jersey Nets,100,,
Sat Nov 13 1982,Box Score,Detroit Pistons,100,New York Knicks,112,,
Sat Nov 13 1982,Box Score,Seattle SuperSonics,107,San Antonio Spurs,98,,
Sat Nov 13 1982,Box Score,Kansas City Kings,112,San Diego Clippers,111,,
Sun Nov 14 1982,Box Score,Seattle SuperSonics,102,Houston Rockets,99,,
Sun Nov 14 1982,Box Score,Cleveland Cavaliers,98,Los Angeles Lakers,111,,
Sun Nov 14 1982,Box Score,Boston Celtics,100,Milwaukee Bucks,98,,
Sun Nov 14 1982,Box Score,Washington Bullets,93,Philadelphia 76ers,102,,
Sun Nov 14 1982,Box Score,Phoenix Suns,102,Portland Trail Blazers,94,,
Tue Nov 16 1982,Box Score,Golden State Warriors,120,Chicago Bulls,125,,
Tue Nov 16 1982,Box Score,Indiana Pacers,103,Milwaukee Bucks,115,,
Tue Nov 16 1982,Box Score,Houston Rockets,93,New York Knicks,120,,
Tue Nov 16 1982,Box Score,Los Angeles Lakers,105,Phoenix Suns,113,,
Tue Nov 16 1982,Box Score,Atlanta Hawks,87,Portland Trail Blazers,106,,
