
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 20 1982,Box Score,Phoenix Suns,113,Denver Nuggets,129,,
Tue Apr 20 1982,Box Score,Washington Bullets,96,New Jersey Nets,83,,
Wed Apr 21 1982,Box Score,Atlanta Hawks,76,Philadelphia 76ers,111,,
Wed Apr 21 1982,Box Score,Houston Rockets,87,Seattle SuperSonics,102,,
Fri Apr 23 1982,Box Score,Philadelphia 76ers,98,Atlanta Hawks,95,OT,
Fri Apr 23 1982,Box Score,Seattle SuperSonics,70,Houston Rockets,91,,
Fri Apr 23 1982,Box Score,Denver Nuggets,110,Phoenix Suns,126,,
Fri Apr 23 1982,Box Score,New Jersey Nets,92,Washington Bullets,103,,
Sat Apr 24 1982,Box Score,Phoenix Suns,124,Denver Nuggets,119,,
Sun Apr 25 1982,Box Score,Washington Bullets,91,Boston Celtics,109,,
Sun Apr 25 1982,Box Score,Milwaukee Bucks,122,Philadelphia 76ers,125,,
Sun Apr 25 1982,Box Score,Houston Rockets,83,Seattle SuperSonics,104,,
Tue Apr 27 1982,Box Score,Phoenix Suns,96,Los Angeles Lakers,115,,
Tue Apr 27 1982,Box Score,San Antonio Spurs,95,Seattle SuperSonics,93,,
Wed Apr 28 1982,Box Score,Washington Bullets,103,Boston Celtics,102,,
Wed Apr 28 1982,Box Score,Phoenix Suns,98,Los Angeles Lakers,117,,
Wed Apr 28 1982,Box Score,Milwaukee Bucks,108,Philadelphia 76ers,120,,
Wed Apr 28 1982,Box Score,San Antonio Spurs,99,Seattle SuperSonics,114,,
Fri Apr 30 1982,Box Score,Los Angeles Lakers,114,Phoenix Suns,106,,
Fri Apr 30 1982,Box Score,Seattle SuperSonics,97,San Antonio Spurs,99,,
Sat May 1 1982,Box Score,Philadelphia 76ers,91,Milwaukee Bucks,92,,
Sat May 1 1982,Box Score,Boston Celtics,92,Washington Bullets,83,,
Sun May 2 1982,Box Score,Philadelphia 76ers,100,Milwaukee Bucks,93,,
Sun May 2 1982,Box Score,Los Angeles Lakers,112,Phoenix Suns,107,,
Sun May 2 1982,Box Score,Seattle SuperSonics,113,San Antonio Spurs,115,,
Sun May 2 1982,Box Score,Boston Celtics,103,Washington Bullets,99,OT,
Wed May 5 1982,Box Score,Washington Bullets,126,Boston Celtics,131,2OT,
Wed May 5 1982,Box Score,Milwaukee Bucks,110,Philadelphia 76ers,98,,
Wed May 5 1982,Box Score,San Antonio Spurs,109,Seattle SuperSonics,103,,
Fri May 7 1982,Box Score,Philadelphia 76ers,102,Milwaukee Bucks,90,,
Sun May 9 1982,Box Score,Philadelphia 76ers,81,Boston Celtics,121,,
Sun May 9 1982,Box Score,San Antonio Spurs,117,Los Angeles Lakers,128,,
Tue May 11 1982,Box Score,San Antonio Spurs,101,Los Angeles Lakers,110,,
Wed May 12 1982,Box Score,Philadelphia 76ers,121,Boston Celtics,113,,
Fri May 14 1982,Box Score,Los Angeles Lakers,118,San Antonio Spurs,108,,
Sat May 15 1982,Box Score,Boston Celtics,97,Philadelphia 76ers,99,,
Sat May 15 1982,Box Score,Los Angeles Lakers,128,San Antonio Spurs,123,,
Sun May 16 1982,Box Score,Boston Celtics,94,Philadelphia 76ers,119,,
Wed May 19 1982,Box Score,Philadelphia 76ers,85,Boston Celtics,114,,
Fri May 21 1982,Box Score,Boston Celtics,88,Philadelphia 76ers,75,,
Sun May 23 1982,Box Score,Philadelphia 76ers,120,Boston Celtics,106,,
Thu May 27 1982,Box Score,Los Angeles Lakers,124,Philadelphia 76ers,117,,
Sun May 30 1982,Box Score,Los Angeles Lakers,94,Philadelphia 76ers,110,,
Tue Jun 1 1982,Box Score,Philadelphia 76ers,108,Los Angeles Lakers,129,,
Thu Jun 3 1982,Box Score,Philadelphia 76ers,101,Los Angeles Lakers,111,,
Sun Jun 6 1982,Box Score,Los Angeles Lakers,102,Philadelphia 76ers,135,,
Tue Jun 8 1982,Box Score,Philadelphia 76ers,104,Los Angeles Lakers,114,,
