
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Oct 31 1950,Box Score,Washington Capitols,70,Rochester Royals,78,,
Wed Nov 1 1950,Box Score,Minneapolis Lakers,71,Baltimore Bullets,81,,
Wed Nov 1 1950,Box Score,Boston Celtics,84,Fort Wayne Pistons,107,,
Wed Nov 1 1950,Box Score,Indianapolis Olympians,84,Washington Capitols,100,,
Thu Nov 2 1950,Box Score,Fort Wayne Pistons,77,Syracuse Nationals,92,,
Thu Nov 2 1950,Box Score,Boston Celtics,65,Tri-Cities Blackhawks,79,,
Sat Nov 4 1950,Box Score,Indianapolis Olympians,86,Baltimore Bullets,102,,
Sat Nov 4 1950,Box Score,Boston Celtics,68,Philadelphia Warriors,77,,
Sat Nov 4 1950,Box Score,Fort Wayne Pistons,71,Rochester Royals,95,,
Sat Nov 4 1950,Box Score,New York Knicks,76,Tri-Cities Blackhawks,87,,
Sat Nov 4 1950,Box Score,Minneapolis Lakers,91,Washington Capitols,85,,
Sun Nov 5 1950,Box Score,Indianapolis Olympians,63,Fort Wayne Pistons,68,,
Sun Nov 5 1950,Box Score,Minneapolis Lakers,87,Syracuse Nationals,90,,
Sun Nov 5 1950,Box Score,New York Knicks,95,Tri-Cities Blackhawks,98,OT,
Tue Nov 7 1950,Box Score,Boston Celtics,83,Baltimore Bullets,64,,at Providence RI
Tue Nov 7 1950,Box Score,New York Knicks,73,Indianapolis Olympians,86,,
Wed Nov 8 1950,Box Score,Tri-Cities Blackhawks,79,Fort Wayne Pistons,87,,
Wed Nov 8 1950,Box Score,Baltimore Bullets,81,Washington Capitols,86,,
Thu Nov 9 1950,Box Score,Minneapolis Lakers,71,Boston Celtics,76,,
Thu Nov 9 1950,Box Score,Indianapolis Olympians,85,New York Knicks,73,,
Thu Nov 9 1950,Box Score,Fort Wayne Pistons,72,Philadelphia Warriors,87,,
Thu Nov 9 1950,Box Score,Tri-Cities Blackhawks,70,Syracuse Nationals,89,,
Sat Nov 11 1950,Box Score,Fort Wayne Pistons,77,Baltimore Bullets,85,,
Sat Nov 11 1950,Box Score,Syracuse Nationals,72,New York Knicks,74,OT,
Sat Nov 11 1950,Box Score,Tri-Cities Blackhawks,77,Rochester Royals,86,,
Sat Nov 11 1950,Box Score,Boston Celtics,78,Washington Capitols,77,,
Sun Nov 12 1950,Box Score,Indianapolis Olympians,75,Boston Celtics,78,,
Sun Nov 12 1950,Box Score,Washington Capitols,73,Fort Wayne Pistons,87,,
Sun Nov 12 1950,Box Score,Philadelphia Warriors,70,Minneapolis Lakers,83,,
Sun Nov 12 1950,Box Score,Baltimore Bullets,57,Syracuse Nationals,83,,
Sun Nov 12 1950,Box Score,Rochester Royals,79,Tri-Cities Blackhawks,82,OT,
Tue Nov 14 1950,Box Score,Syracuse Nationals,78,Indianapolis Olympians,108,,
Tue Nov 14 1950,Box Score,Baltimore Bullets,72,Philadelphia Warriors,84,,
Tue Nov 14 1950,Box Score,New York Knicks,92,Washington Capitols,87,,
Wed Nov 15 1950,Box Score,Philadelphia Warriors,72,Baltimore Bullets,80,,
Wed Nov 15 1950,Box Score,Washington Capitols,74,Boston Celtics,79,,at Providence RI
Wed Nov 15 1950,Box Score,Rochester Royals,85,Fort Wayne Pistons,89,,
Wed Nov 15 1950,Box Score,Syracuse Nationals,71,Minneapolis Lakers,72,OT,
Thu Nov 16 1950,Box Score,Baltimore Bullets,73,Boston Celtics,82,,
Thu Nov 16 1950,Box Score,Minneapolis Lakers,69,New York Knicks,71,,
Thu Nov 16 1950,Box Score,Indianapolis Olympians,67,Philadelphia Warriors,84,,
Thu Nov 16 1950,Box Score,Syracuse Nationals,75,Tri-Cities Blackhawks,79,,
Sat Nov 18 1950,Box Score,Boston Celtics,80,Baltimore Bullets,76,,
