
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Wed Apr 2 1947,Box Score,New York Knicks,51,Cleveland Rebels,77,,
Wed Apr 2 1947,Box Score,St. Louis Bombers,68,Philadelphia Warriors,73,,
Wed Apr 2 1947,Box Score,Chicago Stags,81,Washington Capitols,65,,
Thu Apr 3 1947,Box Score,Chicago Stags,69,Washington Capitols,53,,
Sat Apr 5 1947,Box Score,Cleveland Rebels,74,New York Knicks,86,,
Sat Apr 5 1947,Box Score,Philadelphia Warriors,51,St. Louis Bombers,73,,
Sun Apr 6 1947,Box Score,Philadelphia Warriors,75,St. Louis Bombers,59,,
Tue Apr 8 1947,Box Score,Washington Capitols,55,Chicago Stags,67,,
Wed Apr 9 1947,Box Score,Cleveland Rebels,71,New York Knicks,93,,
Thu Apr 10 1947,Box Score,Chicago Stags,69,Washington Capitols,76,,
Sat Apr 12 1947,Box Score,Washington Capitols,67,Chicago Stags,55,,
Sat Apr 12 1947,Box Score,New York Knicks,70,Philadelphia Warriors,82,,
Sun Apr 13 1947,Box Score,Washington Capitols,61,Chicago Stags,66,,
Mon Apr 14 1947,Box Score,Philadelphia Warriors,72,New York Knicks,53,,
Wed Apr 16 1947,Box Score,Chicago Stags,71,Philadelphia Warriors,84,,
Thu Apr 17 1947,Box Score,Chicago Stags,74,Philadelphia Warriors,85,,
Sat Apr 19 1947,Box Score,Philadelphia Warriors,75,Chicago Stags,72,,
Sun Apr 20 1947,Box Score,Philadelphia Warriors,73,Chicago Stags,74,,
Tue Apr 22 1947,Box Score,Chicago Stags,80,Philadelphia Warriors,83,,
