
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 21 2001,Box Score,Charlotte Hornets,106,Miami Heat,80,,
Sat Apr 21 2001,Box Score,Indiana Pacers,79,Philadelphia 76ers,78,,
Sat Apr 21 2001,Box Score,Minnesota Timberwolves,82,San Antonio Spurs,87,,
Sat Apr 21 2001,Box Score,Dallas Mavericks,86,Utah Jazz,88,,
Sun Apr 22 2001,Box Score,Portland Trail Blazers,93,Los Angeles Lakers,106,,
Sun Apr 22 2001,Box Score,Orlando Magic,90,Milwaukee Bucks,103,,
Sun Apr 22 2001,Box Score,Toronto Raptors,85,New York Knicks,92,,
Sun Apr 22 2001,Box Score,Phoenix Suns,86,Sacramento Kings,83,,
Mon Apr 23 2001,Box Score,Charlotte Hornets,102,Miami Heat,76,,
Mon Apr 23 2001,Box Score,Minnesota Timberwolves,69,San Antonio Spurs,86,,
Tue Apr 24 2001,Box Score,Indiana Pacers,98,Philadelphia 76ers,116,,
Tue Apr 24 2001,Box Score,Dallas Mavericks,98,Utah Jazz,109,,
Wed Apr 25 2001,Box Score,Orlando Magic,96,Milwaukee Bucks,103,,
Wed Apr 25 2001,Box Score,Phoenix Suns,90,Sacramento Kings,116,,
Thu Apr 26 2001,Box Score,Portland Trail Blazers,88,Los Angeles Lakers,106,,
Thu Apr 26 2001,Box Score,Toronto Raptors,94,New York Knicks,74,,
Fri Apr 27 2001,Box Score,Miami Heat,79,Charlotte Hornets,94,,
Sat Apr 28 2001,Box Score,Utah Jazz,91,Dallas Mavericks,94,,
Sat Apr 28 2001,Box Score,Philadelphia 76ers,92,Indiana Pacers,87,,
Sat Apr 28 2001,Box Score,San Antonio Spurs,84,Minnesota Timberwolves,93,,
Sat Apr 28 2001,Box Score,Milwaukee Bucks,116,Orlando Magic,121,OT,
Sun Apr 29 2001,Box Score,Sacramento Kings,104,Phoenix Suns,96,,
Sun Apr 29 2001,Box Score,Los Angeles Lakers,99,Portland Trail Blazers,86,,
Sun Apr 29 2001,Box Score,New York Knicks,97,Toronto Raptors,89,,
Mon Apr 30 2001,Box Score,San Antonio Spurs,97,Minnesota Timberwolves,84,,
Tue May 1 2001,Box Score,Utah Jazz,77,Dallas Mavericks,107,,
Tue May 1 2001,Box Score,Milwaukee Bucks,112,Orlando Magic,104,,
Wed May 2 2001,Box Score,Philadelphia 76ers,88,Indiana Pacers,85,,
Wed May 2 2001,Box Score,Sacramento Kings,89,Phoenix Suns,82,,
Wed May 2 2001,Box Score,New York Knicks,93,Toronto Raptors,100,,
Thu May 3 2001,Box Score,Dallas Mavericks,84,Utah Jazz,83,,
Fri May 4 2001,Box Score,Toronto Raptors,93,New York Knicks,89,,
Sat May 5 2001,Box Score,Dallas Mavericks,78,San Antonio Spurs,94,,
