
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Oct 12 1971,Box Score,Seattle SuperSonics,123,Buffalo Braves,90,,
Tue Oct 12 1971,Box Score,Philadelphia 76ers,114,Chicago Bulls,100,,
Tue Oct 12 1971,Box Score,Atlanta Hawks,113,Cincinnati Royals,127,,
Tue Oct 12 1971,Box Score,Detroit Pistons,91,New York Knicks,84,,
Thu Oct 14 1971,Box Score,Philadelphia 76ers,105,Houston Rockets,94,,
Thu Oct 14 1971,Box Score,Milwaukee Bucks,110,Phoenix Suns,97,,
Fri Oct 15 1971,Box Score,Golden State Warriors,97,Boston Celtics,75,,
Fri Oct 15 1971,Box Score,Baltimore Bullets,82,Chicago Bulls,106,,
Fri Oct 15 1971,Box Score,Buffalo Braves,111,Cleveland Cavaliers,109,OT,
Fri Oct 15 1971,Box Score,Los Angeles Lakers,132,Detroit Pistons,103,,
Fri Oct 15 1971,Box Score,Seattle SuperSonics,119,Portland Trail Blazers,88,,
Sat Oct 16 1971,Box Score,Philadelphia 76ers,104,Atlanta Hawks,102,,
Sat Oct 16 1971,Box Score,Golden State Warriors,93,Baltimore Bullets,108,,
Sat Oct 16 1971,Box Score,Cleveland Cavaliers,93,Buffalo Braves,89,,
Sat Oct 16 1971,Box Score,Los Angeles Lakers,119,New York Knicks,104,,
Sat Oct 16 1971,Box Score,Houston Rockets,108,Phoenix Suns,128,,
Sat Oct 16 1971,Box Score,Milwaukee Bucks,98,Seattle SuperSonics,91,,
Sun Oct 17 1971,Box Score,New York Knicks,121,Cleveland Cavaliers,120,OT,
Sun Oct 17 1971,Box Score,Houston Rockets,99,Detroit Pistons,112,,at San Antonio TX
Sun Oct 17 1971,Box Score,Milwaukee Bucks,127,Portland Trail Blazers,94,,
Tue Oct 19 1971,Box Score,Baltimore Bullets,114,Boston Celtics,134,,
Tue Oct 19 1971,Box Score,Los Angeles Lakers,123,Buffalo Braves,106,,
Tue Oct 19 1971,Box Score,Seattle SuperSonics,101,Cincinnati Royals,100,,
Tue Oct 19 1971,Box Score,Cleveland Cavaliers,82,Milwaukee Bucks,116,,
Tue Oct 19 1971,Box Score,Golden State Warriors,84,New York Knicks,93,,
Tue Oct 19 1971,Box Score,Detroit Pistons,101,Portland Trail Blazers,99,,
Wed Oct 20 1971,Box Score,Los Angeles Lakers,126,Atlanta Hawks,104,,
Wed Oct 20 1971,Box Score,Houston Rockets,110,Chicago Bulls,125,,at Waco TX
Wed Oct 20 1971,Box Score,Golden State Warriors,115,Cleveland Cavaliers,98,,
Wed Oct 20 1971,Box Score,Seattle SuperSonics,93,Philadelphia 76ers,100,,
Fri Oct 22 1971,Box Score,Boston Celtics,115,Atlanta Hawks,108,,
Fri Oct 22 1971,Box Score,New York Knicks,110,Baltimore Bullets,87,,
Fri Oct 22 1971,Box Score,Chicago Bulls,113,Los Angeles Lakers,106,,
Fri Oct 22 1971,Box Score,Buffalo Braves,105,Milwaukee Bucks,124,,
Fri Oct 22 1971,Box Score,Detroit Pistons,116,Phoenix Suns,109,,
Fri Oct 22 1971,Box Score,Houston Rockets,91,Seattle SuperSonics,110,,
Sat Oct 23 1971,Box Score,Cleveland Cavaliers,109,Baltimore Bullets,101,,at College Park MD
Sat Oct 23 1971,Box Score,Boston Celtics,103,Buffalo Braves,98,,
Sat Oct 23 1971,Box Score,Detroit Pistons,109,Golden State Warriors,115,OT,at Oakland CA
Sat Oct 23 1971,Box Score,Atlanta Hawks,95,New York Knicks,89,,
Sat Oct 23 1971,Box Score,Milwaukee Bucks,110,Philadelphia 76ers,88,,
Sat Oct 23 1971,Box Score,Cincinnati Royals,100,Portland Trail Blazers,104,,
Sun Oct 24 1971,Box Score,Philadelphia 76ers,111,Cleveland Cavaliers,93,,
Sun Oct 24 1971,Box Score,Los Angeles Lakers,113,Houston Rockets,103,,
Sun Oct 24 1971,Box Score,Chicago Bulls,105,Phoenix Suns,104,,
Sun Oct 24 1971,Box Score,Cincinnati Royals,101,Seattle SuperSonics,119,,
Mon Oct 25 1971,Box Score,Atlanta Hawks,116,Boston Celtics,136,,
Tue Oct 26 1971,Box Score,Houston Rockets,104,Detroit Pistons,103,,
Tue Oct 26 1971,Box Score,Buffalo Braves,91,Golden State Warriors,89,,at Oakland CA
Tue Oct 26 1971,Box Score,Baltimore Bullets,90,Milwaukee Bucks,120,,
Tue Oct 26 1971,Box Score,Boston Celtics,101,New York Knicks,106,,
Tue Oct 26 1971,Box Score,Cincinnati Royals,99,Phoenix Suns,126,,
Tue Oct 26 1971,Box Score,Chicago Bulls,123,Portland Trail Blazers,111,,
Wed Oct 27 1971,Box Score,New York Knicks,96,Atlanta Hawks,110,,
