
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Jan 3 1948,Box Score,Baltimore Bullets,79,New York Knicks,70,,
Sat Jan 3 1948,Box Score,Chicago Stags,79,Providence Steam Rollers,76,,
Sat Jan 3 1948,Box Score,Boston Celtics,60,Washington Capitols,95,,
Sun Jan 4 1948,Box Score,Philadelphia Warriors,66,St. Louis Bombers,80,,
Tue Jan 6 1948,Box Score,Providence Steam Rollers,64,Baltimore Bullets,82,,
Wed Jan 7 1948,Box Score,Chicago Stags,79,New York Knicks,74,,
Thu Jan 8 1948,Box Score,Chicago Stags,75,Baltimore Bullets,78,,
Thu Jan 8 1948,Box Score,Washington Capitols,73,St. Louis Bombers,76,,
Fri Jan 9 1948,Box Score,Chicago Stags,77,Philadelphia Warriors,60,,
Sat Jan 10 1948,Box Score,Boston Celtics,57,Providence Steam Rollers,70,,
Sat Jan 10 1948,Box Score,Philadelphia Warriors,99,Washington Capitols,106,OT,
Sun Jan 11 1948,Box Score,Washington Capitols,56,Boston Celtics,84,,
Sun Jan 11 1948,Box Score,New York Knicks,86,Chicago Stags,99,,
Sun Jan 11 1948,Box Score,Baltimore Bullets,54,St. Louis Bombers,69,,
Wed Jan 14 1948,Box Score,Chicago Stags,67,Washington Capitols,75,,
Thu Jan 15 1948,Box Score,Baltimore Bullets,98,Providence Steam Rollers,78,,
Thu Jan 15 1948,Box Score,New York Knicks,59,St. Louis Bombers,55,,
Fri Jan 16 1948,Box Score,Chicago Stags,61,Boston Celtics,75,,
Fri Jan 16 1948,Box Score,Baltimore Bullets,63,Philadelphia Warriors,72,,
Sat Jan 17 1948,Box Score,Philadelphia Warriors,79,Baltimore Bullets,77,,
Sat Jan 17 1948,Box Score,New York Knicks,62,Washington Capitols,78,,
Sun Jan 18 1948,Box Score,Boston Celtics,48,Chicago Stags,72,,
Sun Jan 18 1948,Box Score,Providence Steam Rollers,61,St. Louis Bombers,70,,
Mon Jan 19 1948,Box Score,Philadelphia Warriors,63,New York Knicks,57,,
Tue Jan 20 1948,Box Score,St. Louis Bombers,59,Philadelphia Warriors,82,,
Wed Jan 21 1948,Box Score,St. Louis Bombers,74,Washington Capitols,81,,
Thu Jan 22 1948,Box Score,St. Louis Bombers,71,Baltimore Bullets,68,,
Thu Jan 22 1948,Box Score,Providence Steam Rollers,56,Chicago Stags,50,,
Thu Jan 22 1948,Box Score,Boston Celtics,61,Philadelphia Warriors,54,,
Fri Jan 23 1948,Box Score,New York Knicks,74,Boston Celtics,58,,
Sat Jan 24 1948,Box Score,Baltimore Bullets,72,New York Knicks,58,,
Sat Jan 24 1948,Box Score,Providence Steam Rollers,60,Washington Capitols,69,,
Sun Jan 25 1948,Box Score,Boston Celtics,54,St. Louis Bombers,72,,
Tue Jan 27 1948,Box Score,Philadelphia Warriors,77,Boston Celtics,68,,
Tue Jan 27 1948,Box Score,Baltimore Bullets,74,Chicago Stags,78,,
Tue Jan 27 1948,Box Score,St. Louis Bombers,94,Providence Steam Rollers,61,,
Wed Jan 28 1948,Box Score,Providence Steam Rollers,73,New York Knicks,75,,
Thu Jan 29 1948,Box Score,New York Knicks,66,Philadelphia Warriors,60,,
Thu Jan 29 1948,Box Score,Chicago Stags,60,St. Louis Bombers,62,,
Fri Jan 30 1948,Box Score,Washington Capitols,71,Baltimore Bullets,95,,at Baltimore MD (Fifth Regiment Armory)
Fri Jan 30 1948,Box Score,Providence Steam Rollers,79,Boston Celtics,69,,
Sat Jan 31 1948,Box Score,Boston Celtics,64,New York Knicks,66,,
Sat Jan 31 1948,Box Score,Baltimore Bullets,68,Providence Steam Rollers,62,,
Sat Jan 31 1948,Box Score,Philadelphia Warriors,66,St. Louis Bombers,60,,
Sat Jan 31 1948,Box Score,Chicago Stags,48,Washington Capitols,54,,
Sun Feb 1 1948,Box Score,Philadelphia Warriors,85,Chicago Stags,78,,
Tue Feb 3 1948,Box Score,New York Knicks,78,Providence Steam Rollers,62,,
Wed Feb 4 1948,Box Score,Providence Steam Rollers,69,New York Knicks,108,,
Wed Feb 4 1948,Box Score,Baltimore Bullets,72,Washington Capitols,77,,
Thu Feb 5 1948,Box Score,Providence Steam Rollers,74,Baltimore Bullets,100,,
Thu Feb 5 1948,Box Score,Washington Capitols,72,Philadelphia Warriors,60,,
Thu Feb 5 1948,Box Score,Chicago Stags,77,St. Louis Bombers,71,,
Fri Feb 6 1948,Box Score,New York Knicks,68,Boston Celtics,57,,
Sat Feb 7 1948,Box Score,Washington Capitols,86,Providence Steam Rollers,64,,
Sat Feb 7 1948,Box Score,Philadelphia Warriors,54,St. Louis Bombers,67,,
Sun Feb 8 1948,Box Score,Philadelphia Warriors,74,Chicago Stags,80,2OT,
Sun Feb 8 1948,Box Score,Boston Celtics,68,New York Knicks,80,,
Tue Feb 10 1948,Box Score,Providence Steam Rollers,60,Washington Capitols,79,,
Wed Feb 11 1948,Box Score,St. Louis Bombers,80,Chicago Stags,78,,
Wed Feb 11 1948,Box Score,Providence Steam Rollers,63,New York Knicks,86,,
Thu Feb 12 1948,Box Score,New York Knicks,86,Baltimore Bullets,96,,
Thu Feb 12 1948,Box Score,Boston Celtics,60,Philadelphia Warriors,69,,
Thu Feb 12 1948,Box Score,Chicago Stags,80,St. Louis Bombers,74,,
Fri Feb 13 1948,Box Score,Providence Steam Rollers,73,Boston Celtics,79,,
Sat Feb 14 1948,Box Score,Philadelphia Warriors,47,New York Knicks,78,,
Sat Feb 14 1948,Box Score,Boston Celtics,58,Washington Capitols,72,,
Sun Feb 15 1948,Box Score,Providence Steam Rollers,85,Chicago Stags,79,,
Sun Feb 15 1948,Box Score,Baltimore Bullets,63,St. Louis Bombers,69,,
Wed Feb 18 1948,Box Score,New York Knicks,79,Washington Capitols,75,,
Thu Feb 19 1948,Box Score,Baltimore Bullets,79,Boston Celtics,76,OT,
Thu Feb 19 1948,Box Score,New York Knicks,74,Chicago Stags,82,,
Thu Feb 19 1948,Box Score,Washington Capitols,76,Philadelphia Warriors,84,,
Thu Feb 19 1948,Box Score,Providence Steam Rollers,69,St. Louis Bombers,78,,
Sat Feb 21 1948,Box Score,Chicago Stags,92,Providence Steam Rollers,73,,
Sat Feb 21 1948,Box Score,Baltimore Bullets,72,Washington Capitols,85,,
Sun Feb 22 1948,Box Score,Chicago Stags,97,Boston Celtics,77,,
Sun Feb 22 1948,Box Score,New York Knicks,71,St. Louis Bombers,80,,
Tue Feb 24 1948,Box Score,Baltimore Bullets,71,Philadelphia Warriors,83,,
Wed Feb 25 1948,Box Score,Chicago Stags,73,Washington Capitols,66,,
Thu Feb 26 1948,Box Score,Washington Capitols,70,Baltimore Bullets,97,,
Thu Feb 26 1948,Box Score,Chicago Stags,80,Philadelphia Warriors,89,,
Thu Feb 26 1948,Box Score,Boston Celtics,92,St. Louis Bombers,94,2OT,
Fri Feb 27 1948,Box Score,Boston Celtics,83,Chicago Stags,69,,
Sat Feb 28 1948,Box Score,Baltimore Bullets,78,New York Knicks,56,,
Sat Feb 28 1948,Box Score,Philadelphia Warriors,83,Providence Steam Rollers,82,,
Sat Feb 28 1948,Box Score,Washington Capitols,61,St. Louis Bombers,82,,
Sun Feb 29 1948,Box Score,Baltimore Bullets,62,Boston Celtics,65,,
Sun Feb 29 1948,Box Score,Washington Capitols,75,Chicago Stags,76,OT,
Tue Mar 2 1948,Box Score,New York Knicks,66,Philadelphia Warriors,76,,
Thu Mar 4 1948,Box Score,St. Louis Bombers,75,Baltimore Bullets,84,,
Thu Mar 4 1948,Box Score,Boston Celtics,62,Philadelphia Warriors,82,,
Fri Mar 5 1948,Box Score,St. Louis Bombers,68,Boston Celtics,71,,
