
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu Oct 19 1961,Box Score,Philadelphia Warriors,113,Los Angeles Lakers,118,,at New York NY
Thu Oct 19 1961,Box Score,Chicago Packers,103,New York Knicks,120,,
Fri Oct 20 1961,Box Score,Los Angeles Lakers,115,Philadelphia Warriors,122,,
Sat Oct 21 1961,Box Score,Detroit Pistons,102,Boston Celtics,137,,
Sat Oct 21 1961,Box Score,New York Knicks,95,Philadelphia Warriors,132,,
Sat Oct 21 1961,Box Score,Cincinnati Royals,138,St. Louis Hawks,129,,
Sat Oct 21 1961,Box Score,Chicago Packers,103,Syracuse Nationals,123,,
Tue Oct 24 1961,Box Score,Los Angeles Lakers,124,Cincinnati Royals,122,,at New York NY
Tue Oct 24 1961,Box Score,St. Louis Hawks,110,New York Knicks,112,,
Wed Oct 25 1961,Box Score,Los Angeles Lakers,120,Detroit Pistons,116,,
Thu Oct 26 1961,Box Score,Cincinnati Royals,117,New York Knicks,120,,
Thu Oct 26 1961,Box Score,Syracuse Nationals,107,St. Louis Hawks,110,,at New York NY
Fri Oct 27 1961,Box Score,St. Louis Hawks,106,Chicago Packers,117,,
Fri Oct 27 1961,Box Score,Detroit Pistons,118,Los Angeles Lakers,128,,
Fri Oct 27 1961,Box Score,Syracuse Nationals,126,Philadelphia Warriors,122,,
Sat Oct 28 1961,Box Score,New York Knicks,102,Boston Celtics,132,,
Sat Oct 28 1961,Box Score,Detroit Pistons,126,Los Angeles Lakers,135,,
Sat Oct 28 1961,Box Score,Chicago Packers,95,St. Louis Hawks,122,,
Sat Oct 28 1961,Box Score,Philadelphia Warriors,119,Syracuse Nationals,115,,
Sun Oct 29 1961,Box Score,Syracuse Nationals,132,Cincinnati Royals,139,,
Tue Oct 31 1961,Box Score,New York Knicks,131,Cincinnati Royals,127,,at St. Louis MO
Tue Oct 31 1961,Box Score,Syracuse Nationals,107,St. Louis Hawks,90,,
Wed Nov 1 1961,Box Score,New York Knicks,95,Detroit Pistons,111,,
Wed Nov 1 1961,Box Score,Cincinnati Royals,115,Los Angeles Lakers,120,,
Fri Nov 3 1961,Box Score,New York Knicks,118,Chicago Packers,129,,
Fri Nov 3 1961,Box Score,Cincinnati Royals,132,Los Angeles Lakers,114,,
Fri Nov 3 1961,Box Score,Boston Celtics,112,Philadelphia Warriors,98,,
Fri Nov 3 1961,Box Score,St. Louis Hawks,106,Syracuse Nationals,94,,
Sat Nov 4 1961,Box Score,Syracuse Nationals,107,Boston Celtics,127,,
Sat Nov 4 1961,Box Score,Los Angeles Lakers,125,Chicago Packers,112,,
Sat Nov 4 1961,Box Score,Detroit Pistons,132,Philadelphia Warriors,135,,
Sat Nov 4 1961,Box Score,New York Knicks,111,St. Louis Hawks,112,,
Tue Nov 7 1961,Box Score,New York Knicks,98,Cincinnati Royals,123,,
Tue Nov 7 1961,Box Score,Los Angeles Lakers,127,St. Louis Hawks,110,,
Wed Nov 8 1961,Box Score,New York Knicks,130,Chicago Packers,108,,at Detroit MI
Wed Nov 8 1961,Box Score,Philadelphia Warriors,132,Detroit Pistons,128,,
Wed Nov 8 1961,Box Score,St. Louis Hawks,118,Los Angeles Lakers,124,,
Thu Nov 9 1961,Box Score,Detroit Pistons,116,Boston Celtics,110,,at Philadelphia PA
Thu Nov 9 1961,Box Score,Syracuse Nationals,108,Philadelphia Warriors,151,,
Fri Nov 10 1961,Box Score,Chicago Packers,117,Cincinnati Royals,122,,
Fri Nov 10 1961,Box Score,Detroit Pistons,124,New York Knicks,118,,
Sat Nov 11 1961,Box Score,Philadelphia Warriors,125,Boston Celtics,128,,
Sat Nov 11 1961,Box Score,Cincinnati Royals,117,Chicago Packers,107,,
Sat Nov 11 1961,Box Score,Detroit Pistons,119,St. Louis Hawks,132,,
