
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Wed Apr 2 1980,Box Score,San Antonio Spurs,85,Houston Rockets,95,,
Wed Apr 2 1980,Box Score,Washington Bullets,96,Philadelphia 76ers,111,,
Wed Apr 2 1980,Box Score,Kansas City Kings,93,Phoenix Suns,96,,
Wed Apr 2 1980,Box Score,Portland Trail Blazers,110,Seattle SuperSonics,120,,
Fri Apr 4 1980,Box Score,Phoenix Suns,96,Kansas City Kings,106,,
Fri Apr 4 1980,Box Score,Seattle SuperSonics,95,Portland Trail Blazers,105,OT,
Fri Apr 4 1980,Box Score,Houston Rockets,101,San Antonio Spurs,106,,
Fri Apr 4 1980,Box Score,Philadelphia 76ers,112,Washington Bullets,104,,
Sun Apr 6 1980,Box Score,San Antonio Spurs,120,Houston Rockets,141,,
Sun Apr 6 1980,Box Score,Atlanta Hawks,104,Philadelphia 76ers,107,,
Sun Apr 6 1980,Box Score,Kansas City Kings,99,Phoenix Suns,114,,
Sun Apr 6 1980,Box Score,Portland Trail Blazers,86,Seattle SuperSonics,103,,
Tue Apr 8 1980,Box Score,Phoenix Suns,110,Los Angeles Lakers,119,,
Tue Apr 8 1980,Box Score,Milwaukee Bucks,113,Seattle SuperSonics,114,OT,
Wed Apr 9 1980,Box Score,Houston Rockets,101,Boston Celtics,119,,
Wed Apr 9 1980,Box Score,Phoenix Suns,128,Los Angeles Lakers,131,OT,
Wed Apr 9 1980,Box Score,Atlanta Hawks,92,Philadelphia 76ers,99,,
Wed Apr 9 1980,Box Score,Milwaukee Bucks,114,Seattle SuperSonics,112,OT,
Thu Apr 10 1980,Box Score,Philadelphia 76ers,93,Atlanta Hawks,105,,
Fri Apr 11 1980,Box Score,Houston Rockets,75,Boston Celtics,95,,
Fri Apr 11 1980,Box Score,Seattle SuperSonics,91,Milwaukee Bucks,95,,
Fri Apr 11 1980,Box Score,Los Angeles Lakers,108,Phoenix Suns,105,,
Sun Apr 13 1980,Box Score,Philadelphia 76ers,107,Atlanta Hawks,83,,
Sun Apr 13 1980,Box Score,Boston Celtics,100,Houston Rockets,81,,
Sun Apr 13 1980,Box Score,Seattle SuperSonics,112,Milwaukee Bucks,107,,
Sun Apr 13 1980,Box Score,Los Angeles Lakers,101,Phoenix Suns,127,,
Mon Apr 14 1980,Box Score,Boston Celtics,138,Houston Rockets,121,,
Tue Apr 15 1980,Box Score,Phoenix Suns,101,Los Angeles Lakers,126,,
Tue Apr 15 1980,Box Score,Atlanta Hawks,100,Philadelphia 76ers,105,,
Tue Apr 15 1980,Box Score,Milwaukee Bucks,108,Seattle SuperSonics,97,,
Fri Apr 18 1980,Box Score,Philadelphia 76ers,96,Boston Celtics,93,,
Fri Apr 18 1980,Box Score,Seattle SuperSonics,86,Milwaukee Bucks,85,,
Sun Apr 20 1980,Box Score,Philadelphia 76ers,90,Boston Celtics,96,,
Sun Apr 20 1980,Box Score,Milwaukee Bucks,94,Seattle SuperSonics,98,,
Tue Apr 22 1980,Box Score,Seattle SuperSonics,108,Los Angeles Lakers,107,,
Wed Apr 23 1980,Box Score,Seattle SuperSonics,99,Los Angeles Lakers,108,,
Wed Apr 23 1980,Box Score,Boston Celtics,97,Philadelphia 76ers,99,,
Fri Apr 25 1980,Box Score,Boston Celtics,90,Philadelphia 76ers,102,,
Fri Apr 25 1980,Box Score,Los Angeles Lakers,104,Seattle SuperSonics,100,,
Sun Apr 27 1980,Box Score,Philadelphia 76ers,105,Boston Celtics,94,,
Sun Apr 27 1980,Box Score,Los Angeles Lakers,98,Seattle SuperSonics,93,,
Wed Apr 30 1980,Box Score,Seattle SuperSonics,105,Los Angeles Lakers,111,,
Sun May 4 1980,Box Score,Philadelphia 76ers,102,Los Angeles Lakers,109,,
Wed May 7 1980,Box Score,Philadelphia 76ers,107,Los Angeles Lakers,104,,
Sat May 10 1980,Box Score,Los Angeles Lakers,111,Philadelphia 76ers,101,,
Sun May 11 1980,Box Score,Los Angeles Lakers,102,Philadelphia 76ers,105,,
Wed May 14 1980,Box Score,Philadelphia 76ers,103,Los Angeles Lakers,108,,
Fri May 16 1980,Box Score,Los Angeles Lakers,123,Philadelphia 76ers,107,,
