
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 23 2005,Box Score,Indiana Pacers,82,Boston Celtics,102,,
Sat Apr 23 2005,Box Score,Houston Rockets,98,Dallas Mavericks,86,,
Sat Apr 23 2005,Box Score,Philadelphia 76ers,85,Detroit Pistons,106,,
Sat Apr 23 2005,Box Score,Sacramento Kings,82,Seattle SuperSonics,87,,
Sun Apr 24 2005,Box Score,Washington Wizards,94,Chicago Bulls,103,,
Sun Apr 24 2005,Box Score,New Jersey Nets,98,Miami Heat,116,,
Sun Apr 24 2005,Box Score,Memphis Grizzlies,103,Phoenix Suns,114,,
Sun Apr 24 2005,Box Score,Denver Nuggets,93,San Antonio Spurs,87,,
Mon Apr 25 2005,Box Score,Indiana Pacers,82,Boston Celtics,79,,
Mon Apr 25 2005,Box Score,Houston Rockets,113,Dallas Mavericks,111,,
Tue Apr 26 2005,Box Score,Philadelphia 76ers,84,Detroit Pistons,99,,
Tue Apr 26 2005,Box Score,New Jersey Nets,87,Miami Heat,104,,
Tue Apr 26 2005,Box Score,Sacramento Kings,93,Seattle SuperSonics,105,,
Wed Apr 27 2005,Box Score,Washington Wizards,103,Chicago Bulls,113,,
Wed Apr 27 2005,Box Score,Memphis Grizzlies,103,Phoenix Suns,108,,
Wed Apr 27 2005,Box Score,Denver Nuggets,76,San Antonio Spurs,104,,
Thu Apr 28 2005,Box Score,Dallas Mavericks,106,Houston Rockets,102,,
Thu Apr 28 2005,Box Score,Boston Celtics,76,Indiana Pacers,99,,
Thu Apr 28 2005,Box Score,Miami Heat,108,New Jersey Nets,105,2OT,
Fri Apr 29 2005,Box Score,Phoenix Suns,110,Memphis Grizzlies,90,,
Fri Apr 29 2005,Box Score,Detroit Pistons,104,Philadelphia 76ers,115,,
Fri Apr 29 2005,Box Score,Seattle SuperSonics,104,Sacramento Kings,116,,
Sat Apr 30 2005,Box Score,San Antonio Spurs,86,Denver Nuggets,78,,
Sat Apr 30 2005,Box Score,Dallas Mavericks,97,Houston Rockets,93,,
Sat Apr 30 2005,Box Score,Boston Celtics,110,Indiana Pacers,79,,
Sat Apr 30 2005,Box Score,Chicago Bulls,99,Washington Wizards,117,,
Sun May 1 2005,Box Score,Phoenix Suns,123,Memphis Grizzlies,115,,
Sun May 1 2005,Box Score,Miami Heat,110,New Jersey Nets,97,,
Sun May 1 2005,Box Score,Detroit Pistons,97,Philadelphia 76ers,92,OT,
Sun May 1 2005,Box Score,Seattle SuperSonics,115,Sacramento Kings,102,,
Mon May 2 2005,Box Score,Houston Rockets,100,Dallas Mavericks,103,,
Mon May 2 2005,Box Score,San Antonio Spurs,126,Denver Nuggets,115,OT,
Mon May 2 2005,Box Score,Chicago Bulls,99,Washington Wizards,106,,
Tue May 3 2005,Box Score,Indiana Pacers,90,Boston Celtics,85,,
Tue May 3 2005,Box Score,Philadelphia 76ers,78,Detroit Pistons,88,,
Tue May 3 2005,Box Score,Sacramento Kings,118,Seattle SuperSonics,122,,
Wed May 4 2005,Box Score,Washington Wizards,112,Chicago Bulls,110,,
Wed May 4 2005,Box Score,Denver Nuggets,89,San Antonio Spurs,99,,
Thu May 5 2005,Box Score,Dallas Mavericks,83,Houston Rockets,101,,
Thu May 5 2005,Box Score,Boston Celtics,92,Indiana Pacers,89,OT,
Fri May 6 2005,Box Score,Chicago Bulls,91,Washington Wizards,94,,
Sat May 7 2005,Box Score,Indiana Pacers,97,Boston Celtics,70,,
Sat May 7 2005,Box Score,Houston Rockets,76,Dallas Mavericks,116,,
Sun May 8 2005,Box Score,Washington Wizards,86,Miami Heat,105,,
Sun May 8 2005,Box Score,Seattle SuperSonics,81,San Antonio Spurs,103,,
Mon May 9 2005,Box Score,Indiana Pacers,81,Detroit Pistons,96,,
Mon May 9 2005,Box Score,Dallas Mavericks,102,Phoenix Suns,127,,
Tue May 10 2005,Box Score,Washington Wizards,102,Miami Heat,108,,
Tue May 10 2005,Box Score,Seattle SuperSonics,91,San Antonio Spurs,108,,
Wed May 11 2005,Box Score,Indiana Pacers,92,Detroit Pistons,83,,
Wed May 11 2005,Box Score,Dallas Mavericks,108,Phoenix Suns,106,,
Thu May 12 2005,Box Score,San Antonio Spurs,91,Seattle SuperSonics,92,,
Thu May 12 2005,Box Score,Miami Heat,102,Washington Wizards,95,,
Fri May 13 2005,Box Score,Phoenix Suns,119,Dallas Mavericks,102,,
Fri May 13 2005,Box Score,Detroit Pistons,74,Indiana Pacers,79,,
Sat May 14 2005,Box Score,Miami Heat,99,Washington Wizards,95,,
Sun May 15 2005,Box Score,Phoenix Suns,109,Dallas Mavericks,119,,
Sun May 15 2005,Box Score,Detroit Pistons,89,Indiana Pacers,76,,
Sun May 15 2005,Box Score,San Antonio Spurs,89,Seattle SuperSonics,101,,
Tue May 17 2005,Box Score,Indiana Pacers,67,Detroit Pistons,86,,
Tue May 17 2005,Box Score,Seattle SuperSonics,90,San Antonio Spurs,103,,
Wed May 18 2005,Box Score,Dallas Mavericks,108,Phoenix Suns,114,,
Thu May 19 2005,Box Score,Detroit Pistons,88,Indiana Pacers,79,,
Thu May 19 2005,Box Score,San Antonio Spurs,98,Seattle SuperSonics,96,,
Fri May 20 2005,Box Score,Phoenix Suns,130,Dallas Mavericks,126,OT,
Sun May 22 2005,Box Score,San Antonio Spurs,121,Phoenix Suns,114,,
