
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Mon Mar 20 1950,Box Score,Chicago Stags,69,Fort Wayne Pistons,86,,Tiebreaker
Tue Mar 21 1950,Box Score,Tri-Cities Blackhawks,77,Anderson Packers,89,,
Tue Mar 21 1950,Box Score,Sheboygan Red Skins,85,Indianapolis Olympians,86,,
Tue Mar 21 1950,Box Score,Minneapolis Lakers,78,Rochester Royals,76,,Tiebreaker
Tue Mar 21 1950,Box Score,New York Knicks,90,Washington Capitols,87,,
Wed Mar 22 1950,Box Score,Chicago Stags,75,Minneapolis Lakers,85,,
Wed Mar 22 1950,Box Score,Washington Capitols,83,New York Knicks,103,,
Wed Mar 22 1950,Box Score,Philadelphia Warriors,76,Syracuse Nationals,93,,
Thu Mar 23 1950,Box Score,Syracuse Nationals,59,Philadelphia Warriors,53,,
Thu Mar 23 1950,Box Score,Fort Wayne Pistons,90,Rochester Royals,84,,
Thu Mar 23 1950,Box Score,Indianapolis Olympians,85,Sheboygan Red Skins,95,,
Thu Mar 23 1950,Box Score,Anderson Packers,75,Tri-Cities Blackhawks,76,,
Fri Mar 24 1950,Box Score,Tri-Cities Blackhawks,71,Anderson Packers,94,,
Fri Mar 24 1950,Box Score,Rochester Royals,78,Fort Wayne Pistons,79,OT,
Sat Mar 25 1950,Box Score,Minneapolis Lakers,75,Chicago Stags,67,,
Sat Mar 25 1950,Box Score,Sheboygan Red Skins,84,Indianapolis Olympians,91,,
Sun Mar 26 1950,Box Score,New York Knicks,83,Syracuse Nationals,91,OT,
Mon Mar 27 1950,Box Score,Fort Wayne Pistons,79,Minneapolis Lakers,93,,
Tue Mar 28 1950,Box Score,Minneapolis Lakers,89,Fort Wayne Pistons,82,,
Tue Mar 28 1950,Box Score,Anderson Packers,74,Indianapolis Olympians,77,,
Thu Mar 30 1950,Box Score,Indianapolis Olympians,67,Anderson Packers,84,,
Thu Mar 30 1950,Box Score,Syracuse Nationals,76,New York Knicks,80,,
Sat Apr 1 1950,Box Score,Anderson Packers,67,Indianapolis Olympians,65,,
Sun Apr 2 1950,Box Score,New York Knicks,80,Syracuse Nationals,91,,
Wed Apr 5 1950,Box Score,Anderson Packers,50,Minneapolis Lakers,75,,
Thu Apr 6 1950,Box Score,Minneapolis Lakers,90,Anderson Packers,71,,
Sat Apr 8 1950,Box Score,Minneapolis Lakers,68,Syracuse Nationals,66,,
Sun Apr 9 1950,Box Score,Minneapolis Lakers,85,Syracuse Nationals,91,,
Fri Apr 14 1950,Box Score,Syracuse Nationals,77,Minneapolis Lakers,91,,at Saint Paul MN
Sun Apr 16 1950,Box Score,Syracuse Nationals,69,Minneapolis Lakers,77,,at Saint Paul MN
Thu Apr 20 1950,Box Score,Minneapolis Lakers,76,Syracuse Nationals,83,,
Sun Apr 23 1950,Box Score,Syracuse Nationals,95,Minneapolis Lakers,110,,
