
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Nov 1 1946,Box Score,New York Knicks,68,Toronto Huskies,66,,
Sat Nov 2 1946,Box Score,New York Knicks,47,Chicago Stags,63,,
Sat Nov 2 1946,Box Score,Washington Capitols,50,Detroit Falcons,33,,
Sat Nov 2 1946,Box Score,Boston Celtics,53,Providence Steam Rollers,59,,
Sat Nov 2 1946,Box Score,Pittsburgh Ironmen,51,St. Louis Bombers,56,,
Sun Nov 3 1946,Box Score,Toronto Huskies,60,Cleveland Rebels,71,,
Mon Nov 4 1946,Box Score,Washington Capitols,71,Pittsburgh Ironmen,56,,
Tue Nov 5 1946,Box Score,Chicago Stags,57,Boston Celtics,55,,
Tue Nov 5 1946,Box Score,St. Louis Bombers,53,Detroit Falcons,49,,
Thu Nov 7 1946,Box Score,Pittsburgh Ironmen,75,Philadelphia Warriors,81,,
Thu Nov 7 1946,Box Score,Chicago Stags,65,Providence Steam Rollers,73,,
Thu Nov 7 1946,Box Score,New York Knicks,68,St. Louis Bombers,63,,
Fri Nov 8 1946,Box Score,Detroit Falcons,71,Toronto Huskies,73,,
Sat Nov 9 1946,Box Score,Toronto Huskies,54,Chicago Stags,62,,
Sat Nov 9 1946,Box Score,Boston Celtics,46,Detroit Falcons,69,,
Sat Nov 9 1946,Box Score,Pittsburgh Ironmen,66,Providence Steam Rollers,76,,
Sat Nov 9 1946,Box Score,Washington Capitols,69,St. Louis Bombers,70,,
Sun Nov 10 1946,Box Score,Washington Capitols,68,Cleveland Rebels,92,,
Mon Nov 11 1946,Box Score,Chicago Stags,78,New York Knicks,68,OT,
Mon Nov 11 1946,Box Score,Providence Steam Rollers,71,Pittsburgh Ironmen,84,,
Wed Nov 13 1946,Box Score,Boston Celtics,61,Chicago Stags,71,,
Wed Nov 13 1946,Box Score,Providence Steam Rollers,70,Detroit Falcons,68,,
Thu Nov 14 1946,Box Score,Washington Capitols,65,Philadelphia Warriors,68,,
Thu Nov 14 1946,Box Score,Boston Celtics,62,St. Louis Bombers,64,OT,
Fri Nov 15 1946,Box Score,Providence Steam Rollers,68,Toronto Huskies,85,,
Sat Nov 16 1946,Box Score,Toronto Huskies,49,Boston Celtics,53,,
