
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 22 2000,Box Score,Philadelphia 76ers,92,Charlotte Hornets,82,,
Sat Apr 22 2000,Box Score,Detroit Pistons,85,Miami Heat,95,,
Sat Apr 22 2000,Box Score,Phoenix Suns,72,San Antonio Spurs,70,,
Sat Apr 22 2000,Box Score,Seattle SuperSonics,93,Utah Jazz,104,,
Sun Apr 23 2000,Box Score,Milwaukee Bucks,85,Indiana Pacers,88,,
Sun Apr 23 2000,Box Score,Sacramento Kings,107,Los Angeles Lakers,117,,
Sun Apr 23 2000,Box Score,Toronto Raptors,88,New York Knicks,92,,
Sun Apr 23 2000,Box Score,Minnesota Timberwolves,88,Portland Trail Blazers,91,,
Mon Apr 24 2000,Box Score,Philadelphia 76ers,98,Charlotte Hornets,108,OT,
Mon Apr 24 2000,Box Score,Seattle SuperSonics,87,Utah Jazz,101,,
Tue Apr 25 2000,Box Score,Detroit Pistons,82,Miami Heat,84,,
Tue Apr 25 2000,Box Score,Phoenix Suns,70,San Antonio Spurs,85,,
Wed Apr 26 2000,Box Score,Toronto Raptors,83,New York Knicks,84,,
Wed Apr 26 2000,Box Score,Minnesota Timberwolves,82,Portland Trail Blazers,86,,
Thu Apr 27 2000,Box Score,Milwaukee Bucks,104,Indiana Pacers,91,,
Thu Apr 27 2000,Box Score,Sacramento Kings,89,Los Angeles Lakers,113,,
Fri Apr 28 2000,Box Score,Charlotte Hornets,76,Philadelphia 76ers,81,,
Sat Apr 29 2000,Box Score,Miami Heat,91,Detroit Pistons,72,,
Sat Apr 29 2000,Box Score,Indiana Pacers,109,Milwaukee Bucks,96,,
Sat Apr 29 2000,Box Score,San Antonio Spurs,94,Phoenix Suns,101,,
Sat Apr 29 2000,Box Score,Utah Jazz,78,Seattle SuperSonics,89,,
Sun Apr 30 2000,Box Score,Portland Trail Blazers,87,Minnesota Timberwolves,94,,
Sun Apr 30 2000,Box Score,Los Angeles Lakers,91,Sacramento Kings,99,,
Sun Apr 30 2000,Box Score,New York Knicks,87,Toronto Raptors,80,,
Mon May 1 2000,Box Score,Indiana Pacers,87,Milwaukee Bucks,100,,
Mon May 1 2000,Box Score,Charlotte Hornets,99,Philadelphia 76ers,105,,
Tue May 2 2000,Box Score,Portland Trail Blazers,85,Minnesota Timberwolves,77,,
Tue May 2 2000,Box Score,San Antonio Spurs,78,Phoenix Suns,89,,
Tue May 2 2000,Box Score,Los Angeles Lakers,88,Sacramento Kings,101,,
Wed May 3 2000,Box Score,Utah Jazz,93,Seattle SuperSonics,104,,
Thu May 4 2000,Box Score,Milwaukee Bucks,95,Indiana Pacers,96,,
Fri May 5 2000,Box Score,Sacramento Kings,86,Los Angeles Lakers,113,,
Fri May 5 2000,Box Score,Seattle SuperSonics,93,Utah Jazz,96,,
Sat May 6 2000,Box Score,Philadelphia 76ers,91,Indiana Pacers,108,,
Sun May 7 2000,Box Score,Phoenix Suns,77,Los Angeles Lakers,105,,
Sun May 7 2000,Box Score,New York Knicks,83,Miami Heat,87,,
Sun May 7 2000,Box Score,Utah Jazz,75,Portland Trail Blazers,94,,
Mon May 8 2000,Box Score,Philadelphia 76ers,97,Indiana Pacers,103,,
Tue May 9 2000,Box Score,New York Knicks,82,Miami Heat,76,,
Tue May 9 2000,Box Score,Utah Jazz,85,Portland Trail Blazers,103,,
Wed May 10 2000,Box Score,Phoenix Suns,96,Los Angeles Lakers,97,,
Wed May 10 2000,Box Score,Indiana Pacers,97,Philadelphia 76ers,89,,
Thu May 11 2000,Box Score,Portland Trail Blazers,103,Utah Jazz,84,,
Fri May 12 2000,Box Score,Miami Heat,77,New York Knicks,76,OT,
Fri May 12 2000,Box Score,Los Angeles Lakers,105,Phoenix Suns,99,,
Sat May 13 2000,Box Score,Indiana Pacers,90,Philadelphia 76ers,92,,
Sun May 14 2000,Box Score,Miami Heat,83,New York Knicks,91,,
Sun May 14 2000,Box Score,Los Angeles Lakers,98,Phoenix Suns,117,,
Sun May 14 2000,Box Score,Portland Trail Blazers,85,Utah Jazz,88,,
Mon May 15 2000,Box Score,Philadelphia 76ers,107,Indiana Pacers,86,,
Tue May 16 2000,Box Score,Phoenix Suns,65,Los Angeles Lakers,87,,
Tue May 16 2000,Box Score,Utah Jazz,79,Portland Trail Blazers,81,,
Wed May 17 2000,Box Score,New York Knicks,81,Miami Heat,87,,
Fri May 19 2000,Box Score,Miami Heat,70,New York Knicks,72,,
Fri May 19 2000,Box Score,Indiana Pacers,106,Philadelphia 76ers,90,,
Sat May 20 2000,Box Score,Portland Trail Blazers,94,Los Angeles Lakers,109,,
Sun May 21 2000,Box Score,New York Knicks,83,Miami Heat,82,,
Mon May 22 2000,Box Score,Portland Trail Blazers,106,Los Angeles Lakers,77,,
Tue May 23 2000,Box Score,New York Knicks,88,Indiana Pacers,102,,
Thu May 25 2000,Box Score,New York Knicks,84,Indiana Pacers,88,,
Fri May 26 2000,Box Score,Los Angeles Lakers,93,Portland Trail Blazers,91,,
Sat May 27 2000,Box Score,Indiana Pacers,95,New York Knicks,98,,
