
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Mar 22 1949,Box Score,St. Louis Bombers,64,Rochester Royals,93,,
Wed Mar 23 1949,Box Score,New York Knicks,81,Baltimore Bullets,82,,
Wed Mar 23 1949,Box Score,Chicago Stags,77,Minneapolis Lakers,84,,
Wed Mar 23 1949,Box Score,Washington Capitols,92,Philadelphia Warriors,70,,
Wed Mar 23 1949,Box Score,Rochester Royals,66,St. Louis Bombers,64,,
Thu Mar 24 1949,Box Score,Minneapolis Lakers,101,Chicago Stags,85,,
Thu Mar 24 1949,Box Score,Baltimore Bullets,74,New York Knicks,84,,
Thu Mar 24 1949,Box Score,Philadelphia Warriors,78,Washington Capitols,80,,
Sat Mar 26 1949,Box Score,Baltimore Bullets,99,New York Knicks,103,OT,
Sun Mar 27 1949,Box Score,Minneapolis Lakers,80,Rochester Royals,79,,
Tue Mar 29 1949,Box Score,Rochester Royals,55,Minneapolis Lakers,67,,at Saint Paul MN
Tue Mar 29 1949,Box Score,New York Knicks,71,Washington Capitols,77,,at Washington DC (National Guard Armory)
Thu Mar 31 1949,Box Score,Washington Capitols,84,New York Knicks,86,OT,
Sat Apr 2 1949,Box Score,New York Knicks,76,Washington Capitols,84,,at Washington DC (National Guard Armory)
Mon Apr 4 1949,Box Score,Washington Capitols,84,Minneapolis Lakers,88,,
Wed Apr 6 1949,Box Score,Washington Capitols,62,Minneapolis Lakers,76,,
Fri Apr 8 1949,Box Score,Minneapolis Lakers,94,Washington Capitols,74,,
Sat Apr 9 1949,Box Score,Minneapolis Lakers,71,Washington Capitols,83,,
Mon Apr 11 1949,Box Score,Minneapolis Lakers,65,Washington Capitols,74,,
Wed Apr 13 1949,Box Score,Washington Capitols,56,Minneapolis Lakers,77,,at Saint Paul MN
