
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 13 1976,Box Score,Washington Bullets,100,Cleveland Cavaliers,95,,
Tue Apr 13 1976,Box Score,Detroit Pistons,107,Milwaukee Bucks,110,,
Tue Apr 13 1976,Box Score,Phoenix Suns,99,Seattle SuperSonics,102,,
Thu Apr 15 1976,Box Score,Milwaukee Bucks,123,Detroit Pistons,126,,
Thu Apr 15 1976,Box Score,Buffalo Braves,95,Philadelphia 76ers,89,,
Thu Apr 15 1976,Box Score,Phoenix Suns,116,Seattle SuperSonics,111,,
Thu Apr 15 1976,Box Score,Cleveland Cavaliers,80,Washington Bullets,79,,
Fri Apr 16 1976,Box Score,Philadelphia 76ers,131,Buffalo Braves,106,,
Sat Apr 17 1976,Box Score,Washington Bullets,76,Cleveland Cavaliers,88,,
Sun Apr 18 1976,Box Score,Detroit Pistons,107,Milwaukee Bucks,104,,
Sun Apr 18 1976,Box Score,Buffalo Braves,124,Philadelphia 76ers,123,OT,
Sun Apr 18 1976,Box Score,Seattle SuperSonics,91,Phoenix Suns,103,,
Tue Apr 20 1976,Box Score,Detroit Pistons,103,Golden State Warriors,127,,
Tue Apr 20 1976,Box Score,Seattle SuperSonics,114,Phoenix Suns,130,,
Wed Apr 21 1976,Box Score,Buffalo Braves,98,Boston Celtics,107,,
Wed Apr 21 1976,Box Score,Cleveland Cavaliers,98,Washington Bullets,109,,
Thu Apr 22 1976,Box Score,Washington Bullets,91,Cleveland Cavaliers,92,,
Thu Apr 22 1976,Box Score,Detroit Pistons,123,Golden State Warriors,111,,
Fri Apr 23 1976,Box Score,Buffalo Braves,96,Boston Celtics,101,,
Sat Apr 24 1976,Box Score,Golden State Warriors,113,Detroit Pistons,96,,
Sun Apr 25 1976,Box Score,Boston Celtics,93,Buffalo Braves,98,,
Sun Apr 25 1976,Box Score,Phoenix Suns,108,Seattle SuperSonics,114,,
Mon Apr 26 1976,Box Score,Golden State Warriors,102,Detroit Pistons,106,,
Mon Apr 26 1976,Box Score,Cleveland Cavaliers,98,Washington Bullets,102,OT,
Tue Apr 27 1976,Box Score,Seattle SuperSonics,112,Phoenix Suns,123,,
Wed Apr 28 1976,Box Score,Boston Celtics,122,Buffalo Braves,124,,
Wed Apr 28 1976,Box Score,Detroit Pistons,109,Golden State Warriors,128,,
Thu Apr 29 1976,Box Score,Washington Bullets,85,Cleveland Cavaliers,87,,
Fri Apr 30 1976,Box Score,Buffalo Braves,88,Boston Celtics,99,,
Fri Apr 30 1976,Box Score,Golden State Warriors,118,Detroit Pistons,116,OT,
Sun May 2 1976,Box Score,Boston Celtics,104,Buffalo Braves,100,,
Sun May 2 1976,Box Score,Phoenix Suns,103,Golden State Warriors,128,,
Wed May 5 1976,Box Score,Phoenix Suns,108,Golden State Warriors,101,,
Thu May 6 1976,Box Score,Cleveland Cavaliers,99,Boston Celtics,111,,
Fri May 7 1976,Box Score,Golden State Warriors,99,Phoenix Suns,91,,
Sun May 9 1976,Box Score,Cleveland Cavaliers,89,Boston Celtics,94,,
Sun May 9 1976,Box Score,Golden State Warriors,129,Phoenix Suns,133,2OT,
Tue May 11 1976,Box Score,Boston Celtics,78,Cleveland Cavaliers,83,,
Wed May 12 1976,Box Score,Phoenix Suns,95,Golden State Warriors,111,,
Fri May 14 1976,Box Score,Boston Celtics,87,Cleveland Cavaliers,106,,
Fri May 14 1976,Box Score,Golden State Warriors,104,Phoenix Suns,105,,
Sun May 16 1976,Box Score,Cleveland Cavaliers,94,Boston Celtics,99,,
Sun May 16 1976,Box Score,Phoenix Suns,94,Golden State Warriors,86,,
Tue May 18 1976,Box Score,Boston Celtics,94,Cleveland Cavaliers,87,,
Sun May 23 1976,Box Score,Phoenix Suns,87,Boston Celtics,98,,
Thu May 27 1976,Box Score,Phoenix Suns,90,Boston Celtics,105,,
Sun May 30 1976,Box Score,Boston Celtics,98,Phoenix Suns,105,,
Wed Jun 2 1976,Box Score,Boston Celtics,107,Phoenix Suns,109,,
Fri Jun 4 1976,Box Score,Phoenix Suns,126,Boston Celtics,128,3OT,
Sun Jun 6 1976,Box Score,Boston Celtics,87,Phoenix Suns,80,,
