
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 19 1983,Box Score,Atlanta Hawks,95,Boston Celtics,103,,
Tue Apr 19 1983,Box Score,Denver Nuggets,108,Phoenix Suns,121,,
Wed Apr 20 1983,Box Score,New York Knicks,118,New Jersey Nets,107,,
Wed Apr 20 1983,Box Score,Portland Trail Blazers,108,Seattle SuperSonics,97,,
Thu Apr 21 1983,Box Score,Phoenix Suns,99,Denver Nuggets,113,,
Thu Apr 21 1983,Box Score,New Jersey Nets,99,New York Knicks,105,,
Fri Apr 22 1983,Box Score,Boston Celtics,93,Atlanta Hawks,95,,
Fri Apr 22 1983,Box Score,Seattle SuperSonics,96,Portland Trail Blazers,105,,
Sun Apr 24 1983,Box Score,Atlanta Hawks,79,Boston Celtics,98,,
Sun Apr 24 1983,Box Score,Portland Trail Blazers,97,Los Angeles Lakers,118,,
Sun Apr 24 1983,Box Score,New York Knicks,102,Philadelphia 76ers,112,,
Sun Apr 24 1983,Box Score,Denver Nuggets,117,Phoenix Suns,112,OT,
Tue Apr 26 1983,Box Score,Portland Trail Blazers,106,Los Angeles Lakers,112,,
Tue Apr 26 1983,Box Score,Denver Nuggets,133,San Antonio Spurs,152,,
Wed Apr 27 1983,Box Score,Milwaukee Bucks,116,Boston Celtics,95,,
Wed Apr 27 1983,Box Score,New York Knicks,91,Philadelphia 76ers,98,,
Wed Apr 27 1983,Box Score,Denver Nuggets,109,San Antonio Spurs,126,,
Fri Apr 29 1983,Box Score,Milwaukee Bucks,95,Boston Celtics,91,,
Fri Apr 29 1983,Box Score,San Antonio Spurs,127,Denver Nuggets,126,OT,
Fri Apr 29 1983,Box Score,Los Angeles Lakers,115,Portland Trail Blazers,109,OT,
Sat Apr 30 1983,Box Score,Philadelphia 76ers,107,New York Knicks,105,,
Sun May 1 1983,Box Score,Boston Celtics,99,Milwaukee Bucks,107,,
Sun May 1 1983,Box Score,Philadelphia 76ers,105,New York Knicks,102,,
Sun May 1 1983,Box Score,Los Angeles Lakers,95,Portland Trail Blazers,108,,
Mon May 2 1983,Box Score,San Antonio Spurs,114,Denver Nuggets,124,,
Mon May 2 1983,Box Score,Boston Celtics,93,Milwaukee Bucks,107,,
Tue May 3 1983,Box Score,Portland Trail Blazers,108,Los Angeles Lakers,116,,
Wed May 4 1983,Box Score,Denver Nuggets,105,San Antonio Spurs,145,,
Sun May 8 1983,Box Score,San Antonio Spurs,107,Los Angeles Lakers,119,,
Sun May 8 1983,Box Score,Milwaukee Bucks,109,Philadelphia 76ers,111,OT,
Tue May 10 1983,Box Score,San Antonio Spurs,122,Los Angeles Lakers,113,,
Wed May 11 1983,Box Score,Milwaukee Bucks,81,Philadelphia 76ers,87,,
Fri May 13 1983,Box Score,Los Angeles Lakers,113,San Antonio Spurs,100,,
Sat May 14 1983,Box Score,Philadelphia 76ers,104,Milwaukee Bucks,96,,
Sun May 15 1983,Box Score,Philadelphia 76ers,94,Milwaukee Bucks,100,,
Sun May 15 1983,Box Score,Los Angeles Lakers,129,San Antonio Spurs,121,,
Wed May 18 1983,Box Score,San Antonio Spurs,117,Los Angeles Lakers,112,,
Wed May 18 1983,Box Score,Milwaukee Bucks,103,Philadelphia 76ers,115,,
Fri May 20 1983,Box Score,Los Angeles Lakers,101,San Antonio Spurs,100,,
Sun May 22 1983,Box Score,Los Angeles Lakers,107,Philadelphia 76ers,113,,
Thu May 26 1983,Box Score,Los Angeles Lakers,93,Philadelphia 76ers,103,,
Sun May 29 1983,Box Score,Philadelphia 76ers,111,Los Angeles Lakers,94,,
Tue May 31 1983,Box Score,Philadelphia 76ers,115,Los Angeles Lakers,108,,
