
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Mon Nov 1 1948,Box Score,St. Louis Bombers,80,Indianapolis Jets,84,,
Wed Nov 3 1948,Box Score,New York Knicks,80,Fort Wayne Pistons,76,,
Wed Nov 3 1948,Box Score,Philadelphia Warriors,70,Washington Capitols,77,,
Thu Nov 4 1948,Box Score,Minneapolis Lakers,84,Baltimore Bullets,72,,
Thu Nov 4 1948,Box Score,Boston Celtics,73,Philadelphia Warriors,94,,
Thu Nov 4 1948,Box Score,Washington Capitols,99,Providence Steam Rollers,95,3OT,
Fri Nov 5 1948,Box Score,New York Knicks,87,Indianapolis Jets,71,,
Sat Nov 6 1948,Box Score,Baltimore Bullets,69,Chicago Stags,82,,
Sat Nov 6 1948,Box Score,Philadelphia Warriors,69,Providence Steam Rollers,56,,
Sat Nov 6 1948,Box Score,Indianapolis Jets,58,Rochester Royals,69,,
Sat Nov 6 1948,Box Score,Fort Wayne Pistons,55,St. Louis Bombers,65,,
Sat Nov 6 1948,Box Score,Minneapolis Lakers,62,Washington Capitols,67,,
Sun Nov 7 1948,Box Score,Philadelphia Warriors,77,Boston Celtics,85,,
Sun Nov 7 1948,Box Score,Baltimore Bullets,78,Fort Wayne Pistons,77,,
Tue Nov 9 1948,Box Score,Minneapolis Lakers,55,Boston Celtics,77,,
Tue Nov 9 1948,Box Score,Baltimore Bullets,65,Indianapolis Jets,64,,
Tue Nov 9 1948,Box Score,Providence Steam Rollers,84,Philadelphia Warriors,92,,
Tue Nov 9 1948,Box Score,New York Knicks,56,St. Louis Bombers,60,,
Wed Nov 10 1948,Box Score,Rochester Royals,66,Washington Capitols,73,,
Thu Nov 11 1948,Box Score,Washington Capitols,70,Baltimore Bullets,68,,
Thu Nov 11 1948,Box Score,Minneapolis Lakers,77,New York Knicks,68,,
Thu Nov 11 1948,Box Score,Rochester Royals,83,Philadelphia Warriors,75,,
Thu Nov 11 1948,Box Score,Fort Wayne Pistons,87,Providence Steam Rollers,90,,
Fri Nov 12 1948,Box Score,Fort Wayne Pistons,75,Boston Celtics,84,,
Sat Nov 13 1948,Box Score,Indianapolis Jets,72,Chicago Stags,79,,
Sat Nov 13 1948,Box Score,Baltimore Bullets,87,New York Knicks,91,,
Sat Nov 13 1948,Box Score,Minneapolis Lakers,90,Providence Steam Rollers,67,,
Sat Nov 13 1948,Box Score,Boston Celtics,63,Rochester Royals,95,,
Sat Nov 13 1948,Box Score,Philadelphia Warriors,75,St. Louis Bombers,76,,
Sat Nov 13 1948,Box Score,Fort Wayne Pistons,71,Washington Capitols,80,,
Sun Nov 14 1948,Box Score,Indianapolis Jets,73,Fort Wayne Pistons,79,,
Sun Nov 14 1948,Box Score,Minneapolis Lakers,75,Rochester Royals,92,,
Tue Nov 16 1948,Box Score,Philadelphia Warriors,90,Indianapolis Jets,82,,
Tue Nov 16 1948,Box Score,New York Knicks,63,Rochester Royals,75,,
Tue Nov 16 1948,Box Score,Boston Celtics,74,St. Louis Bombers,79,OT,
Wed Nov 17 1948,Box Score,Philadelphia Warriors,72,Fort Wayne Pistons,80,,
Wed Nov 17 1948,Box Score,Boston Celtics,74,Minneapolis Lakers,72,,
Wed Nov 17 1948,Box Score,Washington Capitols,73,New York Knicks,62,,
Thu Nov 18 1948,Box Score,New York Knicks,67,Baltimore Bullets,55,,
Thu Nov 18 1948,Box Score,Indianapolis Jets,71,Philadelphia Warriors,83,,
Thu Nov 18 1948,Box Score,Rochester Royals,103,Providence Steam Rollers,74,,
Fri Nov 19 1948,Box Score,St. Louis Bombers,82,Baltimore Bullets,72,,at Chicago IL
Fri Nov 19 1948,Box Score,Indianapolis Jets,70,Boston Celtics,75,,
Fri Nov 19 1948,Box Score,Minneapolis Lakers,85,Chicago Stags,81,,
Sat Nov 20 1948,Box Score,Philadelphia Warriors,86,New York Knicks,91,,
Sat Nov 20 1948,Box Score,Indianapolis Jets,110,Providence Steam Rollers,107,,
Sat Nov 20 1948,Box Score,Baltimore Bullets,85,St. Louis Bombers,64,,
Sat Nov 20 1948,Box Score,Boston Celtics,75,Washington Capitols,90,,
Sun Nov 21 1948,Box Score,Chicago Stags,70,Fort Wayne Pistons,69,,
Sun Nov 21 1948,Box Score,Baltimore Bullets,81,Minneapolis Lakers,94,,
Sun Nov 21 1948,Box Score,Washington Capitols,80,Rochester Royals,77,,
Tue Nov 23 1948,Box Score,Washington Capitols,71,Boston Celtics,68,,
Tue Nov 23 1948,Box Score,Minneapolis Lakers,88,Indianapolis Jets,82,,
Tue Nov 23 1948,Box Score,Fort Wayne Pistons,90,Philadelphia Warriors,80,,
Tue Nov 23 1948,Box Score,Baltimore Bullets,90,Rochester Royals,108,,
Wed Nov 24 1948,Box Score,Providence Steam Rollers,89,Minneapolis Lakers,117,,
Thu Nov 25 1948,Box Score,Fort Wayne Pistons,64,Baltimore Bullets,69,,
Thu Nov 25 1948,Box Score,Boston Celtics,66,Indianapolis Jets,81,,
Thu Nov 25 1948,Box Score,Washington Capitols,81,Philadelphia Warriors,73,,
Thu Nov 25 1948,Box Score,Providence Steam Rollers,82,St. Louis Bombers,84,,
Sat Nov 27 1948,Box Score,Fort Wayne Pistons,70,New York Knicks,80,,
Sat Nov 27 1948,Box Score,Baltimore Bullets,91,Providence Steam Rollers,71,,
Sat Nov 27 1948,Box Score,Chicago Stags,103,Rochester Royals,105,2OT,
Sat Nov 27 1948,Box Score,Minneapolis Lakers,87,St. Louis Bombers,71,,
Sat Nov 27 1948,Box Score,Indianapolis Jets,76,Washington Capitols,94,,
Sun Nov 28 1948,Box Score,Boston Celtics,74,Fort Wayne Pistons,80,,
Sun Nov 28 1948,Box Score,Philadelphia Warriors,67,Minneapolis Lakers,88,,
Tue Nov 30 1948,Box Score,Minneapolis Lakers,94,Boston Celtics,84,,at Chicago IL
Tue Nov 30 1948,Box Score,Philadelphia Warriors,68,Chicago Stags,74,,
Tue Nov 30 1948,Box Score,Fort Wayne Pistons,77,Indianapolis Jets,62,,
Tue Nov 30 1948,Box Score,New York Knicks,88,Providence Steam Rollers,61,,
Wed Dec 1 1948,Box Score,Minneapolis Lakers,74,Fort Wayne Pistons,84,,
Wed Dec 1 1948,Box Score,Rochester Royals,73,New York Knicks,72,,
Wed Dec 1 1948,Box Score,Chicago Stags,61,St. Louis Bombers,72,,
Wed Dec 1 1948,Box Score,Providence Steam Rollers,63,Washington Capitols,75,,
Thu Dec 2 1948,Box Score,Indianapolis Jets,78,Baltimore Bullets,90,,
Thu Dec 2 1948,Box Score,Boston Celtics,88,Philadelphia Warriors,87,,
Thu Dec 2 1948,Box Score,Washington Capitols,66,Providence Steam Rollers,61,,
Sat Dec 4 1948,Box Score,Minneapolis Lakers,100,Chicago Stags,104,OT,
Sat Dec 4 1948,Box Score,Indianapolis Jets,63,New York Knicks,66,,
Sat Dec 4 1948,Box Score,Boston Celtics,70,Providence Steam Rollers,63,,
Sat Dec 4 1948,Box Score,Philadelphia Warriors,101,Rochester Royals,105,OT,
Sat Dec 4 1948,Box Score,Fort Wayne Pistons,62,St. Louis Bombers,76,,
Sat Dec 4 1948,Box Score,Baltimore Bullets,82,Washington Capitols,83,,
Sun Dec 5 1948,Box Score,Chicago Stags,88,Fort Wayne Pistons,79,,
Sun Dec 5 1948,Box Score,St. Louis Bombers,68,Minneapolis Lakers,78,,
Mon Dec 6 1948,Box Score,Rochester Royals,87,Boston Celtics,79,,
Tue Dec 7 1948,Box Score,Washington Capitols,78,Indianapolis Jets,94,,
Tue Dec 7 1948,Box Score,Providence Steam Rollers,90,Rochester Royals,89,,
Wed Dec 8 1948,Box Score,St. Louis Bombers,60,Fort Wayne Pistons,70,,
Wed Dec 8 1948,Box Score,Washington Capitols,94,Minneapolis Lakers,83,,
Wed Dec 8 1948,Box Score,Providence Steam Rollers,74,New York Knicks,83,OT,
Wed Dec 8 1948,Box Score,Baltimore Bullets,83,Philadelphia Warriors,78,,
Thu Dec 9 1948,Box Score,Philadelphia Warriors,91,Baltimore Bullets,92,,
Thu Dec 9 1948,Box Score,New York Knicks,74,Providence Steam Rollers,63,,
Fri Dec 10 1948,Box Score,Fort Wayne Pistons,70,Chicago Stags,78,,
Fri Dec 10 1948,Box Score,Minneapolis Lakers,96,Rochester Royals,75,,
Fri Dec 10 1948,Box Score,Washington Capitols,83,St. Louis Bombers,88,OT,at Chicago IL
Sat Dec 11 1948,Box Score,Baltimore Bullets,71,New York Knicks,72,,
Sat Dec 11 1948,Box Score,St. Louis Bombers,63,Washington Capitols,87,,
Sun Dec 12 1948,Box Score,New York Knicks,89,Fort Wayne Pistons,78,,
Sun Dec 12 1948,Box Score,Rochester Royals,58,Minneapolis Lakers,67,,
Mon Dec 13 1948,Box Score,Chicago Stags,75,Baltimore Bullets,70,,at Indianapolis IN
Mon Dec 13 1948,Box Score,St. Louis Bombers,79,Boston Celtics,83,OT,
Mon Dec 13 1948,Box Score,New York Knicks,80,Indianapolis Jets,74,,
Tue Dec 14 1948,Box Score,Indianapolis Jets,75,Baltimore Bullets,88,,at Chicago IL
Tue Dec 14 1948,Box Score,Rochester Royals,85,Chicago Stags,78,,
Tue Dec 14 1948,Box Score,St. Louis Bombers,61,Philadelphia Warriors,74,,
Wed Dec 15 1948,Box Score,Indianapolis Jets,61,Minneapolis Lakers,79,,
Wed Dec 15 1948,Box Score,Philadelphia Warriors,81,Washington Capitols,92,,
Thu Dec 16 1948,Box Score,St. Louis Bombers,85,Baltimore Bullets,82,OT,
Thu Dec 16 1948,Box Score,Fort Wayne Pistons,76,Providence Steam Rollers,61,,
Fri Dec 17 1948,Box Score,Baltimore Bullets,74,Boston Celtics,63,,
Fri Dec 17 1948,Box Score,Chicago Stags,71,Indianapolis Jets,67,,
Fri Dec 17 1948,Box Score,New York Knicks,78,Philadelphia Warriors,87,,
Sat Dec 18 1948,Box Score,St. Louis Bombers,79,New York Knicks,88,,
Sat Dec 18 1948,Box Score,Philadelphia Warriors,94,Providence Steam Rollers,90,,
Sat Dec 18 1948,Box Score,Fort Wayne Pistons,64,Rochester Royals,84,,
Sat Dec 18 1948,Box Score,Boston Celtics,60,Washington Capitols,69,,
Sun Dec 19 1948,Box Score,New York Knicks,75,Boston Celtics,77,,
Sun Dec 19 1948,Box Score,Rochester Royals,83,Fort Wayne Pistons,78,OT,
Sun Dec 19 1948,Box Score,Chicago Stags,84,Minneapolis Lakers,94,,
Tue Dec 21 1948,Box Score,Rochester Royals,84,Indianapolis Jets,71,,
Tue Dec 21 1948,Box Score,Minneapolis Lakers,64,Philadelphia Warriors,72,,
Wed Dec 22 1948,Box Score,Minneapolis Lakers,79,New York Knicks,97,,
Wed Dec 22 1948,Box Score,Providence Steam Rollers,77,Washington Capitols,102,,
Thu Dec 23 1948,Box Score,Chicago Stags,89,Baltimore Bullets,96,,
Thu Dec 23 1948,Box Score,Fort Wayne Pistons,60,Indianapolis Jets,71,,
Thu Dec 23 1948,Box Score,St. Louis Bombers,109,Providence Steam Rollers,99,,
Sat Dec 25 1948,Box Score,Chicago Stags,70,New York Knicks,64,,
Sat Dec 25 1948,Box Score,Boston Celtics,77,Philadelphia Warriors,80,,
Sat Dec 25 1948,Box Score,Baltimore Bullets,88,Providence Steam Rollers,83,,
Sat Dec 25 1948,Box Score,St. Louis Bombers,82,Rochester Royals,90,,
Sat Dec 25 1948,Box Score,Fort Wayne Pistons,74,Washington Capitols,88,,
Sun Dec 26 1948,Box Score,Boston Celtics,73,Chicago Stags,84,,
Sun Dec 26 1948,Box Score,Washington Capitols,73,Fort Wayne Pistons,91,,
Sun Dec 26 1948,Box Score,Rochester Royals,90,Minneapolis Lakers,99,,
Sun Dec 26 1948,Box Score,Indianapolis Jets,65,St. Louis Bombers,75,,
Tue Dec 28 1948,Box Score,Chicago Stags,76,Boston Celtics,74,,
Wed Dec 29 1948,Box Score,Providence Steam Rollers,98,Baltimore Bullets,88,,
Wed Dec 29 1948,Box Score,Washington Capitols,68,Minneapolis Lakers,91,,
Wed Dec 29 1948,Box Score,Rochester Royals,74,New York Knicks,77,,
Thu Dec 30 1948,Box Score,Rochester Royals,89,Baltimore Bullets,100,,
Thu Dec 30 1948,Box Score,Indianapolis Jets,91,Philadelphia Warriors,94,,
Thu Dec 30 1948,Box Score,Chicago Stags,101,Providence Steam Rollers,89,,
Thu Dec 30 1948,Box Score,Washington Capitols,81,St. Louis Bombers,68,,
Fri Dec 31 1948,Box Score,Providence Steam Rollers,67,Boston Celtics,69,,
Sat Jan 1 1949,Box Score,Boston Celtics,67,Baltimore Bullets,72,,
Sat Jan 1 1949,Box Score,Fort Wayne Pistons,72,Minneapolis Lakers,92,,
Sat Jan 1 1949,Box Score,Philadelphia Warriors,80,New York Knicks,88,,
Sat Jan 1 1949,Box Score,Indianapolis Jets,78,Providence Steam Rollers,77,,
Sat Jan 1 1949,Box Score,St. Louis Bombers,83,Rochester Royals,106,,
Sat Jan 1 1949,Box Score,Chicago Stags,90,Washington Capitols,92,,
Sun Jan 2 1949,Box Score,New York Knicks,79,Chicago Stags,81,,
Sun Jan 2 1949,Box Score,Boston Celtics,90,Fort Wayne Pistons,69,,
Sun Jan 2 1949,Box Score,Rochester Royals,89,St. Louis Bombers,64,,
Tue Jan 4 1949,Box Score,Baltimore Bullets,69,Boston Celtics,75,,
Tue Jan 4 1949,Box Score,New York Knicks,58,Indianapolis Jets,63,,
Tue Jan 4 1949,Box Score,Washington Capitols,84,Philadelphia Warriors,78,,
Tue Jan 4 1949,Box Score,Chicago Stags,115,Providence Steam Rollers,104,,at Boston MA
Wed Jan 5 1949,Box Score,St. Louis Bombers,76,Minneapolis Lakers,101,,
Wed Jan 5 1949,Box Score,Baltimore Bullets,88,Washington Capitols,68,,
Thu Jan 6 1949,Box Score,Philadelphia Warriors,88,Baltimore Bullets,93,,
Thu Jan 6 1949,Box Score,Rochester Royals,62,Indianapolis Jets,73,,
Thu Jan 6 1949,Box Score,Chicago Stags,89,Providence Steam Rollers,78,,
Fri Jan 7 1949,Box Score,New York Knicks,69,Boston Celtics,67,,
Sat Jan 8 1949,Box Score,Baltimore Bullets,83,New York Knicks,81,,
Sat Jan 8 1949,Box Score,Fort Wayne Pistons,73,Philadelphia Warriors,67,,
Sat Jan 8 1949,Box Score,Boston Celtics,69,Providence Steam Rollers,87,,
Sat Jan 8 1949,Box Score,Chicago Stags,91,Rochester Royals,88,,
Sat Jan 8 1949,Box Score,Minneapolis Lakers,59,St. Louis Bombers,64,,
Sat Jan 8 1949,Box Score,Indianapolis Jets,81,Washington Capitols,89,,
Sun Jan 9 1949,Box Score,Rochester Royals,90,Chicago Stags,75,,
Sun Jan 9 1949,Box Score,Indianapolis Jets,78,Fort Wayne Pistons,80,,
Sun Jan 9 1949,Box Score,St. Louis Bombers,58,Minneapolis Lakers,74,,
Mon Jan 10 1949,Box Score,Washington Capitols,94,Boston Celtics,83,,
Tue Jan 11 1949,Box Score,Providence Steam Rollers,67,Indianapolis Jets,90,,
Tue Jan 11 1949,Box Score,Philadelphia Warriors,71,Rochester Royals,83,,
Wed Jan 12 1949,Box Score,Washington Capitols,92,Baltimore Bullets,106,,
Wed Jan 12 1949,Box Score,Providence Steam Rollers,64,Minneapolis Lakers,98,,
Wed Jan 12 1949,Box Score,Boston Celtics,64,New York Knicks,81,,
Wed Jan 12 1949,Box Score,Chicago Stags,75,St. Louis Bombers,66,,
Thu Jan 13 1949,Box Score,Rochester Royals,102,Baltimore Bullets,85,,
Fri Jan 14 1949,Box Score,Philadelphia Warriors,104,Boston Celtics,79,,
Fri Jan 14 1949,Box Score,Chicago Stags,88,Indianapolis Jets,61,,
Sat Jan 15 1949,Box Score,Chicago Stags,94,Boston Celtics,86,,at Philadelphia PA
Sat Jan 15 1949,Box Score,Baltimore Bullets,87,Philadelphia Warriors,94,,
Sat Jan 15 1949,Box Score,Fort Wayne Pistons,62,Rochester Royals,73,,
Sat Jan 15 1949,Box Score,Providence Steam Rollers,76,St. Louis Bombers,79,,
Sat Jan 15 1949,Box Score,New York Knicks,73,Washington Capitols,75,,
Sun Jan 16 1949,Box Score,Washington Capitols,70,Chicago Stags,92,,
Sun Jan 16 1949,Box Score,Providence Steam Rollers,56,Fort Wayne Pistons,76,,
Sun Jan 16 1949,Box Score,Indianapolis Jets,66,Minneapolis Lakers,75,,
Mon Jan 17 1949,Box Score,St. Louis Bombers,79,New York Knicks,71,,
Tue Jan 18 1949,Box Score,St. Louis Bombers,89,Boston Celtics,83,,
Tue Jan 18 1949,Box Score,Minneapolis Lakers,81,Indianapolis Jets,56,,
Tue Jan 18 1949,Box Score,Providence Steam Rollers,74,Philadelphia Warriors,86,,
Wed Jan 19 1949,Box Score,Fort Wayne Pistons,104,Chicago Stags,96,2OT,
Wed Jan 19 1949,Box Score,Rochester Royals,70,Indianapolis Jets,66,,at Chicago IL
Thu Jan 20 1949,Box Score,New York Knicks,68,Baltimore Bullets,82,,
Thu Jan 20 1949,Box Score,Fort Wayne Pistons,65,Minneapolis Lakers,83,,
Thu Jan 20 1949,Box Score,Chicago Stags,72,Philadelphia Warriors,92,,
Thu Jan 20 1949,Box Score,Washington Capitols,88,Providence Steam Rollers,81,,
Thu Jan 20 1949,Box Score,Rochester Royals,84,St. Louis Bombers,74,,
Fri Jan 21 1949,Box Score,Chicago Stags,86,Boston Celtics,76,,
Sat Jan 22 1949,Box Score,Baltimore Bullets,86,Providence Steam Rollers,89,,
Sat Jan 22 1949,Box Score,New York Knicks,98,Rochester Royals,103,2OT,
