
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 18 2015,Box Score,Milwaukee Bucks,91,Chicago Bulls,103,,
Sat Apr 18 2015,Box Score,New Orleans Pelicans,99,Golden State Warriors,106,,
Sat Apr 18 2015,Box Score,Dallas Mavericks,108,Houston Rockets,118,,
Sat Apr 18 2015,Box Score,Washington Wizards,93,Toronto Raptors,86,OT,
Sun Apr 19 2015,Box Score,Brooklyn Nets,92,Atlanta Hawks,99,,
Sun Apr 19 2015,Box Score,Boston Celtics,100,Cleveland Cavaliers,113,,
Sun Apr 19 2015,Box Score,San Antonio Spurs,92,Los Angeles Clippers,107,,
Sun Apr 19 2015,Box Score,Portland Trail Blazers,86,Memphis Grizzlies,100,,
Mon Apr 20 2015,Box Score,Milwaukee Bucks,82,Chicago Bulls,91,,
Mon Apr 20 2015,Box Score,New Orleans Pelicans,87,Golden State Warriors,97,,
Tue Apr 21 2015,Box Score,Boston Celtics,91,Cleveland Cavaliers,99,,
Tue Apr 21 2015,Box Score,Dallas Mavericks,99,Houston Rockets,111,,
Tue Apr 21 2015,Box Score,Washington Wizards,117,Toronto Raptors,106,,
Wed Apr 22 2015,Box Score,Brooklyn Nets,91,Atlanta Hawks,96,,
Wed Apr 22 2015,Box Score,San Antonio Spurs,111,Los Angeles Clippers,107,OT,
Wed Apr 22 2015,Box Score,Portland Trail Blazers,82,Memphis Grizzlies,97,,
Thu Apr 23 2015,Box Score,Cleveland Cavaliers,103,Boston Celtics,95,,
Thu Apr 23 2015,Box Score,Chicago Bulls,113,Milwaukee Bucks,106,2OT,
Thu Apr 23 2015,Box Score,Golden State Warriors,123,New Orleans Pelicans,119,OT,
Fri Apr 24 2015,Box Score,Houston Rockets,130,Dallas Mavericks,128,,
Fri Apr 24 2015,Box Score,Los Angeles Clippers,73,San Antonio Spurs,100,,
Fri Apr 24 2015,Box Score,Toronto Raptors,99,Washington Wizards,106,,
Sat Apr 25 2015,Box Score,Atlanta Hawks,83,Brooklyn Nets,91,,
Sat Apr 25 2015,Box Score,Chicago Bulls,90,Milwaukee Bucks,92,,
Sat Apr 25 2015,Box Score,Golden State Warriors,109,New Orleans Pelicans,98,,
Sat Apr 25 2015,Box Score,Memphis Grizzlies,115,Portland Trail Blazers,109,,
Sun Apr 26 2015,Box Score,Cleveland Cavaliers,101,Boston Celtics,93,,
Sun Apr 26 2015,Box Score,Houston Rockets,109,Dallas Mavericks,121,,
Sun Apr 26 2015,Box Score,Los Angeles Clippers,114,San Antonio Spurs,105,,
Sun Apr 26 2015,Box Score,Toronto Raptors,94,Washington Wizards,125,,
Mon Apr 27 2015,Box Score,Atlanta Hawks,115,Brooklyn Nets,120,OT,
Mon Apr 27 2015,Box Score,Milwaukee Bucks,94,Chicago Bulls,88,,
Mon Apr 27 2015,Box Score,Memphis Grizzlies,92,Portland Trail Blazers,99,,
Tue Apr 28 2015,Box Score,Dallas Mavericks,94,Houston Rockets,103,,
Tue Apr 28 2015,Box Score,San Antonio Spurs,111,Los Angeles Clippers,107,,
Wed Apr 29 2015,Box Score,Brooklyn Nets,97,Atlanta Hawks,107,,
Wed Apr 29 2015,Box Score,Portland Trail Blazers,93,Memphis Grizzlies,99,,
Thu Apr 30 2015,Box Score,Chicago Bulls,120,Milwaukee Bucks,66,,
Thu Apr 30 2015,Box Score,Los Angeles Clippers,102,San Antonio Spurs,96,,
Fri May 1 2015,Box Score,Atlanta Hawks,111,Brooklyn Nets,87,,
Sat May 2 2015,Box Score,San Antonio Spurs,109,Los Angeles Clippers,111,,
Sun May 3 2015,Box Score,Washington Wizards,104,Atlanta Hawks,98,,
Sun May 3 2015,Box Score,Memphis Grizzlies,86,Golden State Warriors,101,,
Mon May 4 2015,Box Score,Chicago Bulls,99,Cleveland Cavaliers,92,,
Mon May 4 2015,Box Score,Los Angeles Clippers,117,Houston Rockets,101,,
Tue May 5 2015,Box Score,Washington Wizards,90,Atlanta Hawks,106,,
Tue May 5 2015,Box Score,Memphis Grizzlies,97,Golden State Warriors,90,,
Wed May 6 2015,Box Score,Chicago Bulls,91,Cleveland Cavaliers,106,,
Wed May 6 2015,Box Score,Los Angeles Clippers,109,Houston Rockets,115,,
Fri May 8 2015,Box Score,Cleveland Cavaliers,96,Chicago Bulls,99,,
Fri May 8 2015,Box Score,Houston Rockets,99,Los Angeles Clippers,124,,
Sat May 9 2015,Box Score,Golden State Warriors,89,Memphis Grizzlies,99,,
Sat May 9 2015,Box Score,Atlanta Hawks,101,Washington Wizards,103,,
Sun May 10 2015,Box Score,Cleveland Cavaliers,86,Chicago Bulls,84,,
Sun May 10 2015,Box Score,Houston Rockets,95,Los Angeles Clippers,128,,
Mon May 11 2015,Box Score,Golden State Warriors,101,Memphis Grizzlies,84,,
Mon May 11 2015,Box Score,Atlanta Hawks,106,Washington Wizards,101,,
Tue May 12 2015,Box Score,Chicago Bulls,101,Cleveland Cavaliers,106,,
Tue May 12 2015,Box Score,Los Angeles Clippers,103,Houston Rockets,124,,
Wed May 13 2015,Box Score,Washington Wizards,81,Atlanta Hawks,82,,
Wed May 13 2015,Box Score,Memphis Grizzlies,78,Golden State Warriors,98,,
Thu May 14 2015,Box Score,Cleveland Cavaliers,94,Chicago Bulls,73,,
Thu May 14 2015,Box Score,Houston Rockets,119,Los Angeles Clippers,107,,
Fri May 15 2015,Box Score,Golden State Warriors,108,Memphis Grizzlies,95,,
Fri May 15 2015,Box Score,Atlanta Hawks,94,Washington Wizards,91,,
Sun May 17 2015,Box Score,Los Angeles Clippers,100,Houston Rockets,113,,
Tue May 19 2015,Box Score,Houston Rockets,106,Golden State Warriors,110,,
Wed May 20 2015,Box Score,Cleveland Cavaliers,97,Atlanta Hawks,89,,
Thu May 21 2015,Box Score,Houston Rockets,98,Golden State Warriors,99,,
Fri May 22 2015,Box Score,Cleveland Cavaliers,94,Atlanta Hawks,82,,
Sat May 23 2015,Box Score,Golden State Warriors,115,Houston Rockets,80,,
Sun May 24 2015,Box Score,Atlanta Hawks,111,Cleveland Cavaliers,114,OT,
Mon May 25 2015,Box Score,Golden State Warriors,115,Houston Rockets,128,,
Tue May 26 2015,Box Score,Atlanta Hawks,88,Cleveland Cavaliers,118,,
Wed May 27 2015,Box Score,Houston Rockets,90,Golden State Warriors,104,,
Thu Jun 4 2015,Box Score,Cleveland Cavaliers,100,Golden State Warriors,108,OT,
Sun Jun 7 2015,Box Score,Cleveland Cavaliers,95,Golden State Warriors,93,OT,
Tue Jun 9 2015,Box Score,Golden State Warriors,91,Cleveland Cavaliers,96,,
Thu Jun 11 2015,Box Score,Golden State Warriors,103,Cleveland Cavaliers,82,,
Sun Jun 14 2015,Box Score,Cleveland Cavaliers,91,Golden State Warriors,104,,
Tue Jun 16 2015,Box Score,Golden State Warriors,105,Cleveland Cavaliers,97,,
