
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 20 2002,Box Score,Orlando Magic,79,Charlotte Hornets,80,,
Sat Apr 20 2002,Box Score,Indiana Pacers,89,New Jersey Nets,83,,
Sat Apr 20 2002,Box Score,Utah Jazz,86,Sacramento Kings,89,,
Sat Apr 20 2002,Box Score,Seattle SuperSonics,89,San Antonio Spurs,110,,
Sun Apr 21 2002,Box Score,Philadelphia 76ers,82,Boston Celtics,92,,
Sun Apr 21 2002,Box Score,Minnesota Timberwolves,94,Dallas Mavericks,101,,
Sun Apr 21 2002,Box Score,Toronto Raptors,63,Detroit Pistons,85,,
Sun Apr 21 2002,Box Score,Portland Trail Blazers,87,Los Angeles Lakers,95,,
Mon Apr 22 2002,Box Score,Indiana Pacers,79,New Jersey Nets,95,,
Mon Apr 22 2002,Box Score,Seattle SuperSonics,98,San Antonio Spurs,90,,
Tue Apr 23 2002,Box Score,Orlando Magic,111,Charlotte Hornets,103,OT,
Tue Apr 23 2002,Box Score,Utah Jazz,93,Sacramento Kings,86,,
Wed Apr 24 2002,Box Score,Minnesota Timberwolves,110,Dallas Mavericks,122,,
Wed Apr 24 2002,Box Score,Toronto Raptors,91,Detroit Pistons,96,,
Thu Apr 25 2002,Box Score,Philadelphia 76ers,85,Boston Celtics,93,,
Thu Apr 25 2002,Box Score,Portland Trail Blazers,96,Los Angeles Lakers,103,,
Fri Apr 26 2002,Box Score,New Jersey Nets,85,Indiana Pacers,84,,
Sat Apr 27 2002,Box Score,Charlotte Hornets,110,Orlando Magic,100,OT,
Sat Apr 27 2002,Box Score,San Antonio Spurs,102,Seattle SuperSonics,75,,
Sat Apr 27 2002,Box Score,Detroit Pistons,84,Toronto Raptors,94,,
Sat Apr 27 2002,Box Score,Sacramento Kings,90,Utah Jazz,87,,
Sun Apr 28 2002,Box Score,Dallas Mavericks,115,Minnesota Timberwolves,102,,
Sun Apr 28 2002,Box Score,Boston Celtics,103,Philadelphia 76ers,108,,
Sun Apr 28 2002,Box Score,Los Angeles Lakers,92,Portland Trail Blazers,91,,
Mon Apr 29 2002,Box Score,Detroit Pistons,83,Toronto Raptors,89,,
Mon Apr 29 2002,Box Score,Sacramento Kings,91,Utah Jazz,86,,
Tue Apr 30 2002,Box Score,New Jersey Nets,74,Indiana Pacers,97,,
Tue Apr 30 2002,Box Score,Charlotte Hornets,102,Orlando Magic,85,,
Wed May 1 2002,Box Score,Boston Celtics,81,Philadelphia 76ers,83,,
Wed May 1 2002,Box Score,San Antonio Spurs,79,Seattle SuperSonics,91,,
Thu May 2 2002,Box Score,Toronto Raptors,82,Detroit Pistons,85,,
Thu May 2 2002,Box Score,Indiana Pacers,109,New Jersey Nets,120,2OT,
Fri May 3 2002,Box Score,Philadelphia 76ers,87,Boston Celtics,120,,
Fri May 3 2002,Box Score,Seattle SuperSonics,78,San Antonio Spurs,101,,
Sat May 4 2002,Box Score,Dallas Mavericks,91,Sacramento Kings,108,,
Sun May 5 2002,Box Score,Boston Celtics,84,Detroit Pistons,96,,
Sun May 5 2002,Box Score,San Antonio Spurs,80,Los Angeles Lakers,86,,
Sun May 5 2002,Box Score,Charlotte Hornets,93,New Jersey Nets,99,,
Mon May 6 2002,Box Score,Dallas Mavericks,110,Sacramento Kings,102,,
Tue May 7 2002,Box Score,San Antonio Spurs,88,Los Angeles Lakers,85,,
Tue May 7 2002,Box Score,Charlotte Hornets,88,New Jersey Nets,102,,
Wed May 8 2002,Box Score,Boston Celtics,85,Detroit Pistons,77,,
Thu May 9 2002,Box Score,New Jersey Nets,97,Charlotte Hornets,115,,
Thu May 9 2002,Box Score,Sacramento Kings,125,Dallas Mavericks,119,,
Fri May 10 2002,Box Score,Detroit Pistons,64,Boston Celtics,66,,
Fri May 10 2002,Box Score,Los Angeles Lakers,99,San Antonio Spurs,89,,
Sat May 11 2002,Box Score,Sacramento Kings,115,Dallas Mavericks,113,OT,
Sun May 12 2002,Box Score,Detroit Pistons,79,Boston Celtics,90,,
Sun May 12 2002,Box Score,New Jersey Nets,89,Charlotte Hornets,79,,
Sun May 12 2002,Box Score,Los Angeles Lakers,87,San Antonio Spurs,85,,
Mon May 13 2002,Box Score,Dallas Mavericks,101,Sacramento Kings,114,,
Tue May 14 2002,Box Score,Boston Celtics,90,Detroit Pistons,81,,
Tue May 14 2002,Box Score,San Antonio Spurs,87,Los Angeles Lakers,93,,
Wed May 15 2002,Box Score,Charlotte Hornets,95,New Jersey Nets,103,,
Sat May 18 2002,Box Score,Los Angeles Lakers,106,Sacramento Kings,99,,
Sun May 19 2002,Box Score,Boston Celtics,97,New Jersey Nets,104,,
Mon May 20 2002,Box Score,Los Angeles Lakers,90,Sacramento Kings,96,,
Tue May 21 2002,Box Score,Boston Celtics,93,New Jersey Nets,86,,
Fri May 24 2002,Box Score,Sacramento Kings,103,Los Angeles Lakers,90,,
Sat May 25 2002,Box Score,New Jersey Nets,90,Boston Celtics,94,,
Sun May 26 2002,Box Score,Sacramento Kings,99,Los Angeles Lakers,100,,
Mon May 27 2002,Box Score,New Jersey Nets,94,Boston Celtics,92,,
Tue May 28 2002,Box Score,Los Angeles Lakers,91,Sacramento Kings,92,,
Wed May 29 2002,Box Score,Boston Celtics,92,New Jersey Nets,103,,
Fri May 31 2002,Box Score,New Jersey Nets,96,Boston Celtics,88,,
Fri May 31 2002,Box Score,Sacramento Kings,102,Los Angeles Lakers,106,,
Sun Jun 2 2002,Box Score,Los Angeles Lakers,112,Sacramento Kings,106,OT,
Wed Jun 5 2002,Box Score,New Jersey Nets,94,Los Angeles Lakers,99,,
Fri Jun 7 2002,Box Score,New Jersey Nets,83,Los Angeles Lakers,106,,
Sun Jun 9 2002,Box Score,Los Angeles Lakers,106,New Jersey Nets,103,,
Wed Jun 12 2002,Box Score,Los Angeles Lakers,113,New Jersey Nets,107,,
