
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 13 1967,Box Score,Seattle SuperSonics,116,San Francisco Warriors,144,,
Sat Oct 14 1967,Box Score,Chicago Bulls,90,Boston Celtics,105,,
Sat Oct 14 1967,Box Score,St. Louis Hawks,99,San Diego Rockets,98,,
Sun Oct 15 1967,Box Score,St. Louis Hawks,107,San Francisco Warriors,102,,
Tue Oct 17 1967,Box Score,Los Angeles Lakers,107,Chicago Bulls,105,,
Tue Oct 17 1967,Box Score,Cincinnati Royals,108,Detroit Pistons,131,,
Tue Oct 17 1967,Box Score,San Francisco Warriors,122,New York Knicks,124,,
Tue Oct 17 1967,Box Score,St. Louis Hawks,123,San Diego Rockets,105,,
Wed Oct 18 1967,Box Score,New York Knicks,98,Baltimore Bullets,121,,
Wed Oct 18 1967,Box Score,San Francisco Warriors,118,Cincinnati Royals,122,,
Wed Oct 18 1967,Box Score,Los Angeles Lakers,87,Philadelphia 76ers,103,,
Thu Oct 19 1967,Box Score,San Francisco Warriors,116,Chicago Bulls,106,,
Thu Oct 19 1967,Box Score,Los Angeles Lakers,95,St. Louis Hawks,100,,
Fri Oct 20 1967,Box Score,St. Louis Hawks,126,Chicago Bulls,99,,
Fri Oct 20 1967,Box Score,San Diego Rockets,121,Seattle SuperSonics,114,,
Sat Oct 21 1967,Box Score,Boston Celtics,125,Baltimore Bullets,109,,
Sat Oct 21 1967,Box Score,Chicago Bulls,107,Cincinnati Royals,109,,
Sat Oct 21 1967,Box Score,Los Angeles Lakers,114,New York Knicks,106,,
Sat Oct 21 1967,Box Score,Detroit Pistons,111,Philadelphia 76ers,116,,
Sat Oct 21 1967,Box Score,Seattle SuperSonics,117,San Diego Rockets,110,OT,
Sat Oct 21 1967,Box Score,San Francisco Warriors,110,St. Louis Hawks,115,,
Sun Oct 22 1967,Box Score,Cincinnati Royals,106,Seattle SuperSonics,94,,
Sun Oct 22 1967,Box Score,San Diego Rockets,126,San Francisco Warriors,137,,
Tue Oct 24 1967,Box Score,Seattle SuperSonics,125,Baltimore Bullets,136,,at Portland OR
Tue Oct 24 1967,Box Score,Philadelphia 76ers,124,Detroit Pistons,102,,at New York NY
Tue Oct 24 1967,Box Score,St. Louis Hawks,135,New York Knicks,130,OT,
Tue Oct 24 1967,Box Score,Cincinnati Royals,106,San Francisco Warriors,116,,at Oakland CA
Wed Oct 25 1967,Box Score,St. Louis Hawks,104,Boston Celtics,118,,
Wed Oct 25 1967,Box Score,Chicago Bulls,99,Detroit Pistons,107,,
Wed Oct 25 1967,Box Score,Cincinnati Royals,116,Los Angeles Lakers,132,,
Wed Oct 25 1967,Box Score,New York Knicks,114,Philadelphia 76ers,117,,
Wed Oct 25 1967,Box Score,Baltimore Bullets,125,San Diego Rockets,109,,
Fri Oct 27 1967,Box Score,Boston Celtics,128,Detroit Pistons,109,,
Fri Oct 27 1967,Box Score,Chicago Bulls,117,Los Angeles Lakers,125,,
Fri Oct 27 1967,Box Score,Seattle SuperSonics,115,Philadelphia 76ers,132,,
Fri Oct 27 1967,Box Score,Cincinnati Royals,116,San Diego Rockets,113,,
Fri Oct 27 1967,Box Score,Baltimore Bullets,111,San Francisco Warriors,124,,at Oakland CA
Sat Oct 28 1967,Box Score,Philadelphia 76ers,95,Boston Celtics,104,,
Sat Oct 28 1967,Box Score,Detroit Pistons,111,New York Knicks,98,,
Sat Oct 28 1967,Box Score,Seattle SuperSonics,109,St. Louis Hawks,116,,
Sun Oct 29 1967,Box Score,Baltimore Bullets,105,Los Angeles Lakers,118,,
Sun Oct 29 1967,Box Score,Cincinnati Royals,108,San Diego Rockets,99,,
Sun Oct 29 1967,Box Score,Chicago Bulls,105,San Francisco Warriors,125,,at Oakland CA
Tue Oct 31 1967,Box Score,Chicago Bulls,104,Seattle SuperSonics,114,,
Tue Oct 31 1967,Box Score,New York Knicks,103,San Francisco Warriors,108,,at Oakland CA
Tue Oct 31 1967,Box Score,Baltimore Bullets,103,St. Louis Hawks,114,,
Wed Nov 1 1967,Box Score,St. Louis Hawks,101,Cincinnati Royals,96,,
Wed Nov 1 1967,Box Score,San Francisco Warriors,137,Detroit Pistons,132,,
