
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 16 1964,Box Score,Detroit Pistons,113,Philadelphia 76ers,125,,
Sat Oct 17 1964,Box Score,San Francisco Warriors,101,Baltimore Bullets,121,,
Sat Oct 17 1964,Box Score,Detroit Pistons,81,Boston Celtics,112,,
Sat Oct 17 1964,Box Score,Los Angeles Lakers,113,New York Knicks,109,,
Sat Oct 17 1964,Box Score,Cincinnati Royals,91,St. Louis Hawks,94,,
Sun Oct 18 1964,Box Score,San Francisco Warriors,108,Cincinnati Royals,117,,
Tue Oct 20 1964,Box Score,Los Angeles Lakers,113,Cincinnati Royals,121,,
Wed Oct 21 1964,Box Score,Los Angeles Lakers,108,Baltimore Bullets,105,,
Wed Oct 21 1964,Box Score,San Francisco Warriors,104,Detroit Pistons,108,,
Thu Oct 22 1964,Box Score,Detroit Pistons,102,Boston Celtics,104,,at Philadelphia PA
Thu Oct 22 1964,Box Score,Baltimore Bullets,138,Philadelphia 76ers,135,OT,
Fri Oct 23 1964,Box Score,Los Angeles Lakers,94,San Francisco Warriors,92,,
Sat Oct 24 1964,Box Score,Baltimore Bullets,103,Boston Celtics,131,,
Sat Oct 24 1964,Box Score,Detroit Pistons,118,New York Knicks,108,OT,
Sat Oct 24 1964,Box Score,Philadelphia 76ers,86,St. Louis Hawks,126,,
Sun Oct 25 1964,Box Score,Boston Celtics,112,Baltimore Bullets,100,,
Sun Oct 25 1964,Box Score,Philadelphia 76ers,107,Cincinnati Royals,109,,
Sun Oct 25 1964,Box Score,New York Knicks,108,Detroit Pistons,95,,at Cincinnati OH
Tue Oct 27 1964,Box Score,Boston Celtics,131,New York Knicks,103,,
Tue Oct 27 1964,Box Score,St. Louis Hawks,81,Philadelphia 76ers,100,,at New York NY
Tue Oct 27 1964,Box Score,Baltimore Bullets,90,San Francisco Warriors,101,,at Oakland CA
Wed Oct 28 1964,Box Score,Baltimore Bullets,102,Los Angeles Lakers,112,,
Wed Oct 28 1964,Box Score,Boston Celtics,119,St. Louis Hawks,117,,
Thu Oct 29 1964,Box Score,Baltimore Bullets,98,Los Angeles Lakers,95,,
Fri Oct 30 1964,Box Score,St. Louis Hawks,118,Cincinnati Royals,119,,
Fri Oct 30 1964,Box Score,Boston Celtics,106,Detroit Pistons,90,,
Fri Oct 30 1964,Box Score,Philadelphia 76ers,90,New York Knicks,94,,
Sat Oct 31 1964,Box Score,Cincinnati Royals,94,Boston Celtics,122,,
Sat Oct 31 1964,Box Score,New York Knicks,105,Philadelphia 76ers,116,,
Sat Oct 31 1964,Box Score,Baltimore Bullets,102,San Francisco Warriors,98,,
Sat Oct 31 1964,Box Score,Detroit Pistons,99,St. Louis Hawks,107,,
Sun Nov 1 1964,Box Score,Detroit Pistons,101,Cincinnati Royals,114,,
Sun Nov 1 1964,Box Score,St. Louis Hawks,116,Los Angeles Lakers,115,,
Wed Nov 4 1964,Box Score,Baltimore Bullets,121,Detroit Pistons,108,,
Wed Nov 4 1964,Box Score,St. Louis Hawks,105,San Francisco Warriors,104,,
Thu Nov 5 1964,Box Score,New York Knicks,96,Los Angeles Lakers,106,,
Fri Nov 6 1964,Box Score,Baltimore Bullets,111,Cincinnati Royals,106,,
Fri Nov 6 1964,Box Score,New York Knicks,127,San Francisco Warriors,133,2OT,
Sat Nov 7 1964,Box Score,Detroit Pistons,113,Boston Celtics,130,,
Sat Nov 7 1964,Box Score,San Francisco Warriors,103,Los Angeles Lakers,130,,
Sat Nov 7 1964,Box Score,Cincinnati Royals,103,Philadelphia 76ers,105,,
Sat Nov 7 1964,Box Score,Baltimore Bullets,99,St. Louis Hawks,134,,
Sun Nov 8 1964,Box Score,Boston Celtics,106,Cincinnati Royals,103,,
Sun Nov 8 1964,Box Score,New York Knicks,121,San Francisco Warriors,130,,
Tue Nov 10 1964,Box Score,Detroit Pistons,119,Baltimore Bullets,117,,at Philadelphia PA
Tue Nov 10 1964,Box Score,New York Knicks,101,Los Angeles Lakers,108,,
Tue Nov 10 1964,Box Score,San Francisco Warriors,110,Philadelphia 76ers,99,,
Wed Nov 11 1964,Box Score,Philadelphia 76ers,123,Baltimore Bullets,114,,
Wed Nov 11 1964,Box Score,San Francisco Warriors,84,Boston Celtics,110,,
Wed Nov 11 1964,Box Score,Cincinnati Royals,118,St. Louis Hawks,116,,
Thu Nov 12 1964,Box Score,Philadelphia 76ers,110,Boston Celtics,109,,at New York NY
Thu Nov 12 1964,Box Score,San Francisco Warriors,99,Detroit Pistons,121,,
Thu Nov 12 1964,Box Score,Los Angeles Lakers,132,New York Knicks,123,OT,
Fri Nov 13 1964,Box Score,Los Angeles Lakers,114,Boston Celtics,112,,
Fri Nov 13 1964,Box Score,St. Louis Hawks,106,Cincinnati Royals,123,,
Sat Nov 14 1964,Box Score,Los Angeles Lakers,115,Baltimore Bullets,127,,
Sat Nov 14 1964,Box Score,Cincinnati Royals,111,New York Knicks,110,,
Sat Nov 14 1964,Box Score,Boston Celtics,113,Philadelphia 76ers,102,,
Sat Nov 14 1964,Box Score,San Francisco Warriors,94,St. Louis Hawks,108,,
Sun Nov 15 1964,Box Score,San Francisco Warriors,122,Cincinnati Royals,106,,
Sun Nov 15 1964,Box Score,Los Angeles Lakers,111,Detroit Pistons,105,,
Tue Nov 17 1964,Box Score,Boston Celtics,99,Baltimore Bullets,102,,
Tue Nov 17 1964,Box Score,Cincinnati Royals,114,San Francisco Warriors,108,,
Tue Nov 17 1964,Box Score,Philadelphia 76ers,107,St. Louis Hawks,114,,
Wed Nov 18 1964,Box Score,St. Louis Hawks,97,Boston Celtics,100,,
Wed Nov 18 1964,Box Score,Philadelphia 76ers,111,Detroit Pistons,124,,
Wed Nov 18 1964,Box Score,Cincinnati Royals,92,Los Angeles Lakers,90,,
Fri Nov 20 1964,Box Score,Detroit Pistons,106,Baltimore Bullets,105,,
Fri Nov 20 1964,Box Score,New York Knicks,120,Boston Celtics,127,,at Philadelphia PA
Fri Nov 20 1964,Box Score,Cincinnati Royals,121,Los Angeles Lakers,131,,
Fri Nov 20 1964,Box Score,St. Louis Hawks,118,Philadelphia 76ers,115,,
Sat Nov 21 1964,Box Score,Philadelphia 76ers,108,Boston Celtics,96,,at Providence RI
Sat Nov 21 1964,Box Score,Baltimore Bullets,94,New York Knicks,103,,
Sat Nov 21 1964,Box Score,Cincinnati Royals,111,San Francisco Warriors,104,,
Sat Nov 21 1964,Box Score,Detroit Pistons,94,St. Louis Hawks,100,,
Sun Nov 22 1964,Box Score,Detroit Pistons,99,San Francisco Warriors,97,,
Tue Nov 24 1964,Box Score,San Francisco Warriors,93,New York Knicks,101,,
Tue Nov 24 1964,Box Score,Baltimore Bullets,109,St. Louis Hawks,108,,
Wed Nov 25 1964,Box Score,Cincinnati Royals,116,Baltimore Bullets,125,,
Wed Nov 25 1964,Box Score,San Francisco Warriors,118,Boston Celtics,122,,
Wed Nov 25 1964,Box Score,Detroit Pistons,117,Los Angeles Lakers,130,,
Wed Nov 25 1964,Box Score,Philadelphia 76ers,124,New York Knicks,93,,at Boston MA
Thu Nov 26 1964,Box Score,San Francisco Warriors,117,Philadelphia 76ers,128,,
Thu Nov 26 1964,Box Score,Boston Celtics,98,St. Louis Hawks,110,,
Fri Nov 27 1964,Box Score,Philadelphia 76ers,112,Cincinnati Royals,133,,
Fri Nov 27 1964,Box Score,Detroit Pistons,111,Los Angeles Lakers,117,,
Sat Nov 28 1964,Box Score,Cincinnati Royals,98,Boston Celtics,129,,
Sat Nov 28 1964,Box Score,Philadelphia 76ers,101,Detroit Pistons,93,,
Sat Nov 28 1964,Box Score,St. Louis Hawks,91,New York Knicks,106,,
Sat Nov 28 1964,Box Score,Los Angeles Lakers,106,San Francisco Warriors,109,,
Sun Nov 29 1964,Box Score,New York Knicks,95,Cincinnati Royals,105,,
Sun Nov 29 1964,Box Score,Baltimore Bullets,110,Los Angeles Lakers,126,,
Sun Nov 29 1964,Box Score,Philadelphia 76ers,97,St. Louis Hawks,94,,
Tue Dec 1 1964,Box Score,Detroit Pistons,107,Cincinnati Royals,129,,at Indianapolis IN
Tue Dec 1 1964,Box Score,Boston Celtics,117,New York Knicks,113,OT,
Tue Dec 1 1964,Box Score,Los Angeles Lakers,118,Philadelphia 76ers,117,,
Tue Dec 1 1964,Box Score,Baltimore Bullets,136,San Francisco Warriors,137,2OT,
Wed Dec 2 1964,Box Score,San Francisco Warriors,114,Baltimore Bullets,120,,at San Jose CA
Wed Dec 2 1964,Box Score,New York Knicks,91,Boston Celtics,116,,
Wed Dec 2 1964,Box Score,Cincinnati Royals,115,Detroit Pistons,125,,
Wed Dec 2 1964,Box Score,Los Angeles Lakers,102,St. Louis Hawks,105,,
Fri Dec 4 1964,Box Score,St. Louis Hawks,106,Baltimore Bullets,108,,
Fri Dec 4 1964,Box Score,Los Angeles Lakers,90,Cincinnati Royals,104,,
Fri Dec 4 1964,Box Score,Detroit Pistons,106,Philadelphia 76ers,119,,
Fri Dec 4 1964,Box Score,Boston Celtics,85,San Francisco Warriors,112,,
Sat Dec 5 1964,Box Score,Philadelphia 76ers,125,Baltimore Bullets,108,,at Detroit MI
Sat Dec 5 1964,Box Score,New York Knicks,100,Detroit Pistons,110,,
Sat Dec 5 1964,Box Score,Boston Celtics,105,San Francisco Warriors,81,,
Sun Dec 6 1964,Box Score,Cincinnati Royals,124,Baltimore Bullets,113,,at Columbus OH
Sun Dec 6 1964,Box Score,Philadelphia 76ers,104,Los Angeles Lakers,109,,at Minneapolis MN
Sun Dec 6 1964,Box Score,New York Knicks,94,St. Louis Hawks,115,,
Tue Dec 8 1964,Box Score,Philadelphia 76ers,102,Baltimore Bullets,97,,at New York NY
Tue Dec 8 1964,Box Score,Boston Celtics,108,Los Angeles Lakers,98,,
Tue Dec 8 1964,Box Score,Detroit Pistons,102,New York Knicks,100,,
Tue Dec 8 1964,Box Score,St. Louis Hawks,113,San Francisco Warriors,93,,
Wed Dec 9 1964,Box Score,New York Knicks,111,Baltimore Bullets,90,,
Wed Dec 9 1964,Box Score,Cincinnati Royals,122,Detroit Pistons,114,,
Thu Dec 10 1964,Box Score,Boston Celtics,116,Cincinnati Royals,101,,
Thu Dec 10 1964,Box Score,St. Louis Hawks,95,Los Angeles Lakers,91,,
Fri Dec 11 1964,Box Score,Boston Celtics,118,Philadelphia 76ers,109,,
Fri Dec 11 1964,Box Score,Detroit Pistons,104,San Francisco Warriors,100,,
Sat Dec 12 1964,Box Score,Baltimore Bullets,99,Boston Celtics,112,,
Sat Dec 12 1964,Box Score,Philadelphia 76ers,106,New York Knicks,133,,
Sat Dec 12 1964,Box Score,Detroit Pistons,107,San Francisco Warriors,124,,
Sat Dec 12 1964,Box Score,Cincinnati Royals,115,St. Louis Hawks,109,,
