
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 20 2013,Box Score,Chicago Bulls,89,Brooklyn Nets,106,,
Sat Apr 20 2013,Box Score,Golden State Warriors,95,Denver Nuggets,97,,
Sat Apr 20 2013,Box Score,Memphis Grizzlies,91,Los Angeles Clippers,112,,
Sat Apr 20 2013,Box Score,Boston Celtics,78,New York Knicks,85,,
Sun Apr 21 2013,Box Score,Atlanta Hawks,90,Indiana Pacers,107,,
Sun Apr 21 2013,Box Score,Milwaukee Bucks,87,Miami Heat,110,,
Sun Apr 21 2013,Box Score,Houston Rockets,91,Oklahoma City Thunder,120,,
Sun Apr 21 2013,Box Score,Los Angeles Lakers,79,San Antonio Spurs,91,,
Mon Apr 22 2013,Box Score,Chicago Bulls,90,Brooklyn Nets,82,,
Mon Apr 22 2013,Box Score,Memphis Grizzlies,91,Los Angeles Clippers,93,,
Tue Apr 23 2013,Box Score,Golden State Warriors,131,Denver Nuggets,117,,
Tue Apr 23 2013,Box Score,Milwaukee Bucks,86,Miami Heat,98,,
Tue Apr 23 2013,Box Score,Boston Celtics,71,New York Knicks,87,,
Wed Apr 24 2013,Box Score,Atlanta Hawks,98,Indiana Pacers,113,,
Wed Apr 24 2013,Box Score,Houston Rockets,102,Oklahoma City Thunder,105,,
Wed Apr 24 2013,Box Score,Los Angeles Lakers,91,San Antonio Spurs,102,,
Thu Apr 25 2013,Box Score,Brooklyn Nets,76,Chicago Bulls,79,,
Thu Apr 25 2013,Box Score,Los Angeles Clippers,82,Memphis Grizzlies,94,,
Thu Apr 25 2013,Box Score,Miami Heat,104,Milwaukee Bucks,91,,
Fri Apr 26 2013,Box Score,New York Knicks,90,Boston Celtics,76,,
Fri Apr 26 2013,Box Score,Denver Nuggets,108,Golden State Warriors,110,,
Fri Apr 26 2013,Box Score,San Antonio Spurs,120,Los Angeles Lakers,89,,
Sat Apr 27 2013,Box Score,Indiana Pacers,69,Atlanta Hawks,90,,
Sat Apr 27 2013,Box Score,Brooklyn Nets,134,Chicago Bulls,142,3OT,
Sat Apr 27 2013,Box Score,Oklahoma City Thunder,104,Houston Rockets,101,,
Sat Apr 27 2013,Box Score,Los Angeles Clippers,83,Memphis Grizzlies,104,,
Sun Apr 28 2013,Box Score,New York Knicks,90,Boston Celtics,97,OT,
Sun Apr 28 2013,Box Score,Denver Nuggets,101,Golden State Warriors,115,,
Sun Apr 28 2013,Box Score,San Antonio Spurs,103,Los Angeles Lakers,82,,
Sun Apr 28 2013,Box Score,Miami Heat,88,Milwaukee Bucks,77,,
Mon Apr 29 2013,Box Score,Indiana Pacers,91,Atlanta Hawks,102,,
Mon Apr 29 2013,Box Score,Chicago Bulls,91,Brooklyn Nets,110,,
Mon Apr 29 2013,Box Score,Oklahoma City Thunder,103,Houston Rockets,105,,
Tue Apr 30 2013,Box Score,Golden State Warriors,100,Denver Nuggets,107,,
Tue Apr 30 2013,Box Score,Memphis Grizzlies,103,Los Angeles Clippers,93,,
Wed May 1 2013,Box Score,Atlanta Hawks,83,Indiana Pacers,106,,
Wed May 1 2013,Box Score,Boston Celtics,92,New York Knicks,86,,
Wed May 1 2013,Box Score,Houston Rockets,107,Oklahoma City Thunder,100,,
Thu May 2 2013,Box Score,Brooklyn Nets,95,Chicago Bulls,92,,
Thu May 2 2013,Box Score,Denver Nuggets,88,Golden State Warriors,92,,
Fri May 3 2013,Box Score,Indiana Pacers,81,Atlanta Hawks,73,,
Fri May 3 2013,Box Score,New York Knicks,88,Boston Celtics,80,,
Fri May 3 2013,Box Score,Oklahoma City Thunder,103,Houston Rockets,94,,
Fri May 3 2013,Box Score,Los Angeles Clippers,105,Memphis Grizzlies,118,,
Sat May 4 2013,Box Score,Chicago Bulls,99,Brooklyn Nets,93,,
Sun May 5 2013,Box Score,Indiana Pacers,102,New York Knicks,95,,
Sun May 5 2013,Box Score,Memphis Grizzlies,91,Oklahoma City Thunder,93,,
