
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Mar 18 1952,Box Score,Fort Wayne Pistons,78,Rochester Royals,95,,
Wed Mar 19 1952,Box Score,New York Knicks,94,Boston Celtics,105,,
Thu Mar 20 1952,Box Score,Rochester Royals,92,Fort Wayne Pistons,86,,
Thu Mar 20 1952,Box Score,Philadelphia Warriors,83,Syracuse Nationals,102,,
Sat Mar 22 1952,Box Score,Syracuse Nationals,95,Philadelphia Warriors,100,,
Sun Mar 23 1952,Box Score,Indianapolis Olympians,70,Minneapolis Lakers,78,,
Sun Mar 23 1952,Box Score,Boston Celtics,97,New York Knicks,101,,
Sun Mar 23 1952,Box Score,Philadelphia Warriors,73,Syracuse Nationals,84,,
Tue Mar 25 1952,Box Score,Minneapolis Lakers,94,Indianapolis Olympians,87,,
Wed Mar 26 1952,Box Score,New York Knicks,88,Boston Celtics,87,2OT,
Sat Mar 29 1952,Box Score,Minneapolis Lakers,78,Rochester Royals,88,,
Sun Mar 30 1952,Box Score,Minneapolis Lakers,83,Rochester Royals,78,OT,
Wed Apr 2 1952,Box Score,New York Knicks,87,Syracuse Nationals,85,,
Thu Apr 3 1952,Box Score,New York Knicks,92,Syracuse Nationals,102,,
Sat Apr 5 1952,Box Score,Rochester Royals,67,Minneapolis Lakers,77,,
Sat Apr 5 1952,Box Score,Syracuse Nationals,92,New York Knicks,99,,
Sun Apr 6 1952,Box Score,Rochester Royals,80,Minneapolis Lakers,82,,
Tue Apr 8 1952,Box Score,Syracuse Nationals,93,New York Knicks,100,,
Sat Apr 12 1952,Box Score,New York Knicks,79,Minneapolis Lakers,83,OT,at Saint Paul MN
Sun Apr 13 1952,Box Score,New York Knicks,80,Minneapolis Lakers,72,,at Saint Paul MN
Wed Apr 16 1952,Box Score,Minneapolis Lakers,82,New York Knicks,77,,
Fri Apr 18 1952,Box Score,Minneapolis Lakers,89,New York Knicks,90,OT,
Sun Apr 20 1952,Box Score,New York Knicks,89,Minneapolis Lakers,102,,at Saint Paul MN
Wed Apr 23 1952,Box Score,Minneapolis Lakers,68,New York Knicks,76,,
Fri Apr 25 1952,Box Score,New York Knicks,65,Minneapolis Lakers,82,,
