
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu Apr 27 1989,Box Score,Milwaukee Bucks,92,Atlanta Hawks,100,,
Thu Apr 27 1989,Box Score,Portland Trail Blazers,108,Los Angeles Lakers,128,,
Thu Apr 27 1989,Box Score,Philadelphia 76ers,96,New York Knicks,102,,
Thu Apr 27 1989,Box Score,Golden State Warriors,123,Utah Jazz,119,,
Fri Apr 28 1989,Box Score,Chicago Bulls,95,Cleveland Cavaliers,88,,
Fri Apr 28 1989,Box Score,Boston Celtics,91,Detroit Pistons,101,,
Fri Apr 28 1989,Box Score,Denver Nuggets,103,Phoenix Suns,104,,
Fri Apr 28 1989,Box Score,Houston Rockets,107,Seattle SuperSonics,111,,
Sat Apr 29 1989,Box Score,Milwaukee Bucks,108,Atlanta Hawks,98,,
Sat Apr 29 1989,Box Score,Philadelphia 76ers,106,New York Knicks,107,,
Sat Apr 29 1989,Box Score,Golden State Warriors,99,Utah Jazz,91,,
Sun Apr 30 1989,Box Score,Chicago Bulls,88,Cleveland Cavaliers,96,,
Sun Apr 30 1989,Box Score,Boston Celtics,95,Detroit Pistons,102,,
Sun Apr 30 1989,Box Score,Portland Trail Blazers,105,Los Angeles Lakers,113,,
Sun Apr 30 1989,Box Score,Denver Nuggets,114,Phoenix Suns,132,,
Sun Apr 30 1989,Box Score,Houston Rockets,97,Seattle SuperSonics,109,,
Tue May 2 1989,Box Score,Detroit Pistons,100,Boston Celtics,85,,
Tue May 2 1989,Box Score,Phoenix Suns,130,Denver Nuggets,121,,
Tue May 2 1989,Box Score,Utah Jazz,106,Golden State Warriors,120,,
Tue May 2 1989,Box Score,Atlanta Hawks,113,Milwaukee Bucks,117,OT,
Tue May 2 1989,Box Score,New York Knicks,116,Philadelphia 76ers,115,OT,
Wed May 3 1989,Box Score,Cleveland Cavaliers,94,Chicago Bulls,101,,
Wed May 3 1989,Box Score,Seattle SuperSonics,107,Houston Rockets,126,,
Wed May 3 1989,Box Score,Los Angeles Lakers,116,Portland Trail Blazers,108,,
Fri May 5 1989,Box Score,Cleveland Cavaliers,108,Chicago Bulls,105,OT,
Fri May 5 1989,Box Score,Seattle SuperSonics,98,Houston Rockets,96,,
Fri May 5 1989,Box Score,Atlanta Hawks,113,Milwaukee Bucks,106,OT,
Sat May 6 1989,Box Score,Golden State Warriors,103,Phoenix Suns,130,,
Sun May 7 1989,Box Score,Milwaukee Bucks,96,Atlanta Hawks,92,,
Sun May 7 1989,Box Score,Chicago Bulls,101,Cleveland Cavaliers,100,,
Sun May 7 1989,Box Score,Seattle SuperSonics,102,Los Angeles Lakers,113,,
Tue May 9 1989,Box Score,Chicago Bulls,120,New York Knicks,109,OT,
Tue May 9 1989,Box Score,Golden State Warriors,127,Phoenix Suns,122,,
Wed May 10 1989,Box Score,Milwaukee Bucks,80,Detroit Pistons,85,,
Wed May 10 1989,Box Score,Seattle SuperSonics,108,Los Angeles Lakers,130,,
Thu May 11 1989,Box Score,Phoenix Suns,113,Golden State Warriors,104,,
Thu May 11 1989,Box Score,Chicago Bulls,97,New York Knicks,114,,
Fri May 12 1989,Box Score,Milwaukee Bucks,92,Detroit Pistons,112,,
Fri May 12 1989,Box Score,Los Angeles Lakers,91,Seattle SuperSonics,86,,
Sat May 13 1989,Box Score,New York Knicks,88,Chicago Bulls,111,,
Sat May 13 1989,Box Score,Phoenix Suns,135,Golden State Warriors,99,,
Sun May 14 1989,Box Score,New York Knicks,93,Chicago Bulls,106,,
Sun May 14 1989,Box Score,Detroit Pistons,110,Milwaukee Bucks,90,,
Sun May 14 1989,Box Score,Los Angeles Lakers,97,Seattle SuperSonics,95,,
Mon May 15 1989,Box Score,Detroit Pistons,96,Milwaukee Bucks,94,,
Tue May 16 1989,Box Score,Chicago Bulls,114,New York Knicks,121,,
Tue May 16 1989,Box Score,Golden State Warriors,104,Phoenix Suns,116,,
Fri May 19 1989,Box Score,New York Knicks,111,Chicago Bulls,113,,
Sat May 20 1989,Box Score,Phoenix Suns,119,Los Angeles Lakers,127,,
Sun May 21 1989,Box Score,Chicago Bulls,94,Detroit Pistons,88,,
Tue May 23 1989,Box Score,Chicago Bulls,91,Detroit Pistons,100,,
Tue May 23 1989,Box Score,Phoenix Suns,95,Los Angeles Lakers,101,,
Fri May 26 1989,Box Score,Los Angeles Lakers,110,Phoenix Suns,107,,
Sat May 27 1989,Box Score,Detroit Pistons,97,Chicago Bulls,99,,
Sun May 28 1989,Box Score,Los Angeles Lakers,122,Phoenix Suns,117,,
Mon May 29 1989,Box Score,Detroit Pistons,86,Chicago Bulls,80,,
Wed May 31 1989,Box Score,Chicago Bulls,85,Detroit Pistons,94,,
Fri Jun 2 1989,Box Score,Detroit Pistons,103,Chicago Bulls,94,,
Tue Jun 6 1989,Box Score,Los Angeles Lakers,97,Detroit Pistons,109,,
Thu Jun 8 1989,Box Score,Los Angeles Lakers,105,Detroit Pistons,108,,
Sun Jun 11 1989,Box Score,Detroit Pistons,114,Los Angeles Lakers,110,,
Tue Jun 13 1989,Box Score,Detroit Pistons,105,Los Angeles Lakers,97,,
