
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 26 1984,Box Score,Washington Bullets,93,Chicago Bulls,109,,
Fri Oct 26 1984,Box Score,Boston Celtics,130,Detroit Pistons,123,,
Fri Oct 26 1984,Box Score,Phoenix Suns,122,Golden State Warriors,114,,
Fri Oct 26 1984,Box Score,Atlanta Hawks,119,New Jersey Nets,104,,
Fri Oct 26 1984,Box Score,Cleveland Cavaliers,101,Philadelphia 76ers,111,,
Fri Oct 26 1984,Box Score,Utah Jazz,94,Seattle SuperSonics,102,,
Sat Oct 27 1984,Box Score,Philadelphia 76ers,111,Atlanta Hawks,108,,
Sat Oct 27 1984,Box Score,New Jersey Nets,131,Cleveland Cavaliers,106,,
Sat Oct 27 1984,Box Score,Houston Rockets,121,Dallas Mavericks,111,,
Sat Oct 27 1984,Box Score,Golden State Warriors,121,Denver Nuggets,125,,
Sat Oct 27 1984,Box Score,Washington Bullets,104,Indiana Pacers,102,,
Sat Oct 27 1984,Box Score,Portland Trail Blazers,140,Kansas City Kings,119,,
Sat Oct 27 1984,Box Score,Chicago Bulls,106,Milwaukee Bucks,108,,
Sat Oct 27 1984,Box Score,Detroit Pistons,118,New York Knicks,137,,
Sat Oct 27 1984,Box Score,Los Angeles Lakers,112,San Antonio Spurs,113,,
Sat Oct 27 1984,Box Score,Los Angeles Clippers,103,Utah Jazz,94,,
Sun Oct 28 1984,Box Score,Los Angeles Lakers,96,Dallas Mavericks,107,,
Sun Oct 28 1984,Box Score,Phoenix Suns,102,Seattle SuperSonics,87,,
Mon Oct 29 1984,Box Score,Milwaukee Bucks,110,Chicago Bulls,116,,
Tue Oct 30 1984,Box Score,Cleveland Cavaliers,107,Detroit Pistons,124,,
Tue Oct 30 1984,Box Score,Dallas Mavericks,84,Houston Rockets,106,,
Tue Oct 30 1984,Box Score,Chicago Bulls,109,Kansas City Kings,104,,
Tue Oct 30 1984,Box Score,Golden State Warriors,110,Los Angeles Lakers,144,,
Tue Oct 30 1984,Box Score,Philadelphia 76ers,118,New Jersey Nets,96,,
Tue Oct 30 1984,Box Score,Los Angeles Clippers,96,Phoenix Suns,99,,
Tue Oct 30 1984,Box Score,Seattle SuperSonics,83,Portland Trail Blazers,115,,
