
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Oct 12 1979,Box Score,New York Knicks,104,Atlanta Hawks,121,,
Fri Oct 12 1979,Box Score,Houston Rockets,106,Boston Celtics,114,,
Fri Oct 12 1979,Box Score,Indiana Pacers,105,Detroit Pistons,114,,
Fri Oct 12 1979,Box Score,Milwaukee Bucks,103,Kansas City Kings,105,,
Fri Oct 12 1979,Box Score,Cleveland Cavaliers,95,New Jersey Nets,102,,
Fri Oct 12 1979,Box Score,Golden State Warriors,89,Phoenix Suns,97,,
Fri Oct 12 1979,Box Score,Utah Jazz,85,Portland Trail Blazers,101,,
Fri Oct 12 1979,Box Score,Los Angeles Lakers,103,San Diego Clippers,102,,
Fri Oct 12 1979,Box Score,Philadelphia 76ers,93,Washington Bullets,92,,
Sat Oct 13 1979,Box Score,Boston Celtics,139,Cleveland Cavaliers,117,,
Sat Oct 13 1979,Box Score,Milwaukee Bucks,125,Denver Nuggets,96,,
Sat Oct 13 1979,Box Score,Chicago Bulls,102,Golden State Warriors,96,OT,
Sat Oct 13 1979,Box Score,Atlanta Hawks,101,Indiana Pacers,115,,
Sat Oct 13 1979,Box Score,Washington Bullets,118,New York Knicks,125,OT,
Sat Oct 13 1979,Box Score,Houston Rockets,105,Philadelphia 76ers,113,,
Sat Oct 13 1979,Box Score,Detroit Pistons,112,San Antonio Spurs,110,,
Sun Oct 14 1979,Box Score,Chicago Bulls,102,Phoenix Suns,112,,
Sun Oct 14 1979,Box Score,Denver Nuggets,93,Portland Trail Blazers,109,,
Sun Oct 14 1979,Box Score,Seattle SuperSonics,93,San Diego Clippers,98,,
Mon Oct 15 1979,Box Score,Milwaukee Bucks,131,Utah Jazz,107,,
Tue Oct 16 1979,Box Score,San Antonio Spurs,118,Atlanta Hawks,116,,
Tue Oct 16 1979,Box Score,Detroit Pistons,117,Cleveland Cavaliers,137,,
Tue Oct 16 1979,Box Score,Golden State Warriors,108,Denver Nuggets,106,,
Tue Oct 16 1979,Box Score,New Jersey Nets,100,Indiana Pacers,113,,
Tue Oct 16 1979,Box Score,Chicago Bulls,96,Los Angeles Lakers,105,,
Tue Oct 16 1979,Box Score,Houston Rockets,121,New York Knicks,126,,
Tue Oct 16 1979,Box Score,Seattle SuperSonics,86,Phoenix Suns,102,,
Tue Oct 16 1979,Box Score,San Diego Clippers,81,Portland Trail Blazers,88,,
Wed Oct 17 1979,Box Score,Cleveland Cavaliers,108,Boston Celtics,127,,
Wed Oct 17 1979,Box Score,Indiana Pacers,112,Houston Rockets,116,,
Wed Oct 17 1979,Box Score,Golden State Warriors,107,Kansas City Kings,94,,
Wed Oct 17 1979,Box Score,Denver Nuggets,97,Milwaukee Bucks,125,,
Wed Oct 17 1979,Box Score,Philadelphia 76ers,113,New Jersey Nets,88,,
Wed Oct 17 1979,Box Score,Los Angeles Lakers,110,Seattle SuperSonics,112,,
Wed Oct 17 1979,Box Score,Atlanta Hawks,97,Washington Bullets,100,,
Thu Oct 18 1979,Box Score,Indiana Pacers,85,Atlanta Hawks,115,,
Thu Oct 18 1979,Box Score,San Antonio Spurs,134,Cleveland Cavaliers,141,,
Thu Oct 18 1979,Box Score,New York Knicks,115,Detroit Pistons,129,,
Thu Oct 18 1979,Box Score,Chicago Bulls,107,San Diego Clippers,111,,
Thu Oct 18 1979,Box Score,Portland Trail Blazers,107,Utah Jazz,92,,
Fri Oct 19 1979,Box Score,Washington Bullets,93,Boston Celtics,130,,
Fri Oct 19 1979,Box Score,Kansas City Kings,107,Denver Nuggets,84,,
Fri Oct 19 1979,Box Score,Portland Trail Blazers,99,Los Angeles Lakers,82,,
Fri Oct 19 1979,Box Score,Phoenix Suns,94,Milwaukee Bucks,95,,
Fri Oct 19 1979,Box Score,New York Knicks,111,New Jersey Nets,106,,
Fri Oct 19 1979,Box Score,Detroit Pistons,104,Philadelphia 76ers,112,,
Fri Oct 19 1979,Box Score,San Diego Clippers,98,Seattle SuperSonics,106,,
Sat Oct 20 1979,Box Score,Phoenix Suns,104,Chicago Bulls,116,,
Sat Oct 20 1979,Box Score,Utah Jazz,96,Golden State Warriors,101,,
Sat Oct 20 1979,Box Score,Atlanta Hawks,102,Houston Rockets,107,,
Sat Oct 20 1979,Box Score,Boston Celtics,128,Indiana Pacers,131,OT,
Sat Oct 20 1979,Box Score,Philadelphia 76ers,136,New York Knicks,111,,
Sat Oct 20 1979,Box Score,Cleveland Cavaliers,127,San Antonio Spurs,129,,
Sat Oct 20 1979,Box Score,Detroit Pistons,106,Washington Bullets,117,,
Sun Oct 21 1979,Box Score,Phoenix Suns,85,Kansas City Kings,122,,
Sun Oct 21 1979,Box Score,Seattle SuperSonics,97,Los Angeles Lakers,106,,
Sun Oct 21 1979,Box Score,Chicago Bulls,111,Milwaukee Bucks,113,,
Sun Oct 21 1979,Box Score,Golden State Warriors,74,Portland Trail Blazers,91,,
Mon Oct 22 1979,Box Score,San Diego Clippers,109,Utah Jazz,110,,
Tue Oct 23 1979,Box Score,New Jersey Nets,103,Chicago Bulls,108,,
Tue Oct 23 1979,Box Score,Atlanta Hawks,121,Cleveland Cavaliers,111,,
Tue Oct 23 1979,Box Score,Utah Jazz,87,Los Angeles Lakers,102,,
Tue Oct 23 1979,Box Score,Indiana Pacers,112,New York Knicks,136,,
Tue Oct 23 1979,Box Score,Milwaukee Bucks,114,Phoenix Suns,108,,
Tue Oct 23 1979,Box Score,Kansas City Kings,88,Portland Trail Blazers,90,,
Tue Oct 23 1979,Box Score,Boston Celtics,120,San Antonio Spurs,129,,
Tue Oct 23 1979,Box Score,Denver Nuggets,127,San Diego Clippers,132,,
Wed Oct 24 1979,Box Score,Cleveland Cavaliers,118,Atlanta Hawks,128,,
Wed Oct 24 1979,Box Score,Portland Trail Blazers,88,Denver Nuggets,87,,
Wed Oct 24 1979,Box Score,Washington Bullets,103,Detroit Pistons,104,,
Wed Oct 24 1979,Box Score,Phoenix Suns,110,Golden State Warriors,108,OT,
Wed Oct 24 1979,Box Score,Boston Celtics,100,Houston Rockets,99,,
Wed Oct 24 1979,Box Score,Indiana Pacers,110,Philadelphia 76ers,132,,
Wed Oct 24 1979,Box Score,Kansas City Kings,92,Seattle SuperSonics,105,,
Thu Oct 25 1979,Box Score,Milwaukee Bucks,118,San Diego Clippers,115,,
Thu Oct 25 1979,Box Score,Chicago Bulls,105,Utah Jazz,113,,
Fri Oct 26 1979,Box Score,San Antonio Spurs,129,Detroit Pistons,113,,
Fri Oct 26 1979,Box Score,Washington Bullets,108,Indiana Pacers,118,,
Fri Oct 26 1979,Box Score,Kansas City Kings,104,Los Angeles Lakers,116,,
Fri Oct 26 1979,Box Score,Atlanta Hawks,94,New Jersey Nets,90,,
Fri Oct 26 1979,Box Score,New York Knicks,116,Philadelphia 76ers,127,,
Fri Oct 26 1979,Box Score,Chicago Bulls,93,Portland Trail Blazers,95,,
Fri Oct 26 1979,Box Score,Phoenix Suns,92,Seattle SuperSonics,86,,
Sat Oct 27 1979,Box Score,Boston Celtics,100,Atlanta Hawks,95,,
Sat Oct 27 1979,Box Score,Philadelphia 76ers,112,Cleveland Cavaliers,106,,
Sat Oct 27 1979,Box Score,Utah Jazz,96,Denver Nuggets,116,,
Sat Oct 27 1979,Box Score,Kansas City Kings,95,Golden State Warriors,101,,
Sat Oct 27 1979,Box Score,Detroit Pistons,118,Milwaukee Bucks,132,,
Sat Oct 27 1979,Box Score,New Jersey Nets,92,New York Knicks,94,,
Sat Oct 27 1979,Box Score,Indiana Pacers,121,San Antonio Spurs,128,,
Sat Oct 27 1979,Box Score,Seattle SuperSonics,105,San Diego Clippers,110,,
Sun Oct 28 1979,Box Score,Golden State Warriors,90,Los Angeles Lakers,97,,
Sun Oct 28 1979,Box Score,Houston Rockets,115,New Jersey Nets,120,,
Sun Oct 28 1979,Box Score,Phoenix Suns,89,Portland Trail Blazers,88,,
Sun Oct 28 1979,Box Score,Kansas City Kings,106,San Diego Clippers,101,,
Sun Oct 28 1979,Box Score,Chicago Bulls,97,Seattle SuperSonics,108,,
Tue Oct 30 1979,Box Score,Los Angeles Lakers,111,Chicago Bulls,105,,
Tue Oct 30 1979,Box Score,Houston Rockets,112,Cleveland Cavaliers,124,,
Tue Oct 30 1979,Box Score,New York Knicks,112,Denver Nuggets,121,,
Tue Oct 30 1979,Box Score,San Antonio Spurs,109,Phoenix Suns,142,,
Wed Oct 31 1979,Box Score,Philadelphia 76ers,97,Atlanta Hawks,102,,
Wed Oct 31 1979,Box Score,Portland Trail Blazers,106,Golden State Warriors,111,,
Wed Oct 31 1979,Box Score,Houston Rockets,129,Indiana Pacers,133,OT,
Wed Oct 31 1979,Box Score,Utah Jazz,108,Kansas City Kings,125,,
Wed Oct 31 1979,Box Score,Los Angeles Lakers,106,Milwaukee Bucks,110,,
Wed Oct 31 1979,Box Score,Boston Celtics,116,New Jersey Nets,79,,
Wed Oct 31 1979,Box Score,San Antonio Spurs,130,San Diego Clippers,123,,
Wed Oct 31 1979,Box Score,Denver Nuggets,89,Seattle SuperSonics,97,,
Wed Oct 31 1979,Box Score,Cleveland Cavaliers,105,Washington Bullets,114,,
Thu Nov 1 1979,Box Score,Cleveland Cavaliers,127,Detroit Pistons,125,,
Thu Nov 1 1979,Box Score,New York Knicks,134,Utah Jazz,118,,
Fri Nov 2 1979,Box Score,Chicago Bulls,99,Denver Nuggets,113,,
Fri Nov 2 1979,Box Score,New York Knicks,112,Kansas City Kings,111,,
Fri Nov 2 1979,Box Score,Phoenix Suns,110,Los Angeles Lakers,112,,
Fri Nov 2 1979,Box Score,Indiana Pacers,93,New Jersey Nets,115,,
Fri Nov 2 1979,Box Score,Atlanta Hawks,85,Philadelphia 76ers,81,,
Fri Nov 2 1979,Box Score,Portland Trail Blazers,123,San Diego Clippers,102,,
Fri Nov 2 1979,Box Score,San Antonio Spurs,107,Seattle SuperSonics,117,,
Sat Nov 3 1979,Box Score,New Jersey Nets,107,Atlanta Hawks,110,,
Sat Nov 3 1979,Box Score,Milwaukee Bucks,136,Chicago Bulls,134,OT,
Sat Nov 3 1979,Box Score,Kansas City Kings,110,Cleveland Cavaliers,123,,
Sat Nov 3 1979,Box Score,Houston Rockets,114,Detroit Pistons,111,,
Sat Nov 3 1979,Box Score,Denver Nuggets,103,Golden State Warriors,130,,
Sat Nov 3 1979,Box Score,Philadelphia 76ers,120,Indiana Pacers,114,2OT,
Sat Nov 3 1979,Box Score,Utah Jazz,109,San Diego Clippers,126,,
Sat Nov 3 1979,Box Score,Boston Celtics,118,Washington Bullets,97,,
Sun Nov 4 1979,Box Score,Seattle SuperSonics,114,Milwaukee Bucks,101,,
Sun Nov 4 1979,Box Score,Kansas City Kings,98,New Jersey Nets,101,,
Sun Nov 4 1979,Box Score,San Antonio Spurs,124,Portland Trail Blazers,127,OT,
Tue Nov 6 1979,Box Score,Seattle SuperSonics,114,Chicago Bulls,97,,
Tue Nov 6 1979,Box Score,Indiana Pacers,117,Cleveland Cavaliers,134,,
Tue Nov 6 1979,Box Score,San Diego Clippers,112,Los Angeles Lakers,127,,
Tue Nov 6 1979,Box Score,Philadelphia 76ers,118,Milwaukee Bucks,117,OT,
Tue Nov 6 1979,Box Score,Atlanta Hawks,98,New York Knicks,96,,
Tue Nov 6 1979,Box Score,New Jersey Nets,95,San Antonio Spurs,108,,
Tue Nov 6 1979,Box Score,Phoenix Suns,120,Utah Jazz,107,,
Wed Nov 7 1979,Box Score,San Antonio Spurs,105,Boston Celtics,117,,
Wed Nov 7 1979,Box Score,Seattle SuperSonics,92,Denver Nuggets,113,,
Wed Nov 7 1979,Box Score,Atlanta Hawks,115,Detroit Pistons,107,,
Wed Nov 7 1979,Box Score,Los Angeles Lakers,109,Golden State Warriors,126,,
Wed Nov 7 1979,Box Score,New Jersey Nets,101,Houston Rockets,106,,
Wed Nov 7 1979,Box Score,Portland Trail Blazers,90,Indiana Pacers,97,,
Wed Nov 7 1979,Box Score,Kansas City Kings,102,Philadelphia 76ers,110,,
Wed Nov 7 1979,Box Score,San Diego Clippers,114,Phoenix Suns,102,,
Thu Nov 8 1979,Box Score,Portland Trail Blazers,89,Milwaukee Bucks,98,,
Thu Nov 8 1979,Box Score,Denver Nuggets,96,Utah Jazz,92,,
Fri Nov 9 1979,Box Score,Kansas City Kings,119,Boston Celtics,127,,
Fri Nov 9 1979,Box Score,San Diego Clippers,92,Chicago Bulls,107,,
Fri Nov 9 1979,Box Score,Philadelphia 76ers,98,Detroit Pistons,106,,
Fri Nov 9 1979,Box Score,Denver Nuggets,122,Los Angeles Lakers,126,OT,
Fri Nov 9 1979,Box Score,Cleveland Cavaliers,106,Phoenix Suns,110,,
Fri Nov 9 1979,Box Score,San Antonio Spurs,116,Washington Bullets,125,,
Sat Nov 10 1979,Box Score,Washington Bullets,105,Atlanta Hawks,109,,
Sat Nov 10 1979,Box Score,Portland Trail Blazers,94,Chicago Bulls,90,,
Sat Nov 10 1979,Box Score,Indiana Pacers,104,Golden State Warriors,101,,
Sat Nov 10 1979,Box Score,Detroit Pistons,104,Houston Rockets,112,,
Sat Nov 10 1979,Box Score,San Diego Clippers,104,Milwaukee Bucks,133,,
Sat Nov 10 1979,Box Score,San Antonio Spurs,123,New York Knicks,119,,
