
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 17 1984,Box Score,Washington Bullets,83,Boston Celtics,91,,
Tue Apr 17 1984,Box Score,Seattle SuperSonics,86,Dallas Mavericks,88,,
Tue Apr 17 1984,Box Score,New York Knicks,94,Detroit Pistons,93,,
Tue Apr 17 1984,Box Score,Atlanta Hawks,89,Milwaukee Bucks,105,,
Tue Apr 17 1984,Box Score,Denver Nuggets,121,Utah Jazz,123,,
Wed Apr 18 1984,Box Score,Kansas City Kings,105,Los Angeles Lakers,116,,
Wed Apr 18 1984,Box Score,New Jersey Nets,116,Philadelphia 76ers,101,,
Wed Apr 18 1984,Box Score,Phoenix Suns,113,Portland Trail Blazers,106,,
Thu Apr 19 1984,Box Score,Washington Bullets,85,Boston Celtics,88,,
Thu Apr 19 1984,Box Score,Seattle SuperSonics,95,Dallas Mavericks,92,,
Thu Apr 19 1984,Box Score,New York Knicks,105,Detroit Pistons,113,,
Thu Apr 19 1984,Box Score,Atlanta Hawks,87,Milwaukee Bucks,101,,
Thu Apr 19 1984,Box Score,Denver Nuggets,132,Utah Jazz,116,,
Fri Apr 20 1984,Box Score,Kansas City Kings,102,Los Angeles Lakers,109,,
Fri Apr 20 1984,Box Score,New Jersey Nets,116,Philadelphia 76ers,102,,
Fri Apr 20 1984,Box Score,Phoenix Suns,116,Portland Trail Blazers,122,,
Sat Apr 21 1984,Box Score,Milwaukee Bucks,94,Atlanta Hawks,103,,
Sat Apr 21 1984,Box Score,Dallas Mavericks,94,Seattle SuperSonics,104,,at Seattle WA (Seattle Coliseum)
Sat Apr 21 1984,Box Score,Boston Celtics,108,Washington Bullets,111,OT,
Sun Apr 22 1984,Box Score,Utah Jazz,117,Denver Nuggets,121,,
Sun Apr 22 1984,Box Score,Los Angeles Lakers,108,Kansas City Kings,102,,
Sun Apr 22 1984,Box Score,Philadelphia 76ers,108,New Jersey Nets,100,,
Sun Apr 22 1984,Box Score,Detroit Pistons,113,New York Knicks,120,,
Sun Apr 22 1984,Box Score,Portland Trail Blazers,103,Phoenix Suns,106,,
Tue Apr 24 1984,Box Score,Milwaukee Bucks,97,Atlanta Hawks,100,,
Tue Apr 24 1984,Box Score,Utah Jazz,129,Denver Nuggets,124,,
Tue Apr 24 1984,Box Score,Philadelphia 76ers,110,New Jersey Nets,102,,
Tue Apr 24 1984,Box Score,Portland Trail Blazers,113,Phoenix Suns,110,,
Tue Apr 24 1984,Box Score,Dallas Mavericks,107,Seattle SuperSonics,96,,
Tue Apr 24 1984,Box Score,Boston Celtics,99,Washington Bullets,96,,
Wed Apr 25 1984,Box Score,Detroit Pistons,119,New York Knicks,112,,
Thu Apr 26 1984,Box Score,Seattle SuperSonics,104,Dallas Mavericks,105,OT,at University Park TX
