
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Mar 13 1959,Box Score,Syracuse Nationals,129,New York Knicks,123,,
Sat Mar 14 1959,Box Score,Detroit Pistons,89,Minneapolis Lakers,92,,
Sun Mar 15 1959,Box Score,Minneapolis Lakers,103,Detroit Pistons,117,,
Sun Mar 15 1959,Box Score,New York Knicks,115,Syracuse Nationals,131,,
Wed Mar 18 1959,Box Score,Syracuse Nationals,109,Boston Celtics,131,,
Wed Mar 18 1959,Box Score,Detroit Pistons,102,Minneapolis Lakers,129,,
Sat Mar 21 1959,Box Score,Minneapolis Lakers,90,St. Louis Hawks,124,,
Sat Mar 21 1959,Box Score,Boston Celtics,118,Syracuse Nationals,120,,
Sun Mar 22 1959,Box Score,Syracuse Nationals,111,Boston Celtics,133,,
Sun Mar 22 1959,Box Score,St. Louis Hawks,98,Minneapolis Lakers,106,,
Tue Mar 24 1959,Box Score,Minneapolis Lakers,97,St. Louis Hawks,127,,
Wed Mar 25 1959,Box Score,Boston Celtics,107,Syracuse Nationals,119,,
Thu Mar 26 1959,Box Score,St. Louis Hawks,98,Minneapolis Lakers,108,,
Sat Mar 28 1959,Box Score,Syracuse Nationals,108,Boston Celtics,129,,
Sat Mar 28 1959,Box Score,Minneapolis Lakers,98,St. Louis Hawks,97,OT,
Sun Mar 29 1959,Box Score,St. Louis Hawks,104,Minneapolis Lakers,106,,
Sun Mar 29 1959,Box Score,Boston Celtics,121,Syracuse Nationals,133,,
Wed Apr 1 1959,Box Score,Syracuse Nationals,125,Boston Celtics,130,,
Sat Apr 4 1959,Box Score,Minneapolis Lakers,115,Boston Celtics,118,,
Sun Apr 5 1959,Box Score,Minneapolis Lakers,108,Boston Celtics,128,,
Tue Apr 7 1959,Box Score,Boston Celtics,123,Minneapolis Lakers,110,,at Saint Paul MN
Thu Apr 9 1959,Box Score,Boston Celtics,118,Minneapolis Lakers,113,,
