
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Tue Apr 8 1975,Box Score,New York Knicks,84,Houston Rockets,99,,
Tue Apr 8 1975,Box Score,Detroit Pistons,77,Seattle SuperSonics,90,,
Wed Apr 9 1975,Box Score,Kansas City-Omaha Kings,89,Chicago Bulls,95,,
Thu Apr 10 1975,Box Score,Seattle SuperSonics,106,Detroit Pistons,122,,
Thu Apr 10 1975,Box Score,Houston Rockets,96,New York Knicks,106,,
Thu Apr 10 1975,Box Score,Buffalo Braves,113,Washington Bullets,102,,
Sat Apr 12 1975,Box Score,Washington Bullets,120,Buffalo Braves,106,,
Sat Apr 12 1975,Box Score,New York Knicks,86,Houston Rockets,118,,
Sat Apr 12 1975,Box Score,Detroit Pistons,93,Seattle SuperSonics,100,,
Sun Apr 13 1975,Box Score,Chicago Bulls,95,Kansas City-Omaha Kings,102,,
Mon Apr 14 1975,Box Score,Houston Rockets,106,Boston Celtics,123,,
Mon Apr 14 1975,Box Score,Seattle SuperSonics,96,Golden State Warriors,123,,
Wed Apr 16 1975,Box Score,Houston Rockets,100,Boston Celtics,112,,
Wed Apr 16 1975,Box Score,Kansas City-Omaha Kings,90,Chicago Bulls,93,,
Wed Apr 16 1975,Box Score,Seattle SuperSonics,100,Golden State Warriors,99,,
Wed Apr 16 1975,Box Score,Buffalo Braves,96,Washington Bullets,111,,
Thu Apr 17 1975,Box Score,Golden State Warriors,105,Seattle SuperSonics,96,,
Fri Apr 18 1975,Box Score,Washington Bullets,102,Buffalo Braves,108,,
Fri Apr 18 1975,Box Score,Chicago Bulls,100,Kansas City-Omaha Kings,104,OT,
Sat Apr 19 1975,Box Score,Boston Celtics,102,Houston Rockets,117,,
Sat Apr 19 1975,Box Score,Golden State Warriors,94,Seattle SuperSonics,111,,
Sun Apr 20 1975,Box Score,Kansas City-Omaha Kings,77,Chicago Bulls,104,,
Sun Apr 20 1975,Box Score,Buffalo Braves,93,Washington Bullets,97,,
Tue Apr 22 1975,Box Score,Seattle SuperSonics,100,Golden State Warriors,124,,
Tue Apr 22 1975,Box Score,Boston Celtics,122,Houston Rockets,117,,
Wed Apr 23 1975,Box Score,Washington Bullets,96,Buffalo Braves,102,,
Wed Apr 23 1975,Box Score,Chicago Bulls,101,Kansas City-Omaha Kings,89,,
Thu Apr 24 1975,Box Score,Houston Rockets,115,Boston Celtics,128,,
Thu Apr 24 1975,Box Score,Golden State Warriors,105,Seattle SuperSonics,96,,
Fri Apr 25 1975,Box Score,Buffalo Braves,96,Washington Bullets,115,,
Sun Apr 27 1975,Box Score,Washington Bullets,100,Boston Celtics,95,,
Sun Apr 27 1975,Box Score,Chicago Bulls,89,Golden State Warriors,107,,
Wed Apr 30 1975,Box Score,Golden State Warriors,89,Chicago Bulls,90,,
Wed Apr 30 1975,Box Score,Boston Celtics,92,Washington Bullets,117,,
Sat May 3 1975,Box Score,Washington Bullets,90,Boston Celtics,101,,
Sun May 4 1975,Box Score,Golden State Warriors,101,Chicago Bulls,108,,
Tue May 6 1975,Box Score,Chicago Bulls,106,Golden State Warriors,111,,
Wed May 7 1975,Box Score,Boston Celtics,108,Washington Bullets,119,,
Thu May 8 1975,Box Score,Chicago Bulls,89,Golden State Warriors,79,,
Fri May 9 1975,Box Score,Washington Bullets,99,Boston Celtics,103,,
Sun May 11 1975,Box Score,Golden State Warriors,86,Chicago Bulls,72,,
Sun May 11 1975,Box Score,Boston Celtics,92,Washington Bullets,98,,
Wed May 14 1975,Box Score,Chicago Bulls,79,Golden State Warriors,83,,
Sun May 18 1975,Box Score,Golden State Warriors,101,Washington Bullets,95,,
Tue May 20 1975,Box Score,Washington Bullets,91,Golden State Warriors,92,,at Daly City CA
Fri May 23 1975,Box Score,Washington Bullets,101,Golden State Warriors,109,,at Daly City CA
Sun May 25 1975,Box Score,Golden State Warriors,96,Washington Bullets,95,,
