
Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri Mar 30 1973,Box Score,Chicago Bulls,104,Los Angeles Lakers,107,OT,
Fri Mar 30 1973,Box Score,Golden State Warriors,90,Milwaukee Bucks,110,,
Fri Mar 30 1973,Box Score,Baltimore Bullets,83,New York Knicks,95,,
Sun Apr 1 1973,Box Score,Atlanta Hawks,109,Boston Celtics,134,,
Sun Apr 1 1973,Box Score,Chicago Bulls,93,Los Angeles Lakers,108,,
Sun Apr 1 1973,Box Score,Golden State Warriors,95,Milwaukee Bucks,92,,
Sun Apr 1 1973,Box Score,Baltimore Bullets,103,New York Knicks,123,,
Wed Apr 4 1973,Box Score,Boston Celtics,126,Atlanta Hawks,113,,
Wed Apr 4 1973,Box Score,New York Knicks,103,Baltimore Bullets,96,,
Thu Apr 5 1973,Box Score,Milwaukee Bucks,113,Golden State Warriors,93,,
Fri Apr 6 1973,Box Score,New York Knicks,89,Baltimore Bullets,97,,
Fri Apr 6 1973,Box Score,Atlanta Hawks,118,Boston Celtics,105,,
Fri Apr 6 1973,Box Score,Los Angeles Lakers,86,Chicago Bulls,96,,
Sat Apr 7 1973,Box Score,Milwaukee Bucks,97,Golden State Warriors,102,,
Sun Apr 8 1973,Box Score,Boston Celtics,94,Atlanta Hawks,97,,
Sun Apr 8 1973,Box Score,Los Angeles Lakers,94,Chicago Bulls,98,,
Sun Apr 8 1973,Box Score,Baltimore Bullets,99,New York Knicks,109,,
Tue Apr 10 1973,Box Score,Chicago Bulls,102,Los Angeles Lakers,123,,
Tue Apr 10 1973,Box Score,Golden State Warriors,100,Milwaukee Bucks,97,,at Madison WI
Wed Apr 11 1973,Box Score,Atlanta Hawks,101,Boston Celtics,108,,
Fri Apr 13 1973,Box Score,Boston Celtics,121,Atlanta Hawks,103,,
Fri Apr 13 1973,Box Score,Los Angeles Lakers,93,Chicago Bulls,101,,
Fri Apr 13 1973,Box Score,Milwaukee Bucks,86,Golden State Warriors,100,,
Sun Apr 15 1973,Box Score,New York Knicks,108,Boston Celtics,134,,
Sun Apr 15 1973,Box Score,Chicago Bulls,92,Los Angeles Lakers,95,,
Tue Apr 17 1973,Box Score,Golden State Warriors,99,Los Angeles Lakers,101,,
Wed Apr 18 1973,Box Score,Boston Celtics,96,New York Knicks,129,,
Thu Apr 19 1973,Box Score,Golden State Warriors,93,Los Angeles Lakers,104,,
Fri Apr 20 1973,Box Score,New York Knicks,98,Boston Celtics,91,,
Sat Apr 21 1973,Box Score,Los Angeles Lakers,126,Golden State Warriors,70,,
Sun Apr 22 1973,Box Score,Boston Celtics,110,New York Knicks,117,2OT,
Mon Apr 23 1973,Box Score,Los Angeles Lakers,109,Golden State Warriors,117,,
Wed Apr 25 1973,Box Score,New York Knicks,97,Boston Celtics,98,,
Wed Apr 25 1973,Box Score,Golden State Warriors,118,Los Angeles Lakers,128,,
Fri Apr 27 1973,Box Score,Boston Celtics,110,New York Knicks,100,,
Sun Apr 29 1973,Box Score,New York Knicks,94,Boston Celtics,78,,
Tue May 1 1973,Box Score,New York Knicks,112,Los Angeles Lakers,115,,
Thu May 3 1973,Box Score,New York Knicks,99,Los Angeles Lakers,95,,
Sun May 6 1973,Box Score,Los Angeles Lakers,83,New York Knicks,87,,
Tue May 8 1973,Box Score,Los Angeles Lakers,98,New York Knicks,103,,
Thu May 10 1973,Box Score,New York Knicks,102,Los Angeles Lakers,93,,
